population_id,shape,profile,family,constructor,e,M,I_p,I_q,strength_p,strength_q,row_margin_p_json,row_margin_q_json,direction_json,probability_p_json,probability_q_json
5x5_uniform_common_loglinear_e0.6,5x5,uniform,common,loglinear,0.6,0.09219845302758634,0.018439690605517756,0.07375876242205659,0.3918929380323341,0.8354106175534961,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]","[[1.0, 0.5, -0.0, -0.5, -1.0], [0.5, 0.25, -0.0, -0.25, -0.5], [-0.0, -0.0, 0.0, 0.0, 0.0], [-0.5, -0.25, 0.0, 0.25, 0.5], [-1.0, -0.5, 0.0, 0.5, 1.0]]","[[0.05594051756560724, 0.04729844020541426, 0.03925129967079341, 0.03196317248767983, 0.02554657007050502], [0.047298440205414315, 0.0441079011705563, 0.04037131079079738, 0.036259175345552196, 0.03196317248767988], [0.03925129967079349, 0.040371310790797414, 0.04075477907681842, 0.040371310790797414, 0.0392512996707935], [0.031963172487679874, 0.036259175345552196, 0.040371310790797386, 0.0441079011705563, 0.04729844020541434], [0.02554657007050501, 0.031963172487679825, 0.0392512996707934, 0.04729844020541426, 0.055940517565607244]]","[[0.07246277058495931, 0.05373690527883437, 0.03686511769688394, 0.0233055002991506, 0.013629706140112016], [0.05373690527885956, 0.0491059281029734, 0.04151264944391926, 0.03233901687511526, 0.02330550029916153], [0.03686511769690757, 0.041512649443926394, 0.043244465718393583, 0.04151264944392641, 0.036865117696907576], [0.023305500299161525, 0.032339016875115256, 0.04151264944391926, 0.049105928102973415, 0.05373690527885957], [0.013629706140112012, 0.023305500299150593, 0.036865117696883935, 0.05373690527883437, 0.07246277058495931]]"
5x5_uniform_rare_additive_e0,5x5,uniform,rare,additive,0.0,0.09219845302758634,0.018439690605517534,0.018439690605517534,0.018825305293041925,0.018825305293041925,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, -1.0], [0.0, 0.0, 0.0, -1.0, 1.0]]","[[0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.05882530529304193, 0.021174694706958083], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.021174694706958083, 0.05882530529304193]]","[[0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.05882530529304193, 0.021174694706958083], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.021174694706958083, 0.05882530529304193]]"
5x5_uniform_rare_additive_e0.1,5x5,uniform,rare,additive,0.1,0.09219845302758634,0.018439690605517534,0.027659535908275412,0.018825305293041925,0.022814282671083267,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, -1.0], [0.0, 0.0, 0.0, -1.0, 1.0]]","[[0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.05882530529304193, 0.021174694706958083], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.021174694706958083, 0.05882530529304193]]","[[0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.06281428267108327, 0.01718571732891674], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.01718571732891674, 0.06281428267108327]]"
5x5_uniform_rare_additive_e0.3,5x5,uniform,rare,additive,0.3,0.09219845302758634,0.018439690605517534,0.046099226513792946,0.018825305293041925,0.028797200012217087,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, -1.0], [0.0, 0.0, 0.0, -1.0, 1.0]]","[[0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.05882530529304193, 0.021174694706958083], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.021174694706958083, 0.05882530529304193]]","[[0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.06879720001221709, 0.01120279998778292], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.01120279998778292, 0.06879720001221709]]"
5x5_uniform_rare_additive_e0.6,5x5,uniform,rare,additive,0.6,0.09219845302758634,0.018439690605517534,0.07375876242206747,0.018825305293041925,0.035048259919365915,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, -1.0], [0.0, 0.0, 0.0, -1.0, 1.0]]","[[0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.05882530529304193, 0.021174694706958083], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.021174694706958083, 0.05882530529304193]]","[[0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.07504825991936592, 0.004951740080634093], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.004951740080634093, 0.07504825991936592]]"
5x5_uniform_rare_loglinear_e0,5x5,uniform,rare,loglinear,0.0,0.09219845302758634,0.018439690605517756,0.018439690605517756,0.3918929380323341,0.3918929380323341,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]","[[1.0, 0.5, -0.0, -0.5, -1.0], [0.5, 0.25, -0.0, -0.25, -0.5], [-0.0, -0.0, 0.0, 0.0, 0.0], [-0.5, -0.25, 0.0, 0.25, 0.5], [-1.0, -0.5, 0.0, 0.5, 1.0]]","[[0.05594051756560724, 0.04729844020541426, 0.03925129967079341, 0.03196317248767983, 0.02554657007050502], [0.047298440205414315, 0.0441079011705563, 0.04037131079079738, 0.036259175345552196, 0.03196317248767988], [0.03925129967079349, 0.040371310790797414, 0.04075477907681842, 0.040371310790797414, 0.0392512996707935], [0.031963172487679874, 0.036259175345552196, 0.040371310790797386, 0.0441079011705563, 0.04729844020541434], [0.02554657007050501, 0.031963172487679825, 0.0392512996707934, 0.04729844020541426, 0.055940517565607244]]","[[0.05594051756560724, 0.04729844020541426, 0.03925129967079341, 0.03196317248767983, 0.02554657007050502], [0.047298440205414315, 0.0441079011705563, 0.04037131079079738, 0.036259175345552196, 0.03196317248767988], [0.03925129967079349, 0.040371310790797414, 0.04075477907681842, 0.040371310790797414, 0.0392512996707935], [0.031963172487679874, 0.036259175345552196, 0.040371310790797386, 0.0441079011705563, 0.04729844020541434], [0.02554657007050501, 0.031963172487679825, 0.0392512996707934, 0.04729844020541426, 0.055940517565607244]]"
5x5_uniform_rare_loglinear_e0.1,5x5,uniform,rare,loglinear,0.1,0.09219845302758634,0.018439690605517756,0.027659535908275412,0.3918929380323341,0.4849254330870328,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]","[[1.0, 0.5, -0.0, -0.5, -1.0], [0.5, 0.25, -0.0, -0.25, -0.5], [-0.0, -0.0, 0.0, 0.0, 0.0], [-0.5, -0.25, 0.0, 0.25, 0.5], [-1.0, -0.5, 0.0, 0.5, 1.0]]","[[0.05594051756560724, 0.04729844020541426, 0.03925129967079341, 0.03196317248767983, 0.02554657007050502], [0.047298440205414315, 0.0441079011705563, 0.04037131079079738, 0.036259175345552196, 0.03196317248767988], [0.03925129967079349, 0.040371310790797414, 0.04075477907681842, 0.040371310790797414, 0.0392512996707935], [0.031963172487679874, 0.036259175345552196, 0.040371310790797386, 0.0441079011705563, 0.04729844020541434], [0.02554657007050501, 0.031963172487679825, 0.0392512996707934, 0.04729844020541426, 0.055940517565607244]]","[[0.05963109313428815, 0.04882703381529531, 0.03886845604752678, 0.030064909610308808, 0.022608507392574542], [0.04882703381529769, 0.045133397140161576, 0.04055879849218014, 0.03541586094205352, 0.030064909610310275], [0.03886845604752934, 0.04055879849218083, 0.041145490920586204, 0.04055879849218083, 0.03886845604752934], [0.030064909610310275, 0.03541586094205352, 0.04055879849218014, 0.045133397140161576, 0.04882703381529769], [0.022608507392574542, 0.030064909610308808, 0.03886845604752678, 0.04882703381529531, 0.05963109313428815]]"
5x5_uniform_rare_loglinear_e0.3,5x5,uniform,rare,loglinear,0.3,0.09219845302758634,0.018439690605517756,0.0460992265137925,0.3918929380323341,0.6393024505486485,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]","[[1.0, 0.5, -0.0, -0.5, -1.0], [0.5, 0.25, -0.0, -0.25, -0.5], [-0.0, -0.0, 0.0, 0.0, 0.0], [-0.5, -0.25, 0.0, 0.25, 0.5], [-1.0, -0.5, 0.0, 0.5, 1.0]]","[[0.05594051756560724, 0.04729844020541426, 0.03925129967079341, 0.03196317248767983, 0.02554657007050502], [0.047298440205414315, 0.0441079011705563, 0.04037131079079738, 0.036259175345552196, 0.03196317248767988], [0.03925129967079349, 0.040371310790797414, 0.04075477907681842, 0.040371310790797414, 0.0392512996707935], [0.031963172487679874, 0.036259175345552196, 0.040371310790797386, 0.0441079011705563, 0.04729844020541434], [0.02554657007050501, 0.031963172487679825, 0.0392512996707934, 0.04729844020541426, 0.055940517565607244]]","[[0.06552017318488679, 0.05115802540550674, 0.03808525465359546, 0.02699406235291513, 0.018242484403095373], [0.05115802540550693, 0.04686664783459503, 0.04093722157970488, 0.03404404282727812, 0.02699406235291523], [0.038085254653595656, 0.040937221579704926, 0.041955047533399285, 0.040937221579704926, 0.03808525465359565], [0.026994062352915234, 0.03404404282727812, 0.04093722157970488, 0.04686664783459503, 0.05115802540550692], [0.018242484403095376, 0.026994062352915137, 0.03808525465359547, 0.05115802540550675, 0.06552017318488679]]"
5x5_uniform_rare_loglinear_e0.6,5x5,uniform,rare,loglinear,0.6,0.09219845302758634,0.018439690605517756,0.07375876242205659,0.3918929380323341,0.8354106175534961,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]","[[1.0, 0.5, -0.0, -0.5, -1.0], [0.5, 0.25, -0.0, -0.25, -0.5], [-0.0, -0.0, 0.0, 0.0, 0.0], [-0.5, -0.25, 0.0, 0.25, 0.5], [-1.0, -0.5, 0.0, 0.5, 1.0]]","[[0.05594051756560724, 0.04729844020541426, 0.03925129967079341, 0.03196317248767983, 0.02554657007050502], [0.047298440205414315, 0.0441079011705563, 0.04037131079079738, 0.036259175345552196, 0.03196317248767988], [0.03925129967079349, 0.040371310790797414, 0.04075477907681842, 0.040371310790797414, 0.0392512996707935], [0.031963172487679874, 0.036259175345552196, 0.040371310790797386, 0.0441079011705563, 0.04729844020541434], [0.02554657007050501, 0.031963172487679825, 0.0392512996707934, 0.04729844020541426, 0.055940517565607244]]","[[0.07246277058495931, 0.05373690527883437, 0.03686511769688394, 0.0233055002991506, 0.013629706140112016], [0.05373690527885956, 0.0491059281029734, 0.04151264944391926, 0.03233901687511526, 0.02330550029916153], [0.03686511769690757, 0.041512649443926394, 0.043244465718393583, 0.04151264944392641, 0.036865117696907576], [0.023305500299161525, 0.032339016875115256, 0.04151264944391926, 0.049105928102973415, 0.05373690527885957], [0.013629706140112012, 0.023305500299150593, 0.036865117696883935, 0.05373690527883437, 0.07246277058495931]]"
5x5_uniform_spread_additive_e0,5x5,uniform,spread,additive,0.0,0.1343516585717195,0.026870331714343276,0.026870331714343276,0.018296964743607598,0.018296964743607598,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]","[[1.0, 0.5, -0.0, -0.5, -1.0], [0.5, 0.25, -0.0, -0.25, -0.5], [-0.0, -0.0, 0.0, 0.0, 0.0], [-0.5, -0.25, 0.0, 0.25, 0.5], [-1.0, -0.5, 0.0, 0.5, 1.0]]","[[0.058296964743607606, 0.0491484823718038, 0.04000000000000001, 0.03085151762819621, 0.02170303525639241], [0.0491484823718038, 0.044574241185901906, 0.04000000000000001, 0.03542575881409811, 0.03085151762819621], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.03085151762819621, 0.03542575881409811, 0.04000000000000001, 0.044574241185901906, 0.0491484823718038], [0.02170303525639241, 0.03085151762819621, 0.04000000000000001, 0.0491484823718038, 0.058296964743607606]]","[[0.058296964743607606, 0.0491484823718038, 0.04000000000000001, 0.03085151762819621, 0.02170303525639241], [0.0491484823718038, 0.044574241185901906, 0.04000000000000001, 0.03542575881409811, 0.03085151762819621], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.03085151762819621, 0.03542575881409811, 0.04000000000000001, 0.044574241185901906, 0.0491484823718038], [0.02170303525639241, 0.03085151762819621, 0.04000000000000001, 0.0491484823718038, 0.058296964743607606]]"
5x5_uniform_spread_additive_e0.1,5x5,uniform,spread,additive,0.1,0.1343516585717195,0.026870331714343276,0.040305497571513804,0.018296964743607598,0.022247867778885627,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]","[[1.0, 0.5, -0.0, -0.5, -1.0], [0.5, 0.25, -0.0, -0.25, -0.5], [-0.0, -0.0, 0.0, 0.0, 0.0], [-0.5, -0.25, 0.0, 0.25, 0.5], [-1.0, -0.5, 0.0, 0.5, 1.0]]","[[0.058296964743607606, 0.0491484823718038, 0.04000000000000001, 0.03085151762819621, 0.02170303525639241], [0.0491484823718038, 0.044574241185901906, 0.04000000000000001, 0.03542575881409811, 0.03085151762819621], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.03085151762819621, 0.03542575881409811, 0.04000000000000001, 0.044574241185901906, 0.0491484823718038], [0.02170303525639241, 0.03085151762819621, 0.04000000000000001, 0.0491484823718038, 0.058296964743607606]]","[[0.062247867778885635, 0.05112393388944282, 0.04000000000000001, 0.028876066110557194, 0.01775213222111438], [0.05112393388944282, 0.045561966944721415, 0.04000000000000001, 0.0344380330552786, 0.028876066110557194], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.028876066110557194, 0.0344380330552786, 0.04000000000000001, 0.045561966944721415, 0.05112393388944282], [0.01775213222111438, 0.028876066110557194, 0.04000000000000001, 0.05112393388944282, 0.062247867778885635]]"
5x5_uniform_spread_additive_e0.3,5x5,uniform,spread,additive,0.3,0.1343516585717195,0.026870331714343276,0.0671758292858593,0.018296964743607598,0.02827642836557519,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]","[[1.0, 0.5, -0.0, -0.5, -1.0], [0.5, 0.25, -0.0, -0.25, -0.5], [-0.0, -0.0, 0.0, 0.0, 0.0], [-0.5, -0.25, 0.0, 0.25, 0.5], [-1.0, -0.5, 0.0, 0.5, 1.0]]","[[0.058296964743607606, 0.0491484823718038, 0.04000000000000001, 0.03085151762819621, 0.02170303525639241], [0.0491484823718038, 0.044574241185901906, 0.04000000000000001, 0.03542575881409811, 0.03085151762819621], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.03085151762819621, 0.03542575881409811, 0.04000000000000001, 0.044574241185901906, 0.0491484823718038], [0.02170303525639241, 0.03085151762819621, 0.04000000000000001, 0.0491484823718038, 0.058296964743607606]]","[[0.0682764283655752, 0.0541382141827876, 0.04000000000000001, 0.025861785817212414, 0.011723571634424817], [0.0541382141827876, 0.04706910709139381, 0.04000000000000001, 0.03293089290860621, 0.025861785817212414], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.025861785817212414, 0.03293089290860621, 0.04000000000000001, 0.04706910709139381, 0.0541382141827876], [0.011723571634424817, 0.025861785817212414, 0.04000000000000001, 0.0541382141827876, 0.0682764283655752]]"
5x5_uniform_spread_additive_e0.6,5x5,uniform,spread,additive,0.6,0.1343516585717195,0.026870331714343276,0.10748132685737533,0.018296964743607598,0.03479095098062549,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]","[[1.0, 0.5, -0.0, -0.5, -1.0], [0.5, 0.25, -0.0, -0.25, -0.5], [-0.0, -0.0, 0.0, 0.0, 0.0], [-0.5, -0.25, 0.0, 0.25, 0.5], [-1.0, -0.5, 0.0, 0.5, 1.0]]","[[0.058296964743607606, 0.0491484823718038, 0.04000000000000001, 0.03085151762819621, 0.02170303525639241], [0.0491484823718038, 0.044574241185901906, 0.04000000000000001, 0.03542575881409811, 0.03085151762819621], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.03085151762819621, 0.03542575881409811, 0.04000000000000001, 0.044574241185901906, 0.0491484823718038], [0.02170303525639241, 0.03085151762819621, 0.04000000000000001, 0.0491484823718038, 0.058296964743607606]]","[[0.07479095098062549, 0.05739547549031275, 0.04000000000000001, 0.022604524509687262, 0.005209049019374516], [0.05739547549031275, 0.04869773774515638, 0.04000000000000001, 0.03130226225484364, 0.022604524509687262], [0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001, 0.04000000000000001], [0.022604524509687262, 0.03130226225484364, 0.04000000000000001, 0.04869773774515638, 0.05739547549031275], [0.005209049019374516, 0.022604524509687262, 0.04000000000000001, 0.05739547549031275, 0.07479095098062549]]"
5x5_uniform_spread_loglinear_e0,5x5,uniform,spread,loglinear,0.0,0.1343516585717195,0.026870331714344164,0.026870331714344164,0.4775344830450165,0.4775344830450165,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]","[[1.0, 0.5, -0.0, -0.5, -1.0], [0.5, 0.25, -0.0, -0.25, -0.5], [-0.0, -0.0, 0.0, 0.0, 0.0], [-0.5, -0.25, 0.0, 0.25, 0.5], [-1.0, -0.5, 0.0, 0.5, 1.0]]","[[0.05934128101610164, 0.048708921198469195, 0.03890145247637156, 0.030214674504025412, 0.02283367080502711], [0.04870892119847109, 0.0450513440697435, 0.04054270357812174, 0.03548235664963962, 0.030214674504026585], [0.038901452476373596, 0.04054270357812228, 0.04111168789101341, 0.04054270357812228, 0.038901452476373596], [0.030214674504026585, 0.03548235664963962, 0.04054270357812174, 0.0450513440697435, 0.04870892119847109], [0.022833670805027108, 0.03021467450402541, 0.038901452476371556, 0.048708921198469195, 0.05934128101610163]]","[[0.05934128101610164, 0.048708921198469195, 0.03890145247637156, 0.030214674504025412, 0.02283367080502711], [0.04870892119847109, 0.0450513440697435, 0.04054270357812174, 0.03548235664963962, 0.030214674504026585], [0.038901452476373596, 0.04054270357812228, 0.04111168789101341, 0.04054270357812228, 0.038901452476373596], [0.030214674504026585, 0.03548235664963962, 0.04054270357812174, 0.0450513440697435, 0.04870892119847109], [0.022833670805027108, 0.03021467450402541, 0.038901452476371556, 0.048708921198469195, 0.05934128101610163]]"
