configuration_id,population_id,shape,rows,columns,experiment,profile,family,constructor,relationship,n_p,n_q,relative_effect,shared_reachable_mi,achieved_mi_p,achieved_mi_q,absolute_mi_difference,target_mi_p,target_mi_q,replicates,simulation_seed,minimum_true_expected_p,minimum_true_expected_q,true_expected_below_1_p,true_expected_below_1_q,true_expected_below_5_p,true_expected_below_5_q,observed_zero_fraction_p,observed_zero_fraction_q,empty_row_p,empty_row_q,empty_column_p,empty_column_q,method,method_label,nominal_alpha,valid_replicates,valid_rate,common_valid_replicates,common_valid_rate,rejections,common_valid_rejections,unconditional_rejection_rate,conditional_rejection_rate,common_valid_rejection_rate,wilson_95_low,wilson_95_high,monte_carlo_standard_error,absolute_calibration_error,invalid_reason_counts_json,component_degrees_of_freedom_p_median,component_degrees_of_freedom_p_p05,component_degrees_of_freedom_p_p95,component_degrees_of_freedom_p_fraction_below_1,component_degrees_of_freedom_p_fraction_above_1e4,component_degrees_of_freedom_q_median,component_degrees_of_freedom_q_p05,component_degrees_of_freedom_q_p95,component_degrees_of_freedom_q_fraction_below_1,component_degrees_of_freedom_q_fraction_above_1e4,welch_degrees_of_freedom_median,welch_degrees_of_freedom_p05,welch_degrees_of_freedom_p95,welch_degrees_of_freedom_fraction_below_1,welch_degrees_of_freedom_fraction_above_1e4
2x2_uniform_common_additive_e0.1_np10_nq10,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,449827121570676112,1.3234184191848775,1.0741073330572926,0.0,0.0,1.0,1.0,0.126925,0.161,0.0028,0.002,0.0022,0.002,expanded_welch,Expanded Welch,0.05,9570,0.957,9570,0.957,456,456,0.0456,0.04764890282131661,0.04764890282131661,0.04168275313833824,0.04986622458093264,0.0020861601089082306,,"{""invalid_base"": 24, ""invalid_combined_df"": 406, ""invalid_component_p"": 174, ""invalid_component_q"": 232}",2.521897072145644,0.05093244892813937,53.27925269108839,0.31003134796238246,0.0,3.7256384444632626,0.14262431011309815,53.27925269108839,0.2399164054336468,0.0,5.5278529038340345,0.588439455449326,33.51237943126556,0.08140020898641588,0.0
2x2_uniform_common_additive_e0.1_np50_nq50,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,50,50,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,2456436421043463792,6.617092095924387,5.370536665286463,0.0,0.0,0.0,0.0,0.000575,0.002175,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,0.05,10000,1.0,10000,1.0,956,956,0.0956,0.0956,0.0956,0.08999118801009043,0.10151938987211281,0.0029404190177592035,,"{""invalid_base"": 0}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0.1_np50_nq50,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,50,50,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,2456436421043463792,6.617092095924387,5.370536665286463,0.0,0.0,0.0,0.0,0.000575,0.002175,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,0.05,10000,1.0,10000,1.0,895,895,0.0895,0.0895,0.0895,0.08406149169178567,0.0952537709705398,0.002854640958159187,,"{""invalid_base"": 0, ""invalid_df"": 0}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0.1_np50_nq50,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,50,50,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,2456436421043463792,6.617092095924387,5.370536665286463,0.0,0.0,0.0,0.0,0.000575,0.002175,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,0.05,10000,1.0,10000,1.0,831,831,0.0831,0.0831,0.0831,0.07784860575276353,0.0886715720887066,0.0027603331320693886,,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",9.289055549515426,1.8882122113526074,48.11389948178503,0.0156,0.0005,17.947337456983487,4.353159832000707,139.35779399375002,0.0015,0.0016,29.72619001931168,10.82618392796748,85.37723794405329,0.0,0.0
2x2_uniform_common_additive_e0.1_np250_nq250,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,250,250,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,16908078040276743582,33.085460479621936,26.852683326432313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,0.05,10000,1.0,10000,1.0,2629,2629,0.2629,0.2629,0.2629,0.2543642927309935,0.2716177992963813,0.0044020857556390245,,"{""invalid_base"": 0}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0.1_np250_nq250,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,250,250,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,16908078040276743582,33.085460479621936,26.852683326432313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,0.05,10000,1.0,10000,1.0,2611,2611,0.2611,0.2611,0.2611,0.25258406686764184,0.2697994075538674,0.004392343224293839,,"{""invalid_base"": 0, ""invalid_df"": 0}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0.1_np250_nq250,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,250,250,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,16908078040276743582,33.085460479621936,26.852683326432313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,0.05,10000,1.0,10000,1.0,2566,2566,0.2566,0.2566,0.2566,0.2481343240140089,0.2652526063928363,0.004367567286259023,,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",44.46662553947635,23.500995278041323,83.22279570464842,0.0,0.0,90.39860090371731,48.54563944310151,188.75924271273917,0.0,0.0,133.2132765817992,85.81672098673674,212.06149070946083,0.0,0.0
2x2_uniform_common_additive_e0.1_np1000_nq1000,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,1000,1000,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,15422764330033090884,132.34184191848775,107.41073330572925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,0.05,10000,1.0,10000,1.0,7439,7439,0.7439,0.7439,0.7439,0.7352526668259366,0.7523600187688474,0.004364777084800551,,"{""invalid_base"": 0}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0.1_np1000_nq1000,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,1000,1000,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,15422764330033090884,132.34184191848775,107.41073330572925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,0.05,10000,1.0,10000,1.0,7435,7435,0.7435,0.7435,0.7435,0.7348484470746564,0.7519645457188242,0.004367009846565496,,"{""invalid_base"": 0, ""invalid_df"": 0}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0.1_np1000_nq1000,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,1000,1000,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,15422764330033090884,132.34184191848775,107.41073330572925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,0.05,10000,1.0,10000,1.0,7427,7427,0.7427,0.7427,0.7427,0.7340400357772057,0.751173571413668,0.004371460968600772,,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",176.16576597874385,128.5966125773451,240.17935664906594,0.0,0.0,357.5090229494272,260.932528286268,498.5749581250892,0.0,0.0,518.7280230262493,415.1233110136594,646.0336300398958,0.0,0.0
