configuration_id,population_id,shape,rows,columns,experiment,profile,family,constructor,relationship,n_p,n_q,relative_effect,shared_reachable_mi,achieved_mi_p,achieved_mi_q,absolute_mi_difference,target_mi_p,target_mi_q,replicates,simulation_seed,nominal_alpha,method_a,method_b,both_reject,neither_rejects,only_method_a_rejects,only_method_b_rejects,rejection_rate_difference_a_minus_b,paired_standard_error,paired_95_low,paired_95_high
2x2_uniform_common_additive_e0.1_np250_nq250,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,250,250,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,16908078040276743582,0.05,simple_welch,normal_wald,2611,7371,0,18,-0.0018,0.0004239032547609651,-0.0026308503793314912,-0.0009691496206685084
2x2_uniform_common_additive_e0.1_np250_nq250,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,250,250,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,16908078040276743582,0.05,expanded_welch,simple_welch,2566,7389,0,45,-0.0045,0.0006693428134970882,-0.005811911914454293,-0.0031880880855457067
2x2_uniform_common_additive_e0.1_np1000_nq1000,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,1000,1000,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,15422764330033090884,0.05,expanded_welch,normal_wald,7427,2561,0,12,-0.0012,0.00034621956443661565,-0.0018785903462957667,-0.0005214096537042332
2x2_uniform_common_additive_e0.1_np1000_nq1000,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,1000,1000,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,15422764330033090884,0.05,simple_welch,normal_wald,7435,2561,0,4,-0.0004,0.00019996999474891224,-0.000791941189707868,-8.058810292132026e-06
2x2_uniform_common_additive_e0.1_np1000_nq1000,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,1000,1000,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,15422764330033090884,0.05,expanded_welch,simple_welch,7427,2565,0,8,-0.0008,0.0002827436902911185,-0.0013541776329705924,-0.00024582236702940777
2x2_uniform_common_additive_e0.1_np50_nq500,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,50,500,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,8979029481590623115,0.05,expanded_welch,normal_wald,1413,7726,0,861,-0.0861,0.0028052568414665096,-0.09159830340927436,-0.08060169659072564
2x2_uniform_common_additive_e0.1_np50_nq500,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,50,500,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,8979029481590623115,0.05,simple_welch,normal_wald,2211,7726,0,63,-0.0063,0.0007912607720346915,-0.007850871113187996,-0.004749128886812005
2x2_uniform_common_additive_e0.1_np50_nq500,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,50,500,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,8979029481590623115,0.05,expanded_welch,simple_welch,1410,7786,3,801,-0.0798,0.0027210175290944675,-0.08513319435702515,-0.07446680564297484
2x2_uniform_common_additive_e0.1_np500_nq50,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,500,50,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,14174769602509277487,0.05,expanded_welch,normal_wald,772,9105,0,123,-0.0123,0.0011022669818378508,-0.014460443284402187,-0.010139556715597813
2x2_uniform_common_additive_e0.1_np500_nq50,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,500,50,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,14174769602509277487,0.05,simple_welch,normal_wald,825,9105,0,70,-0.007,0.0008337682633392177,-0.008634185796144866,-0.005365814203855133
