population_id,side,max_cell_error,mi_error
2x2__strong__identical_distribution__primary__e0p05,p,2.42861286636753e-16,1.1102230246251565e-16
2x2__strong__identical_distribution__primary__e0p05,q,1.0061396160665481e-16,5.551115123125783e-17
2x2__strong__identical_distribution__primary__e0p1,p,2.42861286636753e-16,1.1102230246251565e-16
2x2__strong__identical_distribution__primary__e0p1,q,3.469446951953614e-17,0.0
2x2__strong__identical_distribution__primary__e0p2,p,2.42861286636753e-16,1.1102230246251565e-16
2x2__strong__identical_distribution__primary__e0p2,q,3.469446951953614e-16,3.885780586188048e-16
2x2__strong__identical_distribution__primary__e0p4,p,2.42861286636753e-16,1.1102230246251565e-16
2x2__strong__identical_distribution__primary__e0p4,q,2.7755575615628914e-17,1.1102230246251565e-16
2x2__strong__identical_distribution__primary__e0p6,p,2.42861286636753e-16,1.1102230246251565e-16
2x2__strong__identical_distribution__primary__e0p6,q,1.6930901125533637e-15,1.887379141862766e-15
2x2__ultra__equal_mi_different_shape__primary__e0,p,1.1102230246251565e-16,2.7755575615628914e-17
2x2__ultra__equal_mi_different_shape__primary__e0,q,1.8778381627448937e-16,2.7755575615628914e-17
2x2__ultra__equal_mi_different_shape__primary__e0p01,p,1.1102230246251565e-16,2.7755575615628914e-17
2x2__ultra__equal_mi_different_shape__primary__e0p01,q,2.7755575615628914e-17,2.7755575615628914e-17
2x2__ultra__equal_mi_different_shape__primary__e0p025,p,1.1102230246251565e-16,2.7755575615628914e-17
2x2__ultra__equal_mi_different_shape__primary__e0p025,q,2.5131806358213993e-16,1.942890293094024e-16
2x2__ultra__equal_mi_different_shape__primary__e0p05,p,1.1102230246251565e-16,2.7755575615628914e-17
2x2__ultra__equal_mi_different_shape__primary__e0p05,q,1.249000902703301e-16,0.0
2x2__ultra__equal_mi_different_shape__primary__e0p1,p,1.1102230246251565e-16,2.7755575615628914e-17
2x2__ultra__equal_mi_different_shape__primary__e0p1,q,1.1102230246251565e-16,5.551115123125783e-17
2x2__ultra__equal_mi_different_shape__primary__e0p2,p,1.1102230246251565e-16,2.7755575615628914e-17
2x2__ultra__equal_mi_different_shape__primary__e0p2,q,1.1102230246251565e-16,0.0
2x2__ultra__equal_mi_different_shape__primary__e0p4,p,1.1102230246251565e-16,2.7755575615628914e-17
2x2__ultra__equal_mi_different_shape__primary__e0p4,q,9.020562075079397e-17,1.3877787807814457e-16
2x2__ultra__equal_mi_different_shape__primary__e0p6,p,1.1102230246251565e-16,2.7755575615628914e-17
2x2__ultra__equal_mi_different_shape__primary__e0p6,q,2.7755575615628914e-17,8.326672684688674e-17
2x2__ultra__identical_distribution__primary__e0,p,1.1102230246251565e-16,2.7755575615628914e-17
2x2__ultra__identical_distribution__primary__e0,q,1.1102230246251565e-16,2.7755575615628914e-17
2x2__ultra__identical_distribution__primary__e0p01,p,1.1102230246251565e-16,2.7755575615628914e-17
2x2__ultra__identical_distribution__primary__e0p01,q,1.960237527853792e-16,0.0
2x2__ultra__identical_distribution__primary__e0p025,p,1.1102230246251565e-16,2.7755575615628914e-17
2x2__ultra__identical_distribution__primary__e0p025,q,2.905661822261152e-16,5.551115123125783e-17
2x2__ultra__identical_distribution__primary__e0p05,p,1.1102230246251565e-16,2.7755575615628914e-17
2x2__ultra__identical_distribution__primary__e0p05,q,7.632783294297951e-17,5.551115123125783e-17
2x2__ultra__identical_distribution__primary__e0p1,p,1.1102230246251565e-16,2.7755575615628914e-17
2x2__ultra__identical_distribution__primary__e0p1,q,9.974659986866641e-17,2.7755575615628914e-17
2x2__ultra__identical_distribution__primary__e0p2,p,1.1102230246251565e-16,2.7755575615628914e-17
2x2__ultra__identical_distribution__primary__e0p2,q,2.0816681711721685e-17,2.7755575615628914e-17
2x2__ultra__identical_distribution__primary__e0p4,p,1.1102230246251565e-16,2.7755575615628914e-17
2x2__ultra__identical_distribution__primary__e0p4,q,7.112366251504909e-17,0.0
2x2__ultra__identical_distribution__primary__e0p6,p,1.1102230246251565e-16,2.7755575615628914e-17
2x2__ultra__identical_distribution__primary__e0p6,q,1.3183898417423734e-16,1.1102230246251565e-16
