shape,profile,family,constructor,n_p,n_q,relative_effect,achieved_mi_p,achieved_mi_q,absolute_mi_difference,wald_rejection,wald_valid,welch_rejection,welch_valid,welch_minus_wald
2x2,different_skew,common,loglinear,50,500,0.0,0.0844024733014954,0.0844024733014949,0.0,0.1082,1.0,0.0264,1.0,-0.08180000000000001
2x2,different_skew,common,loglinear,500,50,0.0,0.0844024733014954,0.0844024733014949,0.0,0.1111,1.0,0.0285,1.0,-0.0826
2x2,different_skew,common,loglinear,10,10,0.1,0.0844024733014954,0.126603709952243,0.0422012366507475,0.128,0.9875,0.0235,0.7769,-0.10450000000000001
2x2,different_skew,common,loglinear,50,50,0.1,0.0844024733014954,0.126603709952243,0.0422012366507475,0.0705,1.0,0.0568,1.0,-0.01369999999999999
2x2,different_skew,common,loglinear,250,250,0.1,0.0844024733014954,0.126603709952243,0.0422012366507475,0.1761,1.0,0.1678,1.0,-0.008300000000000002
2x2,different_skew,common,loglinear,1000,1000,0.1,0.0844024733014954,0.126603709952243,0.0422012366507475,0.5355,1.0,0.5322,1.0,-0.0032999999999999696
2x2,different_skew,common,loglinear,50,500,0.1,0.0844024733014954,0.126603709952243,0.0422012366507475,0.2177,1.0,0.0751,1.0,-0.1426
2x2,different_skew,common,loglinear,500,50,0.1,0.0844024733014954,0.126603709952243,0.0422012366507475,0.0886,1.0,0.0566,1.0,-0.032
2x2,different_skew,common,loglinear,10,10,0.3,0.0844024733014954,0.2110061832537372,0.1266037099522426,0.1792,0.987,0.029,0.7855,-0.1502
2x2,different_skew,common,loglinear,50,50,0.3,0.0844024733014954,0.2110061832537372,0.1266037099522426,0.246,1.0,0.2266,0.9999,-0.0194
2x2,different_skew,common,loglinear,250,250,0.3,0.0844024733014954,0.2110061832537372,0.1266037099522426,0.7748,1.0,0.768,1.0,-0.006800000000000028
2x2,different_skew,common,loglinear,1000,1000,0.3,0.0844024733014954,0.2110061832537372,0.1266037099522426,0.9996,1.0,0.9996,1.0,0.0
2x2,different_skew,common,loglinear,50,500,0.3,0.0844024733014954,0.2110061832537372,0.1266037099522426,0.5469,1.0,0.4475,1.0,-0.09940000000000004
2x2,different_skew,common,loglinear,500,50,0.3,0.0844024733014954,0.2110061832537372,0.1266037099522426,0.2799,1.0,0.2673,1.0,-0.0126
2x2,different_skew,common,loglinear,10,10,0.6,0.0844024733014954,0.3376098932059934,0.2532074199044852,0.2869,0.9887,0.041,0.8036,-0.24589999999999998
2x2,different_skew,common,loglinear,50,50,0.6,0.0844024733014954,0.3376098932059934,0.2532074199044852,0.6368,1.0,0.6231,0.9999,-0.013700000000000045
2x2,different_skew,common,loglinear,250,250,0.6,0.0844024733014954,0.3376098932059934,0.2532074199044852,0.9978,1.0,0.9977,1.0,-9.999999999998899e-05
2x2,different_skew,common,loglinear,1000,1000,0.6,0.0844024733014954,0.3376098932059934,0.2532074199044852,1.0,1.0,1.0,1.0,0.0
2x2,different_skew,common,loglinear,50,500,0.6,0.0844024733014954,0.3376098932059934,0.2532074199044852,0.9075,1.0,0.8915,1.0,-0.016000000000000014
2x2,different_skew,common,loglinear,500,50,0.6,0.0844024733014954,0.3376098932059934,0.2532074199044852,0.7495,1.0,0.7415,1.0,-0.008000000000000007
3x3,uniform,common,additive,10,10,0.0,0.0512213627931035,0.0512213627931035,0.0,0.1241,1.0,0.035,0.9971,-0.0891
3x3,uniform,common,additive,50,50,0.0,0.0512213627931035,0.0512213627931035,0.0,0.0476,1.0,0.0357,1.0,-0.0119
3x3,uniform,common,additive,250,250,0.0,0.0512213627931035,0.0512213627931035,0.0,0.0445,1.0,0.0386,1.0,-0.0058999999999999955
3x3,uniform,common,additive,1000,1000,0.0,0.0512213627931035,0.0512213627931035,0.0,0.0504,1.0,0.048,1.0,-0.0023999999999999994
3x3,uniform,common,additive,50,500,0.0,0.0512213627931035,0.0512213627931035,0.0,0.081,1.0,0.021,1.0,-0.06
3x3,uniform,common,additive,500,50,0.0,0.0512213627931035,0.0512213627931035,0.0,0.0923,1.0,0.0248,1.0,-0.06749999999999999
3x3,uniform,common,additive,10,10,0.1,0.0512213627931035,0.0768320441896546,0.0256106813965517,0.1257,1.0,0.0371,0.9961,-0.08860000000000001
3x3,uniform,common,additive,50,50,0.1,0.0512213627931035,0.0768320441896546,0.0256106813965517,0.0765,1.0,0.06,1.0,-0.0165
3x3,uniform,common,additive,250,250,0.1,0.0512213627931035,0.0768320441896546,0.0256106813965517,0.1208,1.0,0.111,1.0,-0.009800000000000003
3x3,uniform,common,additive,1000,1000,0.1,0.0512213627931035,0.0768320441896546,0.0256106813965517,0.3904,1.0,0.3855,1.0,-0.0049000000000000155
3x3,uniform,common,additive,50,500,0.1,0.0512213627931035,0.0768320441896546,0.0256106813965517,0.1417,1.0,0.0194,1.0,-0.12229999999999999
3x3,uniform,common,additive,500,50,0.1,0.0512213627931035,0.0768320441896546,0.0256106813965517,0.0896,1.0,0.0553,1.0,-0.0343
