configuration_id,experiment,shape,rows,columns,skewness,relationship,interaction_pair,n_p,n_q,sample_size_ratio_q_to_p,relative_effect,replicates,structural_breakdown,simulation_seed
calibration__2x2__strong__identical_distribution__primary__np4__nq4__e0,calibration,2x2,2,2,strong,identical_distribution,primary,4,4,1.0,0.0,10000,False,16220366194195930973
calibration__2x2__strong__identical_distribution__primary__np500__nq500__e0,calibration,2x2,2,2,strong,identical_distribution,primary,500,500,1.0,0.0,10000,False,13878730711249082449
calibration__2x2__strong__identical_distribution__primary__np50__nq50__e0,calibration,2x2,2,2,strong,identical_distribution,primary,50,50,1.0,0.0,10000,False,14026114362317028335
calibration__2x2__strong__identical_distribution__primary__np5__nq5__e0,calibration,2x2,2,2,strong,identical_distribution,primary,5,5,1.0,0.0,10000,False,11584644002029081900
calibration__2x2__strong__identical_distribution__primary__np6__nq6__e0,calibration,2x2,2,2,strong,identical_distribution,primary,6,6,1.0,0.0,10000,False,9752868775247036870
calibration__2x2__strong__identical_distribution__primary__np75__nq75__e0,calibration,2x2,2,2,strong,identical_distribution,primary,75,75,1.0,0.0,10000,False,8192306028089825582
calibration__2x2__strong__identical_distribution__primary__np8__nq8__e0,calibration,2x2,2,2,strong,identical_distribution,primary,8,8,1.0,0.0,10000,False,13748122931340684649
calibration__2x2__ultra__equal_mi_different_shape__primary__np1000__nq1000__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,1000,1000,1.0,0.0,10000,False,12779364559572576546
calibration__2x2__ultra__equal_mi_different_shape__primary__np100__nq100__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,100,100,1.0,0.0,10000,False,14991640747448062832
calibration__2x2__ultra__equal_mi_different_shape__primary__np10__nq10__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,10,10,1.0,0.0,10000,False,4212271501054520261
calibration__2x2__ultra__equal_mi_different_shape__primary__np12__nq12__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,12,12,1.0,0.0,10000,False,6429493867055736939
calibration__2x2__ultra__equal_mi_different_shape__primary__np150__nq150__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,150,150,1.0,0.0,10000,False,12386915118241078203
calibration__2x2__ultra__equal_mi_different_shape__primary__np15__nq15__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,15,15,1.0,0.0,10000,False,12096086418516147122
calibration__2x2__ultra__equal_mi_different_shape__primary__np20__nq20__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,20,20,1.0,0.0,10000,False,14330029820779421791
calibration__2x2__ultra__equal_mi_different_shape__primary__np250__nq250__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,250,250,1.0,0.0,10000,False,13716746212190137804
calibration__2x2__ultra__equal_mi_different_shape__primary__np2__nq2__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,2,2,1.0,0.0,10000,False,2532003773161500703
calibration__2x2__ultra__equal_mi_different_shape__primary__np30__nq30__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,30,30,1.0,0.0,10000,False,12686601563734568961
calibration__2x2__ultra__equal_mi_different_shape__primary__np3__nq3__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,3,3,1.0,0.0,10000,False,10246654784759167590
calibration__2x2__ultra__equal_mi_different_shape__primary__np4__nq4__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,4,4,1.0,0.0,10000,False,15854741764801052375
calibration__2x2__ultra__equal_mi_different_shape__primary__np500__nq500__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,500,500,1.0,0.0,10000,False,15304028800658205790
calibration__2x2__ultra__equal_mi_different_shape__primary__np50__nq50__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,50,50,1.0,0.0,10000,False,927172649752801096
calibration__2x2__ultra__equal_mi_different_shape__primary__np5__nq5__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,5,5,1.0,0.0,10000,False,4426980928394427425
calibration__2x2__ultra__equal_mi_different_shape__primary__np6__nq6__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,6,6,1.0,0.0,10000,False,10209960641613056468
calibration__2x2__ultra__equal_mi_different_shape__primary__np75__nq75__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,75,75,1.0,0.0,10000,False,5694989741070874023
calibration__2x2__ultra__equal_mi_different_shape__primary__np8__nq8__e0,calibration,2x2,2,2,ultra,equal_mi_different_shape,primary,8,8,1.0,0.0,10000,False,13777471980440600637
calibration__2x2__ultra__identical_distribution__primary__np1000__nq1000__e0,calibration,2x2,2,2,ultra,identical_distribution,primary,1000,1000,1.0,0.0,10000,False,11392964846249657917
calibration__2x2__ultra__identical_distribution__primary__np100__nq100__e0,calibration,2x2,2,2,ultra,identical_distribution,primary,100,100,1.0,0.0,10000,False,11568108726190963544
calibration__2x2__ultra__identical_distribution__primary__np10__nq10__e0,calibration,2x2,2,2,ultra,identical_distribution,primary,10,10,1.0,0.0,10000,False,4782418996360159204
