configuration_id,alphabet_size,regime,sample_size,true_mi_difference,replicates,minimum_expected_count,fraction_expected_below_1,fraction_expected_below_5,lr_valid_rate,lr_median_elapsed_ms,lr_p90_elapsed_ms,lr_median_iterations,lr_max_constraint_residual
8x8_balanced_n150_delta0.01,8,balanced,150,0.01,250,0.7787959414179877,0.03125,1.0,1.0,172.45256260503083,412.3939787736162,66.0,3.790284919258369e-09
8x8_balanced_n150_delta0.02,8,balanced,150,0.02,250,0.6884704439297027,0.0625,1.0,1.0,168.14812505617738,373.7987588858232,66.0,2.466771564790804e-09
8x8_balanced_n150_delta0.035,8,balanced,150,0.035,250,0.5741307184836494,0.0625,1.0,1.0,164.3782085739076,436.1637794878334,66.0,8.691887543044174e-09
8x8_balanced_n250_delta0.005,8,balanced,250,0.005,250,1.3819870585750873,0.0,0.84375,1.0,192.2543745022267,272.8902036324143,73.0,4.775213030550063e-09
8x8_balanced_n250_delta0.01,8,balanced,250,0.01,250,1.2979932356966462,0.0,0.84375,1.0,189.93283342570066,274.2941334610805,74.0,5.504276312517931e-09
8x8_balanced_n250_delta0.02,8,balanced,250,0.02,250,1.147450739882838,0.0,0.84375,1.0,190.07485453039408,277.364212879911,73.0,4.638677886248388e-09
8x8_balanced_n250_delta0.035,8,balanced,250,0.035,250,0.9568845308060824,0.015625,0.8125,1.0,189.909688080661,323.3556461054832,76.0,1.7243461936100601e-09
8x8_balanced_n500_delta0.005,8,balanced,500,0.005,250,2.7639741171501746,0.0,0.15625,1.0,214.87464546225965,245.83681232761592,79.0,9.979889761813077e-09
8x8_balanced_n500_delta0.01,8,balanced,500,0.01,250,2.5959864713932923,0.0,0.15625,1.0,211.29010361619294,250.6286123767495,79.5,9.992515898060716e-09
8x8_balanced_n500_delta0.02,8,balanced,500,0.02,250,2.294901479765676,0.0,0.15625,1.0,219.32918741367757,264.2069999827072,81.5,9.976902387576203e-09
8x8_balanced_n500_delta0.035,8,balanced,500,0.035,250,1.9137690616121648,0.0,0.15625,1.0,221.97164606768638,262.69159503281116,84.0,9.950127305424772e-09
8x8_balanced_n1000_delta0.005,8,balanced,1000,0.005,250,5.527948234300349,0.0,0.0,1.0,307.40458297077566,375.6988750072196,112.0,9.99229905762622e-09
8x8_balanced_n1000_delta0.01,8,balanced,1000,0.01,250,5.191972942786585,0.0,0.0,1.0,313.24218737427145,386.6712293121964,114.5,9.998051622717163e-09
8x8_balanced_n1000_delta0.02,8,balanced,1000,0.02,250,4.589802959531352,0.0,0.015625,1.0,318.80047952290624,380.9525749646127,119.0,9.999081479472594e-09
8x8_balanced_n1000_delta0.035,8,balanced,1000,0.035,250,3.8275381232243295,0.0,0.015625,1.0,319.9315000092611,371.13664562348276,125.0,9.999649566716506e-09
8x8_mild_n25_delta0.005,8,mild,25,0.005,250,0.013888105884351371,0.984375,0.984375,0.972,127.86566698923707,1141.9308248907328,51.0,9.141537027357316e-09
8x8_mild_n25_delta0.01,8,mild,25,0.01,250,0.012912982698831996,0.984375,0.984375,0.952,129.4724999461323,1087.052137660794,51.0,9.610478080013252e-09
8x8_mild_n25_delta0.02,8,mild,25,0.02,250,0.011180557499283036,0.984375,0.984375,0.952,128.27933358494192,1040.514812595211,51.0,9.746988244296872e-09
8x8_mild_n25_delta0.035,8,mild,25,0.035,250,0.009019534656522553,0.984375,0.984375,0.984,123.43150051310658,978.6036250879988,47.0,7.840624094423987e-09
8x8_mild_n50_delta0.005,8,mild,50,0.005,250,0.027776211768702742,0.828125,0.984375,0.992,101.59558348823339,714.5155206089847,40.0,7.116286560027163e-09
8x8_mild_n50_delta0.01,8,mild,50,0.01,250,0.02582596539766399,0.8359375,0.984375,0.992,103.30214560963213,700.1409046351912,41.5,9.99365734610791e-09
8x8_mild_n50_delta0.02,8,mild,50,0.02,250,0.02236111499856607,0.8359375,0.984375,0.988,99.92687497287989,727.6231662370265,40.0,5.724805240969744e-09
8x8_mild_n50_delta0.035,8,mild,50,0.035,250,0.018039069313045105,0.84375,0.984375,0.976,102.28004201781005,672.892216895707,40.5,7.477897245866671e-09
8x8_mild_n75_delta0.005,8,mild,75,0.005,250,0.04166431765305411,0.7734375,0.984375,1.0,111.22329148929566,163.95323399920014,46.0,9.833548419990734e-09
8x8_mild_n75_delta0.01,8,mild,75,0.01,250,0.03873894809649599,0.7734375,0.984375,1.0,109.84687495511025,160.195204266347,44.0,9.060045602637956e-09
8x8_mild_n75_delta0.02,8,mild,75,0.02,250,0.03354167249784911,0.78125,0.984375,1.0,111.6936873877421,171.17996246088285,45.0,5.001473790677835e-09
8x8_mild_n75_delta0.035,8,mild,75,0.035,250,0.027058603969567656,0.7890625,0.984375,1.0,113.27877047006041,306.72539151273656,47.0,7.935143098158903e-09
8x8_mild_n100_delta0.005,8,mild,100,0.005,250,0.055552423537405485,0.765625,0.984375,1.0,128.08708345983177,178.15177470911289,50.0,1.6599367436143098e-09
8x8_mild_n100_delta0.01,8,mild,100,0.01,250,0.05165193079532798,0.765625,0.984375,1.0,130.31477050390095,188.8101003831252,51.0,7.084030639870065e-09
8x8_mild_n100_delta0.02,8,mild,100,0.02,250,0.04472222999713214,0.7578125,0.984375,1.0,129.02922893408686,163.33894121926278,51.0,2.6618547366297207e-09
8x8_mild_n100_delta0.035,8,mild,100,0.035,250,0.03607813862609021,0.765625,0.984375,0.996,130.29029103927314,200.7541918195786,52.0,3.244039870065052e-09
8x8_mild_n150_delta0.005,8,mild,150,0.005,250,0.08332863530610822,0.734375,0.9765625,1.0,151.3861670391634,173.8114162813872,57.0,4.037233602982582e-09
