configuration,family,split,total_n,total_strata,informative_strata,lyapunov_ratio,max_variance_share,skewness,reference,exact_state_count,router_route,exact_seconds,cgf_build_seconds,saddlepoint_pvalue_seconds,router_seconds,permutation_seconds,runtime_speedup_vs_permutation,saddlepoint_quantile_p_mae,saddlepoint_tail_quantile_p_mae,saddlepoint_quantile_max_error,saddlepoint_quantile_monotonicity_violations,saddlepoint_quantile_evaluations,saddlepoint_quantile_fallbacks,alpha,reference_fpr,saddlepoint_threshold,saddlepoint_threshold_evaluations,saddlepoint_threshold_fallbacks,normal_fpr,normal_fpr_error_vs_reference,normal_size_distortion,edgeworth_fpr,edgeworth_fpr_error_vs_reference,edgeworth_size_distortion,cornish_fisher_fpr,cornish_fisher_fpr_error_vs_reference,cornish_fisher_size_distortion,saddlepoint_fpr,saddlepoint_fpr_error_vs_reference,saddlepoint_size_distortion,router_fpr,router_fpr_error_vs_reference,router_size_distortion,chi2_nominal_fpr,chi2_nominal_fpr_error_vs_reference,chi2_nominal_size_distortion,chi2_informative_fpr,chi2_informative_fpr_error_vs_reference,chi2_informative_size_distortion
homogeneous_k5_n10_x_skew,homogeneous,development,50,5,0,0.0,0.0,0.0,exact_convolution,1,exact_convolution,0.00017758295871317387,0.00033195805735886097,1.5419209375977516e-06,0.00017758295871317387,0.00032058299984782934,1.805257678838567,0.0,0.0,0.0,0,1,1,0.01,0.0,,1,1,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01
homogeneous_k5_n10_x_skew,homogeneous,development,50,5,0,0.0,0.0,0.0,exact_convolution,1,exact_convolution,0.00017758295871317387,0.00033195805735886097,1.5419209375977516e-06,0.00017758295871317387,0.00032058299984782934,1.805257678838567,0.0,0.0,0.0,0,1,1,0.001,0.0,,1,1,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001
homogeneous_k5_n10_both_skew,homogeneous,heldout,50,5,5,1.222383827699885,0.19999999999999998,1.1925695879998877,exact_convolution,6,exact_convolution,0.000178084010258317,0.0003255420597270131,0.0013474170118570328,0.000178084010258317,0.0003243749961256981,1.8214717629908546,0.06223832788710598,0.02652814228767917,0.19589702697306557,0,4,1,0.1,0.08146,13.67136416362,4,2,0.08146,0.0,0.01854,0.08146,0.0,0.01854,0.08146,0.0,0.01854,0.08146,0.0,0.01854,0.08146,0.0,0.01854,0.08146,0.0,0.01854,0.08146,0.0,0.01854
homogeneous_k5_n10_both_skew,homogeneous,heldout,50,5,5,1.222383827699885,0.19999999999999998,1.1925695879998877,exact_convolution,6,exact_convolution,0.000178084010258317,0.0003255420597270131,0.0013474170118570328,0.000178084010258317,0.0003243749961256981,1.8214717629908546,0.06223832788710598,0.02652814228767917,0.19589702697306557,0,4,1,0.05,0.00856,13.67136416362,4,2,0.08146,0.0729,0.03146,0.08146,0.0729,0.03146,0.08146,0.0729,0.03146,0.08146,0.0729,0.03146,0.00856,0.0,0.041440000000000005,0.08146,0.0729,0.03146,0.08146,0.0729,0.03146
homogeneous_k5_n10_both_skew,homogeneous,heldout,50,5,5,1.222383827699885,0.19999999999999998,1.1925695879998877,exact_convolution,6,exact_convolution,0.000178084010258317,0.0003255420597270131,0.0013474170118570328,0.000178084010258317,0.0003243749961256981,1.8214717629908546,0.06223832788710598,0.02652814228767917,0.19589702697306557,0,4,1,0.01,0.00856,19.950341888795,4,2,0.00856,0.0,0.0014400000000000003,0.00856,0.0,0.0014400000000000003,0.00856,0.0,0.0014400000000000003,0.00856,0.0,0.0014400000000000003,0.00856,0.0,0.0014400000000000003,0.00856,0.0,0.0014400000000000003,0.00856,0.0,0.0014400000000000003
homogeneous_k5_n10_both_skew,homogeneous,heldout,50,5,5,1.222383827699885,0.19999999999999998,1.1925695879998877,exact_convolution,6,exact_convolution,0.000178084010258317,0.0003255420597270131,0.0013474170118570328,0.000178084010258317,0.0003243749961256981,1.8214717629908546,0.06223832788710598,0.02652814228767917,0.19589702697306557,0,4,1,0.001,0.00046,26.22931961397,5,2,0.00856,0.0081,0.00756,0.00046,0.0,0.00054,0.00046,0.0,0.00054,0.00046,0.0,0.00054,0.00046,0.0,0.00054,0.00046,0.0,0.00054,0.00046,0.0,0.00054
homogeneous_k5_n30_balanced,homogeneous,development,150,5,5,1.3857606036710166,0.19999999999999998,1.2740265068793792,exact_convolution,792,exact_convolution,0.0011762090725824237,0.0003486250061541796,0.0017797080799937248,0.0011762090725824237,0.0003447919152677059,0.29313828919096724,0.020900562564794854,0.004797035397774138,0.07612712086883344,0,31,3,0.1,0.0892689942060201,10.420353910939,12,2,0.0892689942060201,0.0,0.010731005793979911,0.0892689942060201,0.0,0.010731005793979911,0.08926899420602007,2.7755575615628914e-17,0.01073100579397994,0.08926899420602007,2.7755575615628914e-17,0.01073100579397994,0.0892689942060201,0.0,0.010731005793979911,0.13328925802873798,0.044020263822717884,0.03328925802873797,0.13328925802873798,0.044020263822717884,0.03328925802873797
homogeneous_k5_n30_balanced,homogeneous,development,150,5,5,1.3857606036710166,0.19999999999999998,1.2740265068793792,exact_convolution,792,exact_convolution,0.0011762090725824237,0.0003486250061541796,0.0017797080799937248,0.0011762090725824237,0.0003447919152677059,0.29313828919096724,0.020900562564794854,0.004797035397774138,0.07612712086883344,0,31,3,0.05,0.04092873523199113,11.666896646996,12,2,0.06308760190674288,0.022158866674751754,0.01308760190674288,0.03984424180910256,0.0010844934228885703,0.010155758190897445,0.04092873523199112,6.938893903907228e-18,0.009071264768008881,0.05635906831854189,0.015430333086550764,0.00635906831854189,0.04092873523199113,0.0,0.009071264768008874,0.06308760190674288,0.022158866674751754,0.01308760190674288,0.06308760190674288,0.022158866674751754,0.01308760190674288
homogeneous_k5_n30_balanced,homogeneous,development,150,5,5,1.3857606036710166,0.19999999999999998,1.2740265068793792,exact_convolution,792,exact_convolution,0.0011762090725824237,0.0003486250061541796,0.0017797080799937248,0.0011762090725824237,0.0003447919152677059,0.29313828919096724,0.020900562564794854,0.004797035397774138,0.07612712086883344,0,31,3,0.01,0.00966756935370814,16.006143646409,12,2,0.028870030875212786,0.019202461521504646,0.018870030875212787,0.012589025080954112,0.0029214557272459717,0.0025890250809541115,0.00870327193349466,0.0009642974202134797,0.00129672806650534,0.010683981692276271,0.0010164123385681314,0.0006839816922762712,0.00966756935370814,0.0,0.0003324306462918602,0.012589025080954112,0.0029214557272459717,0.0025890250809541115,0.012589025080954112,0.0029214557272459717,0.0025890250809541115
homogeneous_k5_n30_balanced,homogeneous,development,150,5,5,1.3857606036710166,0.19999999999999998,1.2740265068793792,exact_convolution,792,exact_convolution,0.0011762090725824237,0.0003486250061541796,0.0017797080799937248,0.0011762090725824237,0.0003447919152677059,0.29313828919096724,0.020900562564794854,0.004797035397774138,0.07612712086883344,0,31,3,0.001,0.0009619656807228498,21.786187513835,11,2,0.010683981692276273,0.009722016011553423,0.009683981692276272,0.00461359990477844,0.00365163422405559,0.00361359990477844,0.001111234096506831,0.00014926841578398117,0.00011123409650683094,0.0010634176955045098,0.00010145201478165998,6.341769550450974e-05,0.0009619656807228498,0.0,3.803431927715023e-05,0.0018053634574318545,0.0008433977767090047,0.0008053634574318545,0.0018053634574318545,0.0008433977767090047,0.0008053634574318545
