scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,regime,regime_label,variant,method,method_label,valid_replicates,valid_rate,nominal_alpha,rejections,rejection_rate,rejection_rate_low,rejection_rate_high,absolute_calibration_error
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.05,518,0.0518,0.04762580193687199,0.05631841420260249,0.001799999999999996
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.051,526,0.0526,0.0483939705288705,0.057149631213210914,0.0016000000000000042
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.052,529,0.0529,0.04868210654613315,0.05746126479692585,0.000900000000000005
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.053,537,0.0537,0.049450660112119696,0.05829209683354622,0.0006999999999999992
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.054,548,0.0548,0.05050786586430546,0.059434046284944975,0.0008000000000000021
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.055,559,0.0559,0.0515655732207708,0.06057549413206414,0.000899999999999998
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.056,568,0.0568,0.05243133353814889,0.06150904261761884,0.0008000000000000021
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.057,578,0.0578,0.05339366355131309,0.06254594460771326,0.0007999999999999952
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.058,591,0.0591,0.05464526611656369,0.06389334364669892,0.0010999999999999968
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.059,613,0.0613,0.05676478789369582,0.06617213227673581,0.0023000000000000034
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.06,628,0.0628,0.05821090451957561,0.06772486365574398,0.002799999999999997
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.061,642,0.0642,0.05956130891199606,0.06917338406788566,0.0031999999999999945
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.062,650,0.065,0.06033326197917361,0.07000081660331503,0.0030000000000000027
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.063,664,0.0664,0.06168468019223157,0.07144832319481918,0.0034000000000000002
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.064,674,0.0674,0.06265036008987437,0.07248187530043501,0.0034000000000000002
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.065,686,0.0686,0.06380958491786005,0.07372172887635971,0.003599999999999992
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.066,699,0.0699,0.06506590342515885,0.07506441197329718,0.0039000000000000007
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.067,711,0.0711,0.06622602477244359,0.07630336902992278,0.0040999999999999925
