configuration_id,anchor_configuration_id,configuration_label,n_p,n_q,mi_p,mi_q,mi_difference,minimum_expected_count,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high,p_value_threshold
CURVE_CURVE_C2_N0_np20_nq200_di0p5_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",20.0,200.0,0.0999999999999998,0.5999999999981145,0.5,1.8753421882469925,normal_wald,Normal Wald,5000,5000,1.0,4773,0.9546,0.9484723254351166,0.9600296799564376,
CURVE_CURVE_C2_N3_np500_nq50_di0_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",500.0,50.0,0.0300000000000003,0.0299999999993568,0.0,1.729791843220617,normal_wald,Normal Wald,5000,5000,1.0,898,0.1796,0.1692075200001072,0.1904844234062854,
CURVE_CURVE_C2_N3_np500_nq50_di1em05_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",500.0,50.0,0.0300000000000003,0.0300099999993583,1e-05,1.7294941411931255,normal_wald,Normal Wald,5000,5000,1.0,831,0.1662,0.1561387044033781,0.176773813415142,
CURVE_CURVE_C2_N3_np500_nq50_di0p0001_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",500.0,50.0,0.0300000000000003,0.0300999999993741,0.0001,1.726817192298848,normal_wald,Normal Wald,5000,5000,1.0,848,0.1696,0.1594524811931695,0.1802548162521242,
CURVE_CURVE_C2_N3_np500_nq50_di0p001_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",500.0,50.0,0.0300000000000003,0.0309999999994938,0.001,1.7002787643741166,normal_wald,Normal Wald,5000,5000,1.0,822,0.1644,0.1543849769656748,0.1749303045798474,
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",500.0,50.0,0.0300000000000003,0.0349999999996594,0.005,1.587063986477207,normal_wald,Normal Wald,5000,5000,1.0,743,0.1486,0.1390107176948044,0.1587288232321818,
CURVE_CURVE_C2_N3_np500_nq50_di0p01_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",500.0,50.0,0.0300000000000003,0.0399999999996772,0.01,1.4550891974529974,normal_wald,Normal Wald,5000,5000,1.0,643,0.1286,0.1196054940109934,0.138164754993795,
CURVE_CURVE_C2_N3_np500_nq50_di0p02_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",500.0,50.0,0.0300000000000003,0.0499999999996781,0.02,1.216827929185016,normal_wald,Normal Wald,5000,5000,1.0,588,0.1176,0.1089632389960658,0.1268238994515138,
CURVE_CURVE_C2_N3_np500_nq50_di0p05_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",500.0,50.0,0.0300000000000003,0.0799999999996817,0.05,0.6457613112633702,normal_wald,Normal Wald,5000,5000,1.0,750,0.15,0.1403715144980469,0.1601658768634931,
CURVE_CURVE_C2_N3_np500_nq50_di0p1_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",500.0,50.0,0.0300000000000003,0.1299999999996715,0.1,0.0277369951092842,normal_wald,Normal Wald,5000,5000,1.0,1587,0.3174,0.304642592070889,0.3304377726794458,
CURVE_CURVE_C2_N5_np200_nq2000_di0_scale1,C2_N5_np200_nq2000,Rare and highly unequal,200.0,2000.0,0.0050000000002087,0.0050000000000001,0.0,0.6987991852268817,normal_wald,Normal Wald,5000,5000,1.0,2399,0.4798,0.4659730918346437,0.4936579233239366,
CURVE_CURVE_C2_N5_np200_nq2000_di1em05_scale1,C2_N5_np200_nq2000,Rare and highly unequal,200.0,2000.0,0.0050000000002087,0.0050100000000002,1e-05,0.6987991852268817,normal_wald,Normal Wald,5000,5000,1.0,2448,0.4896,0.4757572615426232,0.5034587066578341,
CURVE_CURVE_C2_N5_np200_nq2000_di0p0001_scale1,C2_N5_np200_nq2000,Rare and highly unequal,200.0,2000.0,0.0050000000002087,0.0051000000000001,0.0001,0.6987991852268817,normal_wald,Normal Wald,5000,5000,1.0,2457,0.4914,0.4775549326399622,0.5052582718334929,
CURVE_CURVE_C2_N5_np200_nq2000_di0p001_scale1,C2_N5_np200_nq2000,Rare and highly unequal,200.0,2000.0,0.0050000000002087,0.0060000000000001,0.001,0.6987991852268817,normal_wald,Normal Wald,5000,5000,1.0,2441,0.4882,0.4743591970241168,0.5020589207417867,
