configuration_id,anchor_configuration_id,configuration_label,mi_difference,method,method_label,p_value_threshold,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high
CURVE_CURVE_C1_N7_n1000_di0p001_scale1,C1_N7_n1000,Ultra-rare categories,0.001,expanded_welch_matched,Expanded Welch (size-matched),0.26590968461373826,5000,4301,0.8602,303,0.07044873285282492,0.06317805308037322,0.07848603946619861
CURVE_CURVE_C1_N7_n1000_di0p005_scale1,C1_N7_n1000,Ultra-rare categories,0.005,normal_wald_matched,Normal Wald (size-matched),0.12159070583881607,5000,4991,0.9982,800,0.16028851933480265,0.15037215696017933,0.17072741587778797
CURVE_CURVE_C1_N7_n1000_di0p005_scale1,C1_N7_n1000,Ultra-rare categories,0.005,expanded_welch_matched,Expanded Welch (size-matched),0.26590968461373826,5000,4265,0.853,1282,0.30058616647127784,0.2870099490682614,0.3145212822017055
CURVE_CURVE_C2_N0_np20_nq200_di0_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.0,normal_wald_matched,Normal Wald (size-matched),0.000964934926464683,5000,5000,1.0,267,0.0534,0.047503970713696914,0.05998174066362813
CURVE_CURVE_C2_N0_np20_nq200_di0_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.0,expanded_welch_matched,Expanded Welch (size-matched),0.04112513328139783,5000,4993,0.9986,247,0.04946925695974364,0.04379320225008772,0.05583802738235889
CURVE_CURVE_C2_N0_np20_nq200_di1em05_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",1e-05,normal_wald_matched,Normal Wald (size-matched),0.000964934926464683,5000,5000,1.0,274,0.0548,0.04882660544300012,0.061456956368878754
CURVE_CURVE_C2_N0_np20_nq200_di1em05_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",1e-05,expanded_welch_matched,Expanded Welch (size-matched),0.04112513328139783,5000,4995,0.999,272,0.05445445445445445,0.048497231600531286,0.06109645392314176
CURVE_CURVE_C2_N0_np20_nq200_di0p0001_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.0001,normal_wald_matched,Normal Wald (size-matched),0.000964934926464683,5000,5000,1.0,262,0.0524,0.046559956706276516,0.05892729007493864
CURVE_CURVE_C2_N0_np20_nq200_di0p0001_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.0001,expanded_welch_matched,Expanded Welch (size-matched),0.04112513328139783,5000,4992,0.9984,249,0.049879807692307696,0.044179363089968074,0.05627247529546331
CURVE_CURVE_C2_N0_np20_nq200_di0p001_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.001,normal_wald_matched,Normal Wald (size-matched),0.000964934926464683,5000,5000,1.0,290,0.058,0.051854009739711444,0.06482463877971908
