regime,regime_label,method,method_label,population_pairs,replicates_per_population,mean_valid_rate,scenarios_below_valid_rate_floor,mean_coverage_95,median_effective_df,mean_fpr_10,mean_absolute_fpr_error_10,median_absolute_fpr_error_10,minimum_fpr_10,maximum_fpr_10,mean_unconditional_fpr_10,mean_common_valid_fpr_10,adequate_size_control_count_10,inadequate_size_control_count_10,improved_vs_normal_10,worsened_vs_normal_10,tied_vs_normal_10,mean_fpr_05,mean_absolute_fpr_error_05,median_absolute_fpr_error_05,minimum_fpr_05,maximum_fpr_05,mean_unconditional_fpr_05,mean_common_valid_fpr_05,adequate_size_control_count_05,inadequate_size_control_count_05,improved_vs_normal_05,worsened_vs_normal_05,tied_vs_normal_05,mean_fpr_01,mean_absolute_fpr_error_01,median_absolute_fpr_error_01,minimum_fpr_01,maximum_fpr_01,mean_unconditional_fpr_01,mean_common_valid_fpr_01,adequate_size_control_count_01,inadequate_size_control_count_01,improved_vs_normal_01,worsened_vs_normal_01,tied_vs_normal_01
highly_sparse,Highly skewed and sparse,simple_welch,Simple Welch,12,10000,1.0,0,0.9449999999999998,644.9652875359845,0.10710000000000003,0.007499999999999995,0.005249999999999991,0.0981,0.1198,0.10710000000000003,0.10710000000000003,12,0,10,1,1,0.055,0.005133333333333331,0.0031499999999999966,0.0492,0.0673,0.055,0.055,12,0,11,1,0,0.011933333333333336,0.002116666666666666,0.0016499999999999996,0.0094,0.0192,0.011933333333333336,0.011933333333333336,11,1,8,2,2
highly_sparse,Highly skewed and sparse,expanded_welch,Expanded Welch,12,10000,1.0,0,0.9474416666666667,150.08301969548245,0.10403333333333332,0.006466666666666663,0.004899999999999995,0.0899,0.1137,0.10403333333333332,0.10403333333333332,12,0,9,3,0,0.05255833333333334,0.004174999999999999,0.0035499999999999976,0.0444,0.0607,0.05255833333333334,0.05255833333333334,12,0,10,2,0,0.010741666666666668,0.0014249999999999998,0.00115,0.0079,0.0138,0.010741666666666668,0.010741666666666668,12,0,9,3,0
ultra_sparse,Ultra-skewed and sparse,normal_wald,Normal Wald,12,10000,1.0,0,0.9252833333333332,,0.13191666666666665,0.03231666666666667,0.03574999999999999,0.0976,0.1664,0.13191666666666665,0.13191666666666665,9,3,0,0,12,0.07471666666666667,0.02498333333333333,0.026199999999999994,0.0484,0.1004,0.07471666666666667,0.07471666666666667,6,6,0,0,12,0.021466666666666672,0.011466666666666667,0.0102,0.0104,0.0334,0.021466666666666672,0.021466666666666672,3,9,0,0,12
ultra_sparse,Ultra-skewed and sparse,simple_welch,Simple Welch,12,10000,1.0,0,0.9280666666666666,105.36327195237003,0.1291,0.029533333333333328,0.03295000000000001,0.0974,0.1617,0.1291,0.1291,11,1,10,1,1,0.07193333333333334,0.022299999999999997,0.024099999999999996,0.0478,0.0966,0.07193333333333334,0.07193333333333334,6,6,11,1,0,0.019841666666666664,0.009841666666666667,0.008849999999999998,0.01,0.0303,0.019841666666666664,0.019841666666666664,4,8,12,0,0
ultra_sparse,Ultra-skewed and sparse,expanded_welch,Expanded Welch,12,10000,1.0,0,0.93745,30.230748944056515,0.120425,0.02120833333333333,0.025049999999999996,0.0957,0.1524,0.120425,0.120425,11,1,11,1,0,0.06255000000000001,0.013199999999999998,0.01335,0.0461,0.086,0.06255000000000001,0.06255000000000001,10,2,11,1,0,0.012858333333333333,0.003741666666666666,0.0027,0.0063,0.022,0.012858333333333333,0.012858333333333333,9,3,11,1,0
widespread_sparse,Widespread sparsity,normal_wald,Normal Wald,12,10000,0.998225,0,0.9252498210775797,,0.13125490718291416,0.03125490718291415,0.030899999999999997,0.1119,0.15304591377413224,0.13100833333333334,0.12133873778214253,11,1,0,0,12,0.07475017892242035,0.024750178922420343,0.024249999999999994,0.0576,0.10113033910173051,0.0746,0.06639439601846743,7,5,0,0,12,0.02169681764505518,0.01169681764505518,0.0095,0.0131,0.04771431429428829,0.021666666666666664,0.01810331634082204,2,10,0,0,12
widespread_sparse,Widespread sparsity,simple_welch,Simple Welch,12,10000,0.998225,0,0.9284406995353628,122.26858296012787,0.12853114157859888,0.02853114157859887,0.029249999999999984,0.1116,0.1479443833149945,0.12829166666666666,0.11849350283748784,12,0,12,0,0,0.07155930046463717,0.021559300464637176,0.020841113381001017,0.0574,0.0979293788136441,0.07143333333333333,0.06422215502732016,8,4,12,0,0,0.019865123729321726,0.009865123729321724,0.0084,0.0124,0.04451335400620186,0.01984166666666667,0.016627822375508042,4,8,11,0,1
widespread_sparse,Widespread sparsity,expanded_welch,Expanded Welch,12,10000,0.9739833333333333,1,0.9433804964507119,36.6320133568357,0.11055731651239949,0.01884321151556204,0.01475,0.05028462998102467,0.1395,0.109025,0.11055731651239949,12,0,11,1,0,0.056619503549288235,0.012772101362607117,0.009349999999999997,0.017484413120086743,0.0751,0.056008333333333334,0.056619503549288235,10,2,12,0,0,0.012983068366573668,0.004880172369465149,0.004906004195070792,0.003117375982651125,0.01926743602609132,0.012849999999999999,0.012983068366573668,6,6,11,1,0
all,All regimes,normal_wald,Normal Wald,72,10000,0.9997041666666667,0,0.9381221924018188,,0.11531192897493016,0.016348040086041245,0.012449999999999996,0.0903,0.1664,0.11527083333333336,0.11365923407480155,68,4,0,0,72,0.06187780759818115,0.01232225204262561,0.009099999999999997,0.0439,0.10113033910173051,0.06185277777777777,0.06048517711418902,61,11,0,0,72,0.015703636274175863,0.0059203029408425294,0.0035499999999999993,0.0079,0.04771431429428829,0.01569861111111111,0.015104719390137007,41,31,0,0,72
all,All regimes,simple_welch,Simple Welch,72,10000,0.9997041666666667,0,0.9397984499225606,392.07566662126584,0.11372741248532203,0.014932968040877589,0.0116,0.0902,0.1617,0.1136875,0.11205447269513685,71,1,56,13,3,0.06020155007743953,0.01086266118855064,0.0081,0.0439,0.0979293788136441,0.06018055555555556,0.05897869250455336,62,10,58,12,2,0.014738631732664733,0.005074742843775842,0.002634065372829418,0.0069,0.04451335400620186,0.014734722222222225,0.014199081507029119,46,26,57,10,5
all,All regimes,expanded_welch,Expanded Welch,72,10000,0.9956638888888888,1,0.9456731382973409,73.14550428488734,0.10712760830762214,0.011325257474815893,0.008650000000000005,0.05028462998102467,0.1524,0.10687222222222222,0.10712760830762214,71,1,54,18,0,0.05432686170265915,0.007260628004878963,0.004649999999999998,0.017484413120086743,0.086,0.054225,0.05432686170265915,68,4,55,17,0,0.011493011394428945,0.002734195394910858,0.0020999999999999994,0.003117375982651125,0.022,0.011470833333333335,0.011493011394428945,60,12,54,18,0
