scenario_id,regime,regime_label,rows,columns,n_p,n_q,null_mi,relative_effect,alternative_mi_q,true_delta,construction_seed,calibration_seed,simulation_seed,replicates,calibration_replicates,method,method_label,valid_rate,power_05,size_adjusted_threshold,size_adjusted_power,coverage_95,median_effective_df
strong_null_2x5_d-2,strong_null,Strong null (P = Q),2,5,200,200,0.1,0.5,0.15000000000000002,-0.05000000000000002,2716348429,1106597538,2863147274,10000,10000,expanded_welch,Expanded Welch,1.0,0.1911,0.051650070079482205,0.1943,0.9511,110.91069502677615
strong_null_2x5_d-2,strong_null,Strong null (P = Q),2,5,200,200,0.1,1.0,0.2,-0.1,1817534936,4265678341,3946206988,10000,10000,normal_wald,Normal Wald,1.0,0.6278,0.04600475638282576,0.6139,0.9449,
strong_null_2x5_d-2,strong_null,Strong null (P = Q),2,5,200,200,0.1,1.0,0.2,-0.1,1817534936,4265678341,3946206988,10000,10000,simple_welch,Simple Welch,1.0,0.6246,0.04673581594479429,0.6141,0.946,394.6141744169697
strong_null_2x5_d-2,strong_null,Strong null (P = Q),2,5,200,200,0.1,1.0,0.2,-0.1,1817534936,4265678341,3946206988,10000,10000,expanded_welch,Expanded Welch,1.0,0.6187,0.04943432903898252,0.6174,0.9478,113.96722323247909
strong_null_2x5_d-1,strong_null,Strong null (P = Q),2,5,100,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,837902265,2337797792,2624035108,10000,10000,normal_wald,Normal Wald,1.0,0.2644,0.03599217165027412,0.2285,0.9255,
strong_null_2x5_d-1,strong_null,Strong null (P = Q),2,5,100,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,837902265,2337797792,2624035108,10000,10000,simple_welch,Simple Welch,1.0,0.2614,0.037312376841264504,0.2292,0.9278,193.7041323193185
strong_null_2x5_d-1,strong_null,Strong null (P = Q),2,5,100,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,837902265,2337797792,2624035108,10000,10000,expanded_welch,Expanded Welch,1.0,0.2548,0.03937303833254689,0.2265,0.931,93.1861877212126
strong_null_2x5_d-1,strong_null,Strong null (P = Q),2,5,100,200,0.15,1.0,0.3,-0.15,3765139231,1109177702,1706732043,10000,10000,normal_wald,Normal Wald,1.0,0.6517,0.03694211925978338,0.6089,0.9329,
strong_null_2x5_d-1,strong_null,Strong null (P = Q),2,5,100,200,0.15,1.0,0.3,-0.15,3765139231,1109177702,1706732043,10000,10000,simple_welch,Simple Welch,1.0,0.6477,0.03808334584226879,0.608,0.9345,195.97894690403191
strong_null_2x5_d-1,strong_null,Strong null (P = Q),2,5,100,200,0.15,1.0,0.3,-0.15,3765139231,1109177702,1706732043,10000,10000,expanded_welch,Expanded Welch,1.0,0.645,0.04098675576121368,0.6149,0.9383,94.29024494308707
fixed_2x5_d0,well_sampled,Well sampled,2,5,200,200,0.1,0.5,0.15000000000000002,-0.05000000000000002,2443901535,1954335200,1175065500,10000,10000,normal_wald,Normal Wald,1.0,0.2299,0.04723241139525875,0.2234,0.9409,
fixed_2x5_d0,well_sampled,Well sampled,2,5,200,200,0.1,0.5,0.15000000000000002,-0.05000000000000002,2443901535,1954335200,1175065500,10000,10000,simple_welch,Simple Welch,1.0,0.228,0.04800266960333972,0.2234,0.9416,393.39608575703807
fixed_2x5_d0,well_sampled,Well sampled,2,5,200,200,0.1,0.5,0.15000000000000002,-0.05000000000000002,2443901535,1954335200,1175065500,10000,10000,expanded_welch,Expanded Welch,1.0,0.2242,0.04984510013222849,0.2237,0.9429,119.05993316425369
fixed_2x5_d0,well_sampled,Well sampled,2,5,200,200,0.1,1.0,0.2,-0.1,2871443590,1411500027,2619411366,10000,10000,normal_wald,Normal Wald,1.0,0.6084,0.050326585081210386,0.6098,0.9381,
fixed_2x5_d0,well_sampled,Well sampled,2,5,200,200,0.1,1.0,0.2,-0.1,2871443590,1411500027,2619411366,10000,10000,simple_welch,Simple Welch,1.0,0.606,0.051125092595601426,0.61,0.9393,390.7582879879179
fixed_2x5_d0,well_sampled,Well sampled,2,5,200,200,0.1,1.0,0.2,-0.1,2871443590,1411500027,2619411366,10000,10000,expanded_welch,Expanded Welch,1.0,0.603,0.05398094058845587,0.6158,0.9403,156.4077241640245
fixed_2x5_d1,well_sampled,Well sampled,2,5,200,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,2449909793,2601418103,117611350,10000,10000,normal_wald,Normal Wald,1.0,0.3296,0.0478821053831791,0.3222,0.9379,
fixed_2x5_d1,well_sampled,Well sampled,2,5,200,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,2449909793,2601418103,117611350,10000,10000,simple_welch,Simple Welch,1.0,0.3263,0.04861071913606757,0.3222,0.9387,383.0154956653942
fixed_2x5_d1,well_sampled,Well sampled,2,5,200,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,2449909793,2601418103,117611350,10000,10000,expanded_welch,Expanded Welch,1.0,0.325,0.04957796144193397,0.3234,0.9392,245.54463469478094
fixed_2x5_d1,well_sampled,Well sampled,2,5,200,200,0.15,1.0,0.3,-0.15,1478872415,3966283076,2787310483,10000,10000,normal_wald,Normal Wald,1.0,0.8327,0.04446171345335427,0.8211,0.9325,
fixed_2x5_d1,well_sampled,Well sampled,2,5,200,200,0.15,1.0,0.3,-0.15,1478872415,3966283076,2787310483,10000,10000,simple_welch,Simple Welch,1.0,0.8319,0.045170384322496204,0.821,0.9331,378.10642267673927
fixed_2x5_d1,well_sampled,Well sampled,2,5,200,200,0.15,1.0,0.3,-0.15,1478872415,3966283076,2787310483,10000,10000,expanded_welch,Expanded Welch,1.0,0.8317,0.046176442974730704,0.8235,0.9336,311.3889540537955
fixed_2x5_d2,moderate,Moderate,2,5,100,100,0.1,0.5,0.15000000000000002,-0.05000000000000002,1801918478,3454927913,4260065351,10000,10000,normal_wald,Normal Wald,1.0,0.1245,0.040287501620554514,0.1062,0.9381,
fixed_2x5_d2,moderate,Moderate,2,5,100,100,0.1,0.5,0.15000000000000002,-0.05000000000000002,1801918478,3454927913,4260065351,10000,10000,simple_welch,Simple Welch,1.0,0.1212,0.04168054194079949,0.1059,0.9402,189.56619322910197
fixed_2x5_d2,moderate,Moderate,2,5,100,100,0.1,0.5,0.15000000000000002,-0.05000000000000002,1801918478,3454927913,4260065351,10000,10000,expanded_welch,Expanded Welch,1.0,0.1159,0.04766481057079015,0.1121,0.9437,55.92845819915553
fixed_2x5_d2,moderate,Moderate,2,5,100,100,0.1,1.0,0.2,-0.1,2963339763,1435241946,1771467390,10000,10000,normal_wald,Normal Wald,1.0,0.3127,0.03946173886201441,0.2797,0.9368,
fixed_2x5_d2,moderate,Moderate,2,5,100,100,0.1,1.0,0.2,-0.1,2963339763,1435241946,1771467390,10000,10000,simple_welch,Simple Welch,1.0,0.3077,0.04101805768377997,0.2803,0.9384,191.0188914781138
fixed_2x5_d2,moderate,Moderate,2,5,100,100,0.1,1.0,0.2,-0.1,2963339763,1435241946,1771467390,10000,10000,expanded_welch,Expanded Welch,1.0,0.299,0.04679832213057308,0.2899,0.9419,64.81907032275572
