regime,regime_label,method,method_label,nominal_alpha,population_pairs,mean_rejection_rate,median_rejection_rate,p10_rejection_rate,p90_rejection_rate,minimum_rejection_rate,maximum_rejection_rate,mean_absolute_calibration_error
well_sampled,Well sampled,normal_wald,Normal Wald,0.066,24,0.06214166666666667,0.0624,0.058530000000000006,0.06554,0.0571,0.0695,0.004166666666666669
well_sampled,Well sampled,normal_wald,Normal Wald,0.067,24,0.06319166666666666,0.06355,0.0598,0.0669,0.0574,0.0701,0.004125000000000004
well_sampled,Well sampled,normal_wald,Normal Wald,0.068,24,0.06418333333333333,0.06445000000000001,0.06049,0.06763999999999999,0.0582,0.0706,0.004100000000000003
well_sampled,Well sampled,normal_wald,Normal Wald,0.069,24,0.0652875,0.06534999999999999,0.06158,0.06892,0.0597,0.0716,0.004029166666666669
well_sampled,Well sampled,normal_wald,Normal Wald,0.07,24,0.06625416666666667,0.0663,0.0624,0.06985000000000001,0.0609,0.0723,0.004029166666666673
well_sampled,Well sampled,normal_wald,Normal Wald,0.071,24,0.06725,0.06715,0.06343,0.07082,0.0614,0.0731,0.003999999999999994
well_sampled,Well sampled,normal_wald,Normal Wald,0.072,24,0.06822083333333333,0.0682,0.06453,0.07186,0.0622,0.0739,0.004012499999999996
well_sampled,Well sampled,normal_wald,Normal Wald,0.073,24,0.06918333333333333,0.0696,0.06516000000000001,0.07269,0.0632,0.075,0.004074999999999995
well_sampled,Well sampled,normal_wald,Normal Wald,0.074,24,0.07024999999999999,0.07064999999999999,0.06623,0.07431,0.064,0.0761,0.0040583333333333305
well_sampled,Well sampled,normal_wald,Normal Wald,0.075,24,0.07124166666666666,0.07195,0.06699,0.07537,0.0653,0.077,0.004058333333333331
well_sampled,Well sampled,normal_wald,Normal Wald,0.076,24,0.07224166666666666,0.07245,0.06795,0.07652,0.0666,0.0778,0.004058333333333332
well_sampled,Well sampled,normal_wald,Normal Wald,0.077,24,0.07313750000000001,0.07375000000000001,0.0688,0.07755000000000001,0.0676,0.0785,0.0041625
well_sampled,Well sampled,normal_wald,Normal Wald,0.078,24,0.07410416666666667,0.07465,0.06998,0.07799,0.0685,0.0794,0.004120833333333333
well_sampled,Well sampled,normal_wald,Normal Wald,0.079,24,0.075125,0.07545,0.07092,0.07904,0.0695,0.0804,0.004108333333333334
well_sampled,Well sampled,normal_wald,Normal Wald,0.08,24,0.07615,0.07635,0.07174,0.08048999999999999,0.0705,0.0813,0.0041083333333333345
well_sampled,Well sampled,normal_wald,Normal Wald,0.081,24,0.07707083333333332,0.07755000000000001,0.07241,0.08161,0.0716,0.0823,0.004195833333333334
well_sampled,Well sampled,normal_wald,Normal Wald,0.082,24,0.07805416666666666,0.0786,0.07333,0.08244,0.0724,0.0833,0.004179166666666667
well_sampled,Well sampled,normal_wald,Normal Wald,0.083,24,0.07905416666666666,0.0795,0.07453,0.08338,0.074,0.0843,0.00417916666666667
well_sampled,Well sampled,normal_wald,Normal Wald,0.084,24,0.08014166666666667,0.0804,0.07541,0.08473,0.0744,0.0857,0.004183333333333337
well_sampled,Well sampled,normal_wald,Normal Wald,0.085,24,0.081225,0.0812,0.07627,0.08555,0.0755,0.0867,0.00409166666666667
well_sampled,Well sampled,normal_wald,Normal Wald,0.086,24,0.08210833333333334,0.08235,0.07694999999999999,0.08646999999999999,0.076,0.0873,0.004149999999999995
well_sampled,Well sampled,normal_wald,Normal Wald,0.087,24,0.08321250000000001,0.08349999999999999,0.07806,0.0877,0.0773,0.0887,0.004112499999999996
well_sampled,Well sampled,normal_wald,Normal Wald,0.088,24,0.08416666666666667,0.08465,0.07899,0.08874,0.0785,0.0892,0.004166666666666664
well_sampled,Well sampled,normal_wald,Normal Wald,0.089,24,0.08518333333333333,0.08565,0.08003,0.0893,0.0799,0.0901,0.004074999999999997
well_sampled,Well sampled,normal_wald,Normal Wald,0.09,24,0.08605833333333333,0.08635000000000001,0.0812,0.09031,0.0809,0.0911,0.0041499999999999974
well_sampled,Well sampled,normal_wald,Normal Wald,0.091,24,0.087025,0.0875,0.08196,0.09143,0.0816,0.0925,0.004241666666666664
well_sampled,Well sampled,normal_wald,Normal Wald,0.092,24,0.08807916666666667,0.08845,0.08316,0.09283,0.0828,0.0935,0.004279166666666666
well_sampled,Well sampled,normal_wald,Normal Wald,0.093,24,0.08905,0.0893,0.0842,0.09366,0.0838,0.0943,0.004249999999999998
well_sampled,Well sampled,normal_wald,Normal Wald,0.094,24,0.09005416666666667,0.09025,0.08516,0.09464,0.0845,0.0955,0.0042541666666666665
well_sampled,Well sampled,normal_wald,Normal Wald,0.095,24,0.09090416666666667,0.09105,0.08589,0.09554,0.0848,0.0969,0.004412500000000001
well_sampled,Well sampled,normal_wald,Normal Wald,0.096,24,0.09197499999999999,0.0922,0.08686,0.09652,0.0857,0.0983,0.004391666666666668
well_sampled,Well sampled,normal_wald,Normal Wald,0.097,24,0.09287916666666667,0.09315,0.08776,0.09735,0.0866,0.0993,0.0044208333333333365
well_sampled,Well sampled,normal_wald,Normal Wald,0.098,24,0.09374583333333332,0.09425,0.08873,0.09787,0.0876,0.1,0.00447916666666667
well_sampled,Well sampled,normal_wald,Normal Wald,0.099,24,0.09482083333333334,0.09505,0.0896,0.09897,0.0889,0.1012,0.004429166666666671
well_sampled,Well sampled,normal_wald,Normal Wald,0.1,24,0.09582083333333334,0.09634999999999999,0.09038,0.09982,0.0898,0.1018,0.0043958333333333375
well_sampled,Well sampled,simple_welch,Simple Welch,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well_sampled,Well sampled,simple_welch,Simple Welch,0.001,24,0.0007,0.00075,0.0004,0.00107,0.0002,0.0012,0.0003333333333333333
well_sampled,Well sampled,simple_welch,Simple Welch,0.002,24,0.0013750000000000001,0.0015,0.00096,0.0018,0.0003,0.0019,0.000625
well_sampled,Well sampled,simple_welch,Simple Welch,0.003,24,0.0022666666666666664,0.0022500000000000003,0.00173,0.00294,0.0008,0.0035,0.0007833333333333334
well_sampled,Well sampled,simple_welch,Simple Welch,0.004,24,0.00315,0.0031,0.00243,0.0039499999999999995,0.0013,0.0049,0.0009833333333333335
well_sampled,Well sampled,simple_welch,Simple Welch,0.005,24,0.004083333333333334,0.00395,0.00333,0.00498,0.0023,0.0061,0.001066666666666667
well_sampled,Well sampled,simple_welch,Simple Welch,0.006,24,0.004825,0.00475,0.00393,0.0060799999999999995,0.003,0.0066,0.0012916666666666669
well_sampled,Well sampled,simple_welch,Simple Welch,0.007,24,0.005716666666666666,0.00575,0.00453,0.006869999999999999,0.004,0.0074,0.001325
well_sampled,Well sampled,simple_welch,Simple Welch,0.008,24,0.006670833333333333,0.0066,0.00536,0.0077,0.0049,0.0086,0.0013791666666666668
well_sampled,Well sampled,simple_welch,Simple Welch,0.009,24,0.007608333333333334,0.00755,0.0061600000000000005,0.00902,0.0055,0.0099,0.0015166666666666662
well_sampled,Well sampled,simple_welch,Simple Welch,0.01,24,0.008575000000000001,0.00885,0.0072,0.00987,0.0062,0.0109,0.001566666666666667
well_sampled,Well sampled,simple_welch,Simple Welch,0.011,24,0.009487500000000001,0.00955,0.008060000000000001,0.0115,0.0069,0.012,0.0017374999999999995
well_sampled,Well sampled,simple_welch,Simple Welch,0.012,24,0.0103875,0.0103,0.00893,0.01242,0.0075,0.0132,0.0018375000000000004
well_sampled,Well sampled,simple_welch,Simple Welch,0.013,24,0.011341666666666667,0.0116,0.00956,0.013269999999999999,0.0085,0.0142,0.0018749999999999997
well_sampled,Well sampled,simple_welch,Simple Welch,0.014,24,0.012187499999999999,0.01225,0.01038,0.01421,0.0092,0.0149,0.0019375
well_sampled,Well sampled,simple_welch,Simple Welch,0.015,24,0.013170833333333333,0.0131,0.01136,0.015179999999999999,0.01,0.0159,0.0019541666666666666
well_sampled,Well sampled,simple_welch,Simple Welch,0.016,24,0.0140625,0.0142,0.01246,0.01584,0.0109,0.0172,0.0020458333333333335
well_sampled,Well sampled,simple_welch,Simple Welch,0.017,24,0.015029166666666668,0.01515,0.01336,0.01689,0.0117,0.0179,0.0020708333333333347
well_sampled,Well sampled,simple_welch,Simple Welch,0.018,24,0.015854166666666666,0.01625,0.013940000000000001,0.017689999999999997,0.0122,0.0188,0.0022291666666666653
well_sampled,Well sampled,simple_welch,Simple Welch,0.019,24,0.0167625,0.0169,0.01481,0.01842,0.0132,0.0202,0.0023374999999999997
well_sampled,Well sampled,simple_welch,Simple Welch,0.02,24,0.017691666666666665,0.0174,0.015809999999999998,0.01924,0.014,0.0211,0.0024000000000000007
well_sampled,Well sampled,simple_welch,Simple Welch,0.021,24,0.018574999999999998,0.0184,0.01665,0.02017,0.0145,0.0218,0.002508333333333334
well_sampled,Well sampled,simple_welch,Simple Welch,0.022,24,0.019575,0.0194,0.01783,0.02104,0.0158,0.0228,0.0025333333333333323
well_sampled,Well sampled,simple_welch,Simple Welch,0.023,24,0.020545833333333333,0.0203,0.01859,0.02224,0.0169,0.024,0.0025958333333333332
well_sampled,Well sampled,simple_welch,Simple Welch,0.024,24,0.021504166666666668,0.02135,0.01959,0.02327,0.0181,0.0252,0.002645833333333334
well_sampled,Well sampled,simple_welch,Simple Welch,0.025,24,0.022491666666666663,0.022449999999999998,0.020479999999999998,0.02427,0.0196,0.0259,0.0026333333333333347
well_sampled,Well sampled,simple_welch,Simple Welch,0.026,24,0.023508333333333336,0.0234,0.021240000000000002,0.02563,0.0206,0.0277,0.002758333333333332
well_sampled,Well sampled,simple_welch,Simple Welch,0.027,24,0.024441666666666667,0.024149999999999998,0.02243,0.02631,0.0216,0.0285,0.0027916666666666663
well_sampled,Well sampled,simple_welch,Simple Welch,0.028,24,0.02535,0.025349999999999998,0.023360000000000002,0.0274,0.0221,0.0294,0.002858333333333334
well_sampled,Well sampled,simple_welch,Simple Welch,0.029,24,0.02635,0.02635,0.024229999999999998,0.02889,0.0227,0.0308,0.002866666666666668
well_sampled,Well sampled,simple_welch,Simple Welch,0.03,24,0.027304166666666668,0.027200000000000002,0.02502,0.02957,0.0239,0.0314,0.002820833333333332
well_sampled,Well sampled,simple_welch,Simple Welch,0.031,24,0.028287499999999997,0.02825,0.0263,0.03071,0.0244,0.0326,0.0028625
well_sampled,Well sampled,simple_welch,Simple Welch,0.032,24,0.029337500000000002,0.02935,0.02719,0.03181,0.0255,0.0339,0.002845833333333334
well_sampled,Well sampled,simple_welch,Simple Welch,0.033,24,0.030229166666666668,0.03,0.027620000000000002,0.033,0.0264,0.035,0.003029166666666668
well_sampled,Well sampled,simple_welch,Simple Welch,0.034,24,0.03119166666666667,0.0313,0.02823,0.033999999999999996,0.0274,0.0357,0.003041666666666668
well_sampled,Well sampled,simple_welch,Simple Welch,0.035,24,0.03219583333333333,0.0322,0.02936,0.03478,0.0283,0.0371,0.0030708333333333364
well_sampled,Well sampled,simple_welch,Simple Welch,0.036,24,0.03303333333333334,0.0328,0.03006,0.035789999999999995,0.0296,0.0379,0.003224999999999997
well_sampled,Well sampled,simple_welch,Simple Welch,0.037,24,0.0339875,0.0338,0.031100000000000003,0.03692,0.0305,0.0385,0.0032958333333333325
well_sampled,Well sampled,simple_welch,Simple Welch,0.038,24,0.03489166666666667,0.034850000000000006,0.03197,0.03816,0.0313,0.0393,0.003383333333333332
well_sampled,Well sampled,simple_welch,Simple Welch,0.039,24,0.0360125,0.0359,0.0332,0.03932,0.0323,0.0408,0.0033291666666666665
well_sampled,Well sampled,simple_welch,Simple Welch,0.04,24,0.036950000000000004,0.0368,0.03399,0.04029,0.0335,0.0424,0.0034000000000000002
well_sampled,Well sampled,simple_welch,Simple Welch,0.041,24,0.0378625,0.03795,0.03484,0.04106,0.0341,0.0433,0.003454166666666668
well_sampled,Well sampled,simple_welch,Simple Welch,0.042,24,0.03883333333333334,0.0389,0.03567,0.04217,0.0352,0.0443,0.003441666666666669
well_sampled,Well sampled,simple_welch,Simple Welch,0.043,24,0.0397625,0.0401,0.03637,0.04283,0.0358,0.0455,0.003479166666666664
well_sampled,Well sampled,simple_welch,Simple Welch,0.044,24,0.04085833333333334,0.0412,0.03758,0.043969999999999995,0.037,0.047,0.003399999999999998
