configuration_id,lr_valid_count,lr_valid_rate,lr_retry_count,lr_median_elapsed_ms,lr_p99_elapsed_ms,lr_max_constraint_residual,lr_median_iterations,lr_full_start_audit_count,lr_full_start_max_statistic_difference
CURVE_CURVE_C1_N7_n1000_di0p005_scale0p5,5000,1.0,0,7.340583368204534,23.83320843102411,2.5190388174031026e-09,30.0,25,2.9336035822780104e-09
CURVE_CURVE_C1_N7_n1000_di0p005_scale1,5000,1.0,0,5.163604044355452,22.14867437258363,8.96663395009295e-10,20.0,25,5.474004126426735e-06
CURVE_CURVE_C1_N7_n1000_di0p005_scale2,5000,1.0,0,3.930666483938694,14.774808511138,6.264271117453757e-09,13.0,25,2.416641109448392e-09
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale0p5,5000,1.0,0,3.092979546636343,7.719067542348063,9.98038415800373e-09,10.0,25,1.3052954273007344e-09
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale1,5000,1.0,0,3.3366039860993624,13.042900788132112,9.999333361321305e-09,10.0,25,4.12319423048757e-09
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale2,5000,1.0,0,3.5350624239072204,11.488231411203747,9.936857392478515e-09,10.0,25,7.594735507154837e-09
CURVE_CURVE_C2_N0_np20_nq200_di0p05_scale0p5,5000,1.0,0,3.142312983982265,7.6297281007282445,9.64443926110281e-09,10.0,25,6.464915713877417e-09
CURVE_CURVE_C2_N0_np20_nq200_di0p05_scale1,5000,1.0,0,3.3451459603384137,10.316179646179085,9.980853671320844e-09,11.0,25,5.587253326666541e-09
CURVE_CURVE_C2_N0_np20_nq200_di0p05_scale2,5000,1.0,0,3.553124377503991,9.361288296058808,9.784248564126408e-09,10.0,25,2.8337353796814568e-08
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale0p5,5000,1.0,0,3.7071664119139314,8.54947439627722,9.476747296621735e-09,12.0,25,5.033598426962271e-09
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale1,5000,1.0,0,3.756791935302317,8.90721290605143,9.897665007030376e-09,11.0,25,3.097056833212264e-09
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale2,5000,1.0,0,3.794875112362206,11.278552992735063,9.983926928247566e-09,11.0,25,1.3174030755180866e-09
CURVE_CURVE_C2_N3_np500_nq50_di0p05_scale0p5,5000,1.0,0,3.8123545236885548,8.51783293997869,9.588399803306391e-09,13.0,25,6.670234142802656e-09
CURVE_CURVE_C2_N3_np500_nq50_di0p05_scale1,5000,1.0,0,3.8942709797993302,8.2424619467929,9.913933375627071e-09,12.0,25,4.313051249482669e-09
CURVE_CURVE_C2_N3_np500_nq50_di0p05_scale2,5000,1.0,0,3.915541456080973,7.356139591429384,9.930703225025095e-09,12.0,25,4.256617103237659e-08
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale0p5,5000,1.0,0,3.4419794101268053,8.29034198774025,1.7353643869122415e-09,12.0,25,2.665331066964427e-09
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale1,5000,1.0,0,3.5889584105461836,7.9920760728418845,4.5940280815615075e-09,11.0,25,9.405539458384737e-09
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale2,5000,1.0,0,3.8473131135106087,6.50027368217707,9.971891703000613e-09,12.0,25,1.424723450327292e-09
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p005_scale0p5,5000,1.0,0,3.712895908392966,6.772057542111753,9.312856499854583e-09,9.0,25,1.4064426068216562e-08
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p005_scale1,5000,1.0,0,3.896166570484638,4.343352124560625,9.848708078241675e-09,9.0,25,3.649561222118791e-06
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p005_scale2,5000,1.0,0,4.049332928843796,4.453572356142104,9.939519277080144e-09,9.0,25,8.01628630142659e-09
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p05_scale0p5,5000,1.0,0,3.8803330389782786,8.78107235999778,9.985059841455257e-09,13.0,25,5.594822596322047e-06
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p05_scale1,5000,1.0,0,4.114729003049433,7.767212414182723,9.856057449353361e-09,10.0,25,1.091918966267258e-05
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p05_scale2,5000,1.0,0,4.297604435123503,5.038648974150425,9.91332764488373e-09,10.0,25,3.2505340641364455e-09
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p005_scale0p5,5000,1.0,0,4.316208069212735,10.550050246529281,6.316258207433867e-09,16.0,25,5.200774921831908e-09
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p005_scale1,5000,1.0,0,3.7610409781336784,9.160639951005608,8.826024952557354e-09,12.0,25,2.055116965493653e-09
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p005_scale2,5000,1.0,0,3.891749889589846,9.518111527431765,9.10250050507877e-09,12.0,25,7.584731065435335e-09
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p05_scale0p5,5000,1.0,0,5.195583566091955,11.34231430245564,9.900682763214208e-09,16.0,25,1.2274767868802883e-09
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p05_scale1,5000,1.0,0,4.909791401587427,15.763435242697621,9.978309380154204e-09,15.0,25,4.049431936437031e-06
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p05_scale2,5000,1.0,0,4.90683363750577,18.27684817835689,9.996996709615846e-09,15.0,25,1.2062344012520043e-06
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p005_scale0p5,5000,1.0,0,5.021499935537577,20.74545903364198,4.025315934741425e-09,26.0,25,1.9164005493621517e-08
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p005_scale1,5000,1.0,0,3.8174790097400546,10.152613422833388,9.686502067465796e-09,13.0,25,7.114998084034596e-07
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p005_scale2,5000,1.0,0,3.672916442155838,8.947271388024093,9.322948172144074e-09,11.0,25,3.487514277367154e-09
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p05_scale0p5,5000,1.0,0,4.872875055298209,20.362318311817955,9.997595890043343e-09,20.0,25,5.825143496451801e-05
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p05_scale1,5000,1.0,0,4.360333434306085,9.399284876417374,9.985174950766229e-09,16.0,25,5.885794962523505e-09
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p05_scale2,5000,1.0,0,4.359500133432448,13.615774582140153,9.946289142998e-09,14.0,25,5.555875759455375e-10
