n_p,n_q,mi_p_plugin,mi_q_plugin,mi_p_jackknife,mi_q_jackknife,delta_plugin,delta_jackknife,standard_error,z_plugin,z_jackknife,wald_plugin_p,wald_jackknife_p,naive_perm_plugin_p,student_perm_plugin_p,student_perm_jackknife_p,valid_studentization,permutations,deterministic_seconds,permutation_seconds,scenario_id,family,regular,replicate,scenario_seed,true_delta,zero_cells_p,zero_cells_q
300,300,0.04066811744327392,0.07168743492033541,0.03386485853468457,0.06249205957270476,-0.031019317477061492,-0.02862720103802019,0.030335848136588836,-1.0225300884087796,-0.9436756443770628,0.30653007940909516,0.3453354237399181,0.444,0.308,0.346,True,499,0.00012345798313617706,0.0007137500215321779,curve_effect_d02_n300,power,True,10,3674827978,-0.01999999999999985,0,0
300,300,0.06275035421242703,0.09972147776888673,0.05591999584544283,0.09173239377150821,-0.036971123556459706,-0.03581239792606539,0.03441154460733107,-1.0743814024722198,-1.0407088183549853,0.28265177430381383,0.29801070927808604,0.364,0.306,0.324,True,499,0.0001193339703604579,0.0007334999972954392,curve_effect_d02_n300,power,True,11,3674827978,-0.01999999999999985,0,0
300,300,0.07096469979563502,0.09164613210281614,0.06414098562726167,0.08438769312368777,-0.020681432307181113,-0.020246707496426097,0.035631443875558826,-0.5804264452321961,-0.5682258503791423,0.5616270758085038,0.5698816206445592,0.684,0.614,0.618,True,499,0.00012274994514882565,0.0007172919576987624,curve_effect_d02_n300,power,True,12,3674827978,-0.01999999999999985,0,1
300,300,0.03943411331762059,0.0462402058206024,0.03262841055266108,0.03832882487512279,-0.006806092502981809,-0.005700414322461711,0.025642277478889367,-0.2654246491398859,-0.22230530525826797,0.7906823496491521,0.8240762224317785,0.848,0.776,0.802,True,499,0.00011920800898224115,0.0007242499850690365,curve_effect_d02_n300,power,True,13,3674827978,-0.01999999999999985,0,0
300,300,0.05123845256184878,0.09015484188836531,0.044431503458156385,0.08098244270618693,-0.03891638932651653,-0.036550939248030545,0.033097245507584534,-1.175819580442079,-1.1043498843326573,0.23966698021830335,0.2694413913788789,0.364,0.256,0.284,True,499,0.00011849997099488974,0.0007208749884739518,curve_effect_d02_n300,power,True,14,3674827978,-0.01999999999999985,0,0
300,300,0.04489614910603712,0.05344805318685103,0.03808760581648585,0.04423250229505982,-0.00855190408081391,-0.006144896478573969,0.02744076511256222,-0.31164962222204584,-0.22393313208897633,0.7553068179362235,0.8228093346313018,0.836,0.768,0.824,True,499,0.00011229200754314661,0.0007272500079125166,curve_effect_d02_n300,power,True,15,3674827978,-0.01999999999999985,0,0
300,300,0.04389000101441032,0.0588700598262763,0.03707865844501157,0.050224694476270315,-0.014980058811865982,-0.013146036031258745,0.029229053451892317,-0.512505779105076,-0.4497592114262482,0.6082970767361,0.6528840715270512,0.718,0.642,0.666,True,499,0.00011699995957314968,0.0007309999782592058,curve_effect_d02_n300,power,True,16,3674827978,-0.01999999999999985,0,1
300,300,0.032661117511296744,0.09357592639587758,0.02586250078309149,0.08790553261512457,-0.06091480888458084,-0.06204303183203308,0.03197453231200378,-1.9051039837011907,-1.9403890329536135,0.056766555683523845,0.05233242841271118,0.174,0.064,0.058,True,499,0.00011374999303370714,0.0007206660229712725,curve_effect_d02_n300,power,True,17,3674827978,-0.01999999999999985,0,1
300,300,0.06114465756454468,0.09004896798607698,0.05431364568227082,0.08074420911599134,-0.028904310421532298,-0.026430563433720522,0.033546494937040275,-0.8616193875330229,-0.7878785394219318,0.3888969986939774,0.4307677552015372,0.486,0.35,0.404,True,499,0.00012287497520446777,0.0007569999434053898,curve_effect_d02_n300,power,True,18,3674827978,-0.01999999999999985,0,0
300,300,0.08228322617190242,0.13281775995545914,0.07545240251204177,0.12757075880021773,-0.05053453378355671,-0.05211835628817596,0.040140965685461286,-1.2589267079306936,-1.2983832201887655,0.20805680596661213,0.19415568223705137,0.258,0.212,0.19,True,499,0.00012287497520446777,0.000700084026902914,curve_effect_d02_n300,power,True,19,3674827978,-0.01999999999999985,0,2
