configuration_id,pair_id,shape,rows,columns,profile,dominant_p,dominant_q,constructor,pattern,target_mi_p,target_mi_q,achieved_mi_p,achieved_mi_q,signed_mi_difference_q_minus_p,absolute_mi_difference,n_p,n_q,replicates,simulation_seed
config_e28074cb6876fff8,pair_ec6b5fcc8cd2e2a2,2x2,2,2,different_skew,,,additive,first,0.02,0.025,0.019999999999999907,0.025000000000000105,0.005000000000000199,0.005000000000000199,250,50,20000,2839398299331659760
config_e28def423b26ed52,pair_921f21578d50d7e1,3x3,3,3,uniform,,,additive,first,0.001,0.006,0.001000000000000027,0.005999999999999998,0.0049999999999999715,0.0049999999999999715,100,100,20000,2608573739057424643
config_e294395175df56dd,pair_dd545e3377fa7848,8x8,8,8,same_skew,,,additive,first,0.02,0.025,0.019999999999999997,0.025000000000000012,0.005000000000000015,0.005000000000000015,100,100,20000,13079290525774945925
config_e2a02816811d43b6,pair_19513f69ffc7c074,2x2,2,2,uniform,,,additive,first,0.001,0.003,0.0009999999999999593,0.002999999999999954,0.001999999999999995,0.001999999999999995,20,20,20000,1807117166899461142
config_e2b215d4ad7cd84e,pair_0912820eec6341ce,2x2,2,2,same_skew,,,additive,first,0.001,0.006,0.0010000000000000668,0.005999999999999908,0.004999999999999841,0.004999999999999841,1000,1000,20000,15203356537575340038
config_e2db9d1333755062,pair_4521ef2356c2cafc,8x8,8,8,different_skew,,,additive,first,0.0001,0.0051,9.999999999998935e-05,0.005100000000000485,0.005000000000000496,0.005000000000000496,1000,1000,20000,11852358210621842887
config_e330e76aa5a408d0,pair_babf95887505c5d5,3x3,3,3,different_skew,,,additive,first,0.02,0.025,0.01999999999999983,0.025000000000000328,0.005000000000000497,0.005000000000000497,20,20,20000,41770507808133558
config_e3346fecd410ec20,pair_204babdf9da6c75c,3x3,3,3,custom_extreme,0.9,0.95,additive,first,1e-05,0.00011,9.99999999992635e-06,0.00010999999999985682,9.999999999993047e-05,9.999999999993047e-05,1000,1000,20000,360284943172879551
config_e33ac1c9dff20e00,pair_98bcff8d64c21c9d,8x8,8,8,same_skew,,,additive,first,0.0,0.0,7.63833440942107e-16,7.63833440942107e-16,0.0,0.0,1000,1000,20000,13070019795298506348
config_e36591c5674aff5a,pair_0a6a43b82629c0d8,8x8,8,8,different_skew,,,loglinear,first,0.0001,0.0201,9.999999999990407e-05,0.020099999999998917,0.01999999999999901,0.01999999999999901,20,20,20000,4448963460352852310
