display_id,section,figure_key,row_key,row_label,column_key,column_label,x_kind,x_value,shape,profile,dominant_p,dominant_q,pattern,constructor,baseline_mi,mi_direction,mi_difference,target_mi_p,target_mi_q,n_p,n_q,pair_id,configuration_id
display_00426,main,main_5x5_large,same_skew,same skew,1000,nP=nQ=1000,mi_difference,0.0,5x5,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,1000,1000,pair_0e678b31b33a4770,config_bf32f010ab448565
display_00431,main,main_5x5_large,same_skew,same skew,1000,nP=nQ=1000,mi_difference,0.02,5x5,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,1000,1000,pair_7ce1d258fd1cfc5a,config_8de426030397f86b
display_00432,main,main_5x5_small,different_skew,different skew,2,nP=nQ=2,mi_difference,0.0,5x5,different_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,2,2,pair_8530c1b9f8c78768,config_f4cd559b3ed00163
display_00437,main,main_5x5_small,different_skew,different skew,2,nP=nQ=2,mi_difference,0.02,5x5,different_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,2,2,pair_9444938a7041d7e8,config_9c3532c0ac1ab3e5
display_00450,main,main_5x5_moderate,different_skew,different skew,20,nP=nQ=20,mi_difference,0.0,5x5,different_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,20,20,pair_8530c1b9f8c78768,config_0bad497f06694faf
display_00455,main,main_5x5_moderate,different_skew,different skew,20,nP=nQ=20,mi_difference,0.02,5x5,different_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,20,20,pair_9444938a7041d7e8,config_68c737fa916b24a8
display_00456,main,main_5x5_moderate,different_skew,different skew,50,nP=nQ=50,mi_difference,0.0,5x5,different_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,50,50,pair_8530c1b9f8c78768,config_bc16c273413484ad
display_00461,main,main_5x5_moderate,different_skew,different skew,50,nP=nQ=50,mi_difference,0.02,5x5,different_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,50,50,pair_9444938a7041d7e8,config_27c1ecae207202e3
display_00474,main,main_5x5_large,different_skew,different skew,500,nP=nQ=500,mi_difference,0.0,5x5,different_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,500,500,pair_8530c1b9f8c78768,config_a576d769e04b82a5
display_00479,main,main_5x5_large,different_skew,different skew,500,nP=nQ=500,mi_difference,0.02,5x5,different_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,500,500,pair_9444938a7041d7e8,config_8ba812796882c0fe
display_00480,main,main_5x5_large,different_skew,different skew,1000,nP=nQ=1000,mi_difference,0.0,5x5,different_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,1000,1000,pair_8530c1b9f8c78768,config_66a5ffeeb7d78344
display_00485,main,main_5x5_large,different_skew,different skew,1000,nP=nQ=1000,mi_difference,0.02,5x5,different_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,1000,1000,pair_9444938a7041d7e8,config_f712ce2208585016
display_00486,main,main_8x8_small,uniform,uniform,2,nP=nQ=2,mi_difference,0.0,8x8,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,2,2,pair_57c0709ba92e2e9a,config_4a627aeebbc0a559
display_00491,main,main_8x8_small,uniform,uniform,2,nP=nQ=2,mi_difference,0.02,8x8,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,2,2,pair_5b37ff86eea397f4,config_1d6f357dba1ac88e
