absolute_mi_difference,achieved_mi_p,achieved_mi_q,both_reject,columns,configuration_id,constructor,dominant_p,dominant_q,method_a,method_b,n_p,n_q,neither_rejects,nominal_alpha,only_method_a_rejects,only_method_b_rejects,pair_id,paired_95_high,paired_95_low,paired_standard_error,pattern,profile,rejection_rate_difference_a_minus_b,replicates,rows,shape,signed_mi_difference_q_minus_p,simulation_seed,target_mi_p,target_mi_q
0.0,0.01999999999999999,0.01999999999999999,4,3,config_0ce6433c2e25fb9b,additive,,,expanded_welch,normal_wald,500,500,193,0.05,0,3,pair_915fd4445dd7693e,0.001888585541958216,-0.03188858554195821,0.008616625276509294,first,uniform,-0.015,200,3,3x3,0.0,13425691934280988387,0.02,0.02
0.019999999999999594,0.019999999999999997,0.03999999999999959,15,8,config_0d0b3f22a9f3adc8,additive,,,expanded_welch,normal_wald,20,20,183,0.05,0,2,pair_9584ef4a7c5207d0,0.0038244267103322137,-0.023824426710332212,0.007053278933842966,first,same_skew,-0.01,200,8,8x8,0.019999999999999594,17377531222578744029,0.02,0.04
0.02000000000000006,0.019999999999999934,0.039999999999999994,9,3,config_0da1fbc7bb4017d4,additive,,,expanded_welch,normal_wald,20,20,186,0.05,0,5,pair_a974b4737f1b849c,-0.00330788763874142,-0.046692112361258586,0.011067404265948256,first,uniform,-0.025,200,2,2x3,0.02000000000000006,2398664218670897074,0.02,0.04
0.020000000000000087,0.019999999999999907,0.039999999999999994,38,2,config_0de65de44170a42a,additive,,,expanded_welch,normal_wald,500,500,157,0.05,0,5,pair_f79a47be5e38070d,-0.00330788763874142,-0.046692112361258586,0.011067404265948256,first,different_skew,-0.025,200,2,2x2,0.020000000000000087,12928892203053529431,0.02,0.04
0.02000000000000017,0.04000000000000002,0.01999999999999985,3,2,config_0e5c15709fb7d96d,additive,,,expanded_welch,normal_wald,50,50,196,0.05,0,1,pair_310d7ffa029717aa,0.0048,-0.0148,0.005,first,uniform,-0.005,200,2,2x2,-0.02000000000000017,3199245285841270534,0.04,0.02
0.020000000000000177,0.019999999999999858,0.040000000000000036,75,3,config_0f2ba8ba7c87d96f,additive,,,expanded_welch,normal_wald,1000,1000,124,0.05,0,1,pair_e3af9cee70530be8,0.0048,-0.0148,0.005,first,same_skew,-0.005,200,3,3x3,0.020000000000000177,17586034715038904493,0.02,0.04
9.680570147579948e-17,0.00010000000000001779,0.00010000000000011459,20,8,config_0fdc81baf38edb07,additive,,,expanded_welch,normal_wald,20,20,168,0.05,0,12,pair_7ec3afc29050afcc,-0.027003408124824706,-0.09299659187517528,0.016834995854681272,rare,different_skew,-0.06,200,8,8x8,9.680570147579948e-17,5997798500242695074,0.0001,0.0001
0.020000000000000094,0.0199999999999999,0.039999999999999994,57,3,config_10ad31c9121205ab,additive,,,expanded_welch,normal_wald,1000,1000,140,0.05,0,3,pair_f6fbf41ad0e156b6,0.001888585541958216,-0.03188858554195821,0.008616625276509294,first,different_skew,-0.015,200,2,2x3,0.020000000000000094,3463395990817257739,0.02,0.04
0.0,0.0010000000000001032,0.0010000000000001032,2,8,config_123f3ba11791c1f0,additive,,,expanded_welch,normal_wald,1000,1000,197,0.05,0,1,pair_306fc3ab0cab1620,0.0048,-0.0148,0.005,first,same_skew,-0.005,200,8,8x8,0.0,13080748176647870344,0.001,0.001
0.019999999999999993,9.999999999998935e-05,0.020099999999999982,62,8,config_12b5bb760b84fce0,additive,,,expanded_welch,normal_wald,1000,1000,132,0.05,0,6,pair_45553e92e4cba47d,-0.006298489329998373,-0.053701510670001625,0.012092607484694708,first,different_skew,-0.03,200,8,8x8,0.019999999999999993,7078491163488451381,0.0001,0.0201
3.5778671692021646e-17,9.999999999999766e-05,0.00010000000000003344,0,3,config_12e7438345ee8df8,additive,,,expanded_welch,normal_wald,1000,1000,200,0.05,0,0,pair_b1768989ebd518b8,0.0,0.0,0.0,first,different_skew,0.0,200,3,3x3,3.5778671692021646e-17,11052947691699331956,0.0001,0.0001
0.020000000000000028,0.0009999999999999907,0.02100000000000002,140,5,config_14b3382142c1d780,additive,,,expanded_welch,normal_wald,1000,1000,53,0.05,0,7,pair_44cef6e67e7baa50,-0.009465508596091417,-0.06053449140390859,0.013027801736688055,first,uniform,-0.035,200,5,5x5,0.020000000000000028,1029608616571982037,0.001,0.021
0.0,0.019999999999999872,0.019999999999999872,0,5,config_14c8f00471edb1ec,additive,,,expanded_welch,normal_wald,2,2,200,0.05,0,0,pair_0e678b31b33a4770,0.0,0.0,0.0,first,same_skew,0.0,200,5,5x5,0.0,17294330586980017276,0.02,0.02
0.0,0.019999999999999934,0.019999999999999934,3,3,config_167c9d35af4b8f30,additive,,,expanded_welch,normal_wald,20,20,194,0.05,0,3,pair_761884f94b823d99,0.001888585541958216,-0.03188858554195821,0.008616625276509294,first,uniform,-0.015,200,2,2x3,0.0,10524490571140087897,0.02,0.02
0.01999999999999991,0.00010000000000038919,0.020100000000000298,83,8,config_16e54d5bd8222a98,loglinear,,,expanded_welch,normal_wald,1000,1000,113,0.05,0,4,pair_4804ab452a08bf90,-0.000548299734571267,-0.039451700265428734,0.009924336870116702,first,uniform,-0.02,200,8,8x8,0.01999999999999991,712583629117860464,0.0001,0.0201
0.19999999999999993,0.01999999999999999,0.21999999999999992,200,3,config_17905a56d6114bd2,additive,,,expanded_welch,normal_wald,1000,1000,0,0.05,0,0,pair_6174d1bdd29a7695,0.0,0.0,0.0,first,uniform,0.0,200,3,3x3,0.19999999999999993,6441048614552898501,0.02,0.22
0.0,0.00010000000000000011,0.00010000000000000011,0,5,config_17dc85a3f32ef75d,additive,,,expanded_welch,normal_wald,1000,1000,199,0.05,0,1,pair_a1e0a47621ca83d1,0.0048,-0.0148,0.005,first,uniform,-0.005,200,5,5x5,0.0,9861647097861174442,0.0001,0.0001
5.941427905220564e-17,9.999999999994985e-06,9.99999999993557e-06,0,2,config_183f00b01b7fbac7,additive,0.9,0.95,expanded_welch,normal_wald,10000,10000,200,0.05,0,0,pair_651d054b17f190e1,0.0,0.0,0.0,first,custom_extreme,0.0,200,2,2x2,-5.941427905220564e-17,17269381296038118079,1e-05,1e-05
0.01999999999999999,0.0010000000000000338,0.021000000000000026,4,2,config_1983b535b128a965,additive,,,expanded_welch,normal_wald,20,20,194,0.05,0,2,pair_7cc32c477d8083fb,0.0038244267103322137,-0.023824426710332212,0.007053278933842966,first,different_skew,-0.01,200,2,2x2,0.01999999999999999,6877517788506427418,0.001,0.021
1.145154663369924e-16,9.999999999821938e-06,9.999999999936453e-06,0,8,config_1995626d76fb2a5a,additive,0.999,0.9995,expanded_welch,normal_wald,1,1,200,0.05,0,0,pair_2dad3ca2683b2a82,0.0,0.0,0.0,first,custom_extreme,0.0,200,8,8x8,1.145154663369924e-16,14191868666241588053,1e-05,1e-05
0.0,9.999999999999289e-05,9.999999999999289e-05,2,8,config_19bd4fb4c8f30e39,additive,,,expanded_welch,normal_wald,1000,1000,198,0.05,0,0,pair_8a97b40b75d5d5c1,0.0,0.0,0.0,first,uniform,0.0,200,8,8x8,0.0,10229764317948065374,0.0001,0.0001
