configuration_id,population_id,experiment,shape,rows,columns,skewness,relationship,interaction_pair,n_p,n_q,sample_size_ratio_q_to_p,allocation_ratio,relative_effect,baseline_fraction,shared_reachable_mi,target_mi_p,target_mi_q,achieved_mi_p,achieved_mi_q,absolute_mi_difference,structural_breakdown,replicates,simulation_seed,nominal_alpha,method_a,method_b,both_reject,neither_rejects,only_method_a_rejects,only_method_b_rejects,rejection_rate_difference_a_minus_b,paired_standard_error,paired_95_low,paired_95_high
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np1000_nq1000,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,1000,1000,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,18210342808027603866,0.1,expanded_welch,normal_wald,882,9073,0,45,-0.0045,0.0006693428134970882,-0.005811911914454293,-0.0031880880855457067
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np1000_nq1000,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,1000,1000,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,18210342808027603866,0.01,simple_welch,normal_wald,83,9917,0,0,0.0,0.0,0.0,0.0
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np1000_nq1000,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,1000,1000,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,18210342808027603866,0.05,simple_welch,normal_wald,449,9549,0,2,-0.0002,0.00014141428428549925,-0.00047717199719957853,7.717199719957848e-05
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np1000_nq1000,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,1000,1000,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,18210342808027603866,0.1,simple_welch,normal_wald,924,9073,0,3,-0.0003,0.0001731877576503027,-0.0006394480049945932,3.9448004994593314e-05
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np1000_nq1000,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,1000,1000,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,18210342808027603866,0.01,expanded_welch,simple_welch,64,9917,0,19,-0.0019,0.0004354973774853066,-0.002753574859871201,-0.001046425140128799
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np1000_nq1000,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,1000,1000,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,18210342808027603866,0.05,expanded_welch,simple_welch,411,9551,0,38,-0.0038,0.0006152998126002791,-0.005005987632696547,-0.002594012367303453
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np1000_nq1000,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,1000,1000,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,18210342808027603866,0.1,expanded_welch,simple_welch,882,9076,0,42,-0.0042,0.0006467440202914738,-0.005467618279771288,-0.0029323817202287113
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.1,0.2,0.1328286287645824,0.02656572575291648,0.03984858862937472,0.026565725753040975,0.03984858862937466,0.013282862876333686,False,10000,2590220630402011700,0.01,expanded_welch,normal_wald,132,9612,0,256,-0.0256,0.0015794661982287354,-0.028695753748528324,-0.02250424625147168
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.1,0.2,0.1328286287645824,0.02656572575291648,0.03984858862937472,0.026565725753040975,0.03984858862937466,0.013282862876333686,False,10000,2590220630402011700,0.05,expanded_welch,normal_wald,486,9190,0,324,-0.0324,0.0017706884349747629,-0.03587054933255053,-0.028929450667449463
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.1,0.2,0.1328286287645824,0.02656572575291648,0.03984858862937472,0.026565725753040975,0.03984858862937466,0.013282862876333686,False,10000,2590220630402011700,0.1,expanded_welch,normal_wald,891,8757,0,352,-0.0352,0.0018429421161730382,-0.03881216654769916,-0.031587833452300845
