population_id,probability_p_json,probability_q_json,M,I_p,I_q
baseline_sensitivity_3x3_balanced_b0.02_e0.1,"[[0.14637064740028147, 0.10986064586087142, 0.07710204007218031], [0.1098606458608715, 0.1136120416115905, 0.1098606458608715], [0.07710204007218031, 0.10986064586087142, 0.14637064740028147]]","[[0.033679805931571064, 0.10237631879669944, 0.19727720860504563], [0.10237631879671663, 0.12858069573993447, 0.10237631879671663], [0.19727720860504563, 0.10237631879669944, 0.033679805931571064]]",1.0945886493400376,0.02189177298680018,0.131350637920672
baseline_sensitivity_3x3_balanced_b0.02_e0.2,"[[0.14637064740028147, 0.10986064586087142, 0.07710204007218031], [0.1098606458608715, 0.1136120416115905, 0.1098606458608715], [0.07710204007218031, 0.10986064586087142, 0.14637064740028147]]","[[0.014214054361179658, 0.09206581679673666, 0.2270534621754124], [0.09206581679674129, 0.14920169973986003, 0.09206581679674129], [0.2270534621754124, 0.09206581679673666, 0.014214054361179658]]",1.0945886493400376,0.02189177298680018,0.24080950285480845
baseline_sensitivity_3x3_balanced_b0.2_e0,"[[0.22177167844925744, 0.09440920991451371, 0.017152444969542612], [0.09440920991453328, 0.14451491350430598, 0.09440920991453328], [0.017152444969542612, 0.09440920991451371, 0.22177167844925744]]","[[0.017152444969542643, 0.09440920991451374, 0.22177167844925746], [0.09440920991453333, 0.14451491350430593, 0.09440920991453332], [0.22177167844925744, 0.09440920991451372, 0.01715244496954264]]",1.0945886493400376,0.2189177298680084,0.21891772986800803
baseline_sensitivity_3x3_balanced_b0.2_e0.1,"[[0.22177167844925744, 0.09440920991451371, 0.017152444969542612], [0.09440920991453328, 0.14451491350430598, 0.09440920991453328], [0.017152444969542612, 0.09440920991451371, 0.22177167844925744]]","[[0.006016135962920685, 0.08113665571677983, 0.24618054165362716], [0.08113665571678547, 0.17106002189977368, 0.08113665571678547], [0.24618054165362716, 0.08113665571677983, 0.006016135962920685]]",1.0945886493400376,0.2189177298680084,0.32837659480193604
baseline_sensitivity_3x3_balanced_b0.2_e0.2,"[[0.22177167844925744, 0.09440920991451371, 0.017152444969542612], [0.09440920991453328, 0.14451491350430598, 0.09440920991453328], [0.017152444969542612, 0.09440920991451371, 0.22177167844925744]]","[[0.001598727880197546, 0.06485421953206186, 0.2668803859210495], [0.06485421953208632, 0.20362489426920968, 0.06485421953208631], [0.2668803859210495, 0.06485421953206186, 0.0015987278801975454]]",1.0945886493400376,0.2189177298680084,0.4378354597360147
baseline_sensitivity_3x3_balanced_b0.6_e0,"[[0.29865095194866703, 0.03461347505576288, 6.890632887513452e-05], [0.03461347505579113, 0.2641063832218076, 0.03461347505579113], [6.890632887513452e-05, 0.03461347505576288, 0.29865095194866703]]","[[6.890632887513452e-05, 0.03461347505576288, 0.29865095194866703], [0.03461347505579113, 0.2641063832218076, 0.03461347505579113], [0.29865095194866703, 0.03461347505576288, 6.890632887513452e-05]]",1.0945886493400376,0.6567531896040226,0.6567531896040225
baseline_sensitivity_3x3_balanced_b0.6_e0.1,"[[0.29865095194866703, 0.03461347505576288, 6.890632887513452e-05], [0.03461347505579113, 0.2641063832218076, 0.03461347505579113], [6.890632887513452e-05, 0.03461347505576288, 0.29865095194866703]]","[[1.0748448042551783e-05, 0.022916013923553483, 0.31040657096168794], [0.022916013923602888, 0.2875013054862264, 0.022916013923602877], [0.31040657096168794, 0.022916013923553472, 1.0748448042551776e-05]]",1.0945886493400376,0.6567531896040226,0.7662120545380263
baseline_sensitivity_3x3_balanced_b0.6_e0.2,"[[0.29865095194866703, 0.03461347505576288, 6.890632887513452e-05], [0.03461347505579113, 0.2641063832218076, 0.03461347505579113], [6.890632887513452e-05, 0.03461347505576288, 0.29865095194866703]]","[[1.038250501460438e-06, 0.013297176446572917, 0.3200351186362153], [0.013297176446616618, 0.3067389804401876, 0.013297176446616625], [0.32003511863621525, 0.013297176446572924, 1.038250501460439e-06]]",1.0945886493400376,0.6567531896040226,0.8756709194720304
baseline_sensitivity_3x3_strong_b0.02_e0,"[[0.8174441788542579, 0.0430385339361397, 0.03951728720962835], [0.043038533936132, 0.0030907264448762854, 0.0038707396189850947], [0.03951728720961025, 0.003870739618984015, 0.00661197317138655]]","[[0.0008244148726514154, 0.0015021416320375373, 0.047673443495318046], [0.04279231783553432, 0.04467885220220704, 0.8125288299622665], [0.0063832672918142696, 0.00381900616575542, 0.039797726542415444]]",0.1922085929866958,0.003844171859733771,0.0038441718597255073
baseline_sensitivity_3x3_strong_b0.02_e0.1,"[[0.8174441788542579, 0.0430385339361397, 0.03951728720962835], [0.043038533936132, 0.0030907264448762854, 0.0038707396189850947], [0.03951728720961025, 0.003870739618984015, 0.00661197317138655]]","[[0.00017234448478579617, 0.0007534480482158497, 0.04907420746700434], [0.03477657769823142, 0.0437882940975702, 0.8214351282042206], [0.015051077816982762, 0.005458257854213925, 0.029490664328774972]]",0.1922085929866958,0.003844171859733771,0.023065031158403387
baseline_sensitivity_3x3_strong_b0.02_e0.2,"[[0.8174441788542579, 0.0430385339361397, 0.03951728720962835], [0.043038533936132, 0.0030907264448762854, 0.0038707396189850947], [0.03951728720961025, 0.003870739618984015, 0.00661197317138655]]","[[6.435563153006922e-05, 0.0005006958174261913, 0.04943494855105719], [0.028805605507197712, 0.043348774490549316, 0.827845620002329], [0.021130038861272203, 0.006150529692024485, 0.022719431446613876]]",0.1922085929866958,0.003844171859733771,0.04228589045707325
baseline_sensitivity_3x3_strong_b0.2_e0,"[[0.8355179689256247, 0.03971078924173623, 0.02477124183269937], [0.039710789241717746, 0.00426820675747134, 0.006021004000799769], [0.02477124183265759, 0.006021004000792416, 0.019207754166500855]]","[[7.726523453611926e-05, 0.000539385956868295, 0.04938334880859799], [0.029903897917541077, 0.0434160133855194, 0.8266800886969523], [0.020018836847922796, 0.006044600657612303, 0.023936562494449747]]",0.1922085929866958,0.03844171859733893,0.038441718597339046
