n_p,n_q,mi_p_plugin,mi_q_plugin,mi_p_jackknife,mi_q_jackknife,delta_plugin,delta_jackknife,standard_error,z_plugin,z_jackknife,wald_plugin_p,wald_jackknife_p,naive_perm_plugin_p,student_perm_plugin_p,student_perm_jackknife_p,valid_studentization,permutations,deterministic_seconds,permutation_seconds,scenario_id,family,regular,replicate,scenario_seed,true_delta,zero_cells_p,zero_cells_q
100,100,0.09559542765604334,0.05456137415686513,0.09035335045925308,0.04936275442511828,0.041034053499178214,0.040990596034134796,0.05237971148457696,0.783395943508787,0.7825662813397578,0.4333946375200969,0.4338818486290279,0.39,0.39,0.39,True,99,0.00010691594798117876,0.0001751250820234418,strong_2x2_bal_100,strong_null,True,38,1062694068,0.0,0,0
100,100,0.030158778252023177,0.04606453410618794,0.024982773251252866,0.040880754384517104,-0.01590575585416476,-0.01589798113326424,0.03823254339331646,-0.4160266213663748,-0.4158232678823929,0.6773905231971427,0.6775393313082865,0.68,0.68,0.68,True,99,0.00010658300016075373,0.00017441704403609037,strong_2x2_bal_100,strong_null,True,39,1062694068,0.0,0,0
100,250,0.08103073336646571,0.04536815827289281,0.07581022677463523,0.043260208489584784,0.0356625750935729,0.03255001828505044,0.04438230169975952,0.8035314467200365,0.73340086111908,0.4216676283446139,0.46331397415120057,0.53,0.41,0.44,True,99,0.00012691703159362078,0.00018583296332508326,weak_2x2_bal_strong_100_250,weak_null,True,0,292201944,-4.440892098500626e-16,0,0
100,250,0.09315183546162487,0.029538976259257888,0.08792088207087545,0.02737402896620722,0.06361285920236698,0.06054685310466823,0.04466877406345579,1.4241012997580704,1.355462610607049,0.15441715023175143,0.1752702132648497,0.3,0.21,0.21,True,99,0.00011245894711464643,0.0001805420033633709,weak_2x2_bal_strong_100_250,weak_null,True,1,292201944,-4.440892098500626e-16,0,0
100,250,0.05793212345006482,0.08583429846450946,0.05271163527233114,0.08375149424801975,-0.02790217501444464,-0.031039858975688617,0.043382201617453514,-0.6431710234645871,-0.7154975501105197,0.5201131332090463,0.4743016541361661,0.64,0.55,0.49,True,99,0.00011033297050744295,0.0001772079849615693,weak_2x2_bal_strong_100_250,weak_null,True,2,292201944,-4.440892098500626e-16,0,0
100,250,0.0325654803121983,0.034597893025192505,0.027389344920791814,0.032457723748308354,-0.0020324127129942027,-0.00506837882751654,0.03168632150565216,-0.06414164271582183,-0.1599547876395955,0.9488574440017823,0.8729166897825735,0.99,0.98,0.93,True,99,0.00010895798914134502,0.00018054107204079628,weak_2x2_bal_strong_100_250,weak_null,True,3,292201944,-4.440892098500626e-16,0,0
100,250,0.029530171339973266,0.04622426625217435,0.024353667419092062,0.044126774311123995,-0.016694094912201085,-0.019773106892031933,0.03223018265579976,-0.5179646386272346,-0.6134965818592344,0.604482941500155,0.5395480422082195,0.7,0.6,0.48,True,99,0.0001105000264942646,0.00017849996220320463,weak_2x2_bal_strong_100_250,weak_null,True,4,292201944,-4.440892098500626e-16,0,0
100,250,0.04297030740593155,0.07036743781896831,0.03778631239838148,0.06826760227330908,-0.027397130413036763,-0.030481289874927597,0.038998202399424066,-0.7025229043234406,-0.7816075613623091,0.48235312295722377,0.43444524177738897,0.63,0.46,0.37,True,99,0.0001127920113503933,0.00018045806791633368,weak_2x2_bal_strong_100_250,weak_null,True,5,292201944,-4.440892098500626e-16,0,0
100,250,0.012800049652406331,0.06527767330406964,0.007638305560703884,0.06316986112845768,-0.05247762365166331,-0.0555315555677538,0.029686816365944915,-1.7677080292066196,-1.870579683696112,0.07710972700163782,0.06140336276098507,0.3,0.11,0.08,True,99,0.00010883400682359934,0.00017845898400992155,weak_2x2_bal_strong_100_250,weak_null,True,6,292201944,-4.440892098500626e-16,0,0
100,250,0.0325654803121983,0.03613538540031175,0.027389344920791814,0.03402767941938123,-0.0035699050881134453,-0.0066383344985894155,0.03164571067437127,-0.11280849796192392,-0.20977043514353955,0.9101823809539363,0.8338468489936383,0.95,0.91,0.86,True,99,0.00010850001126527786,0.00017850007861852646,weak_2x2_bal_strong_100_250,weak_null,True,7,292201944,-4.440892098500626e-16,0,0
100,250,0.05199276349977677,0.05987604400617652,0.04680289384511127,0.057787872856664535,-0.007883280506399748,-0.010984979011553264,0.03961253739657906,-0.1990097333951788,-0.2773106630756233,0.8422551307355456,0.7815415725713722,0.86,0.81,0.72,True,99,0.00010924995876848698,0.00017741601914167404,weak_2x2_bal_strong_100_250,weak_null,True,8,292201944,-4.440892098500626e-16,0,0
100,250,0.09196381366979989,0.07548267612302756,0.08672107071774349,0.07336642668245474,0.01648113754677233,0.013354644035288743,0.04924314292700206,0.3346889854533439,0.27119804385933777,0.7378597110806937,0.7862387173993581,0.68,0.65,0.74,True,99,0.0001079590292647481,0.00018329196609556675,weak_2x2_bal_strong_100_250,weak_null,True,9,292201944,-4.440892098500626e-16,0,0
100,250,0.11445270593305268,0.0544060570515113,0.10918740661951176,0.05229347297265008,0.060046648881541376,0.05689393364686168,0.05052407057815272,1.1884760707999318,1.1260758089326115,0.23464590190152368,0.26013343254484644,0.29,0.27,0.28,True,99,0.00012337497901171446,0.0001902079675346613,weak_2x2_bal_strong_100_250,weak_null,True,10,292201944,-4.440892098500626e-16,0,0
100,250,0.11413089478357141,0.05358548721288231,0.10888033952302578,0.051467378820731824,0.0605454075706891,0.05741296070229396,0.050622652104471325,1.1960141370258501,1.1341357735230722,0.2316910423173476,0.2567375998187219,0.26,0.19,0.19,True,99,0.00011070899199694395,0.00017662497702986002,weak_2x2_bal_strong_100_250,weak_null,True,11,292201944,-4.440892098500626e-16,0,0
100,250,0.07089801466882772,0.055237501595894356,0.06566428307317551,0.05309549474968378,0.01566051307293337,0.01256878832349173,0.043592724297104646,0.35924602844730935,0.28832307514964206,0.7194110459578347,0.7730994453711876,0.79,0.73,0.79,True,99,0.00010750000365078449,0.00017775001469999552,weak_2x2_bal_strong_100_250,weak_null,True,12,292201944,-4.440892098500626e-16,0,0
100,250,0.04642228606010346,0.03137054978883952,0.04120532588582648,0.029254871198574506,0.015051736271263938,0.011950454687251977,0.03470309041012949,0.4337289876313288,0.3443628376037587,0.6644852540264032,0.7305734329850703,0.79,0.71,0.76,True,99,0.0001075830077752471,0.0001990830060094595,weak_2x2_bal_strong_100_250,weak_null,True,13,292201944,-4.440892098500626e-16,0,0
100,250,0.044615464923190795,0.042683686456294556,0.03943237260273236,0.040563683376603876,0.001931778466896239,-0.001131310773871519,0.0360349808401383,0.053608422201365184,-0.03139479326741823,0.9572471462169029,0.9749546934768497,1.0,0.99,0.99,True,99,0.00010941701475530863,0.00017595908138900995,weak_2x2_bal_strong_100_250,weak_null,True,14,292201944,-4.440892098500626e-16,0,0
100,250,0.0273108596740268,0.09026854983175031,0.022128113288459872,0.08811141970424785,-0.06295769015772351,-0.06598330641578798,0.03862169643223337,-1.630111982993567,-1.7084517903444245,0.10307783157233802,0.08755254448482058,0.24,0.11,0.1,True,99,0.00010750000365078449,0.00017612497322261333,weak_2x2_bal_strong_100_250,weak_null,True,15,292201944,-4.440892098500626e-16,0,0
100,250,0.06453060184189918,0.07546834812822156,0.05932963786189305,0.0733636734669858,-0.01093774628632238,-0.014034035605092754,0.044279292056579,-0.2470171897135662,-0.3169435407223856,0.8048949207597584,0.7512864431311557,0.81,0.75,0.7,True,99,0.0001895000459626317,0.00021225004456937313,weak_2x2_bal_strong_100_250,weak_null,True,16,292201944,-4.440892098500626e-16,0,0
100,250,0.06204111030475401,0.05058855179299321,0.05681272276567029,0.04848575579393355,0.011452558511760802,0.008326966971736738,0.04070755157465752,0.28133744400610405,0.20455582931498859,0.7784515934278643,0.8379191686723384,0.86,0.82,0.86,True,99,0.00010995904449373484,0.0001776249846443534,weak_2x2_bal_strong_100_250,weak_null,True,17,292201944,-4.440892098500626e-16,0,0
100,250,0.015743502633867035,0.04962055991104569,0.01056852564579458,0.04747630928626734,-0.03387705727717866,-0.03690778364047276,0.02930808070340146,-1.1558947725037119,-1.2593040129096302,0.2477242011267191,0.20792054434467666,0.52,0.29,0.23,True,99,0.0001117080682888627,0.00017862499225884676,weak_2x2_bal_strong_100_250,weak_null,True,18,292201944,-4.440892098500626e-16,0,0
100,250,0.019591404667951062,0.05957549648797711,0.014416193560265356,0.057461861381753465,-0.039984091820026046,-0.04304566782148811,0.031727178969415765,-1.2602473059004,-1.3567442558628706,0.207580162435948,0.17486248524600945,0.48,0.26,0.2,True,99,0.00010708300396800041,0.00017583300359547138,weak_2x2_bal_strong_100_250,weak_null,True,19,292201944,-4.440892098500626e-16,0,0
100,250,0.06607918563312642,0.06219863629250977,0.060881532323605825,0.06008073608487052,0.003880549340616657,0.0008007962387353018,0.04340393125915217,0.08940548074889881,0.018449855013224076,0.9287596679092427,0.985279980649407,0.98,0.98,0.99,True,99,0.00010762503370642662,0.00017849996220320463,weak_2x2_bal_strong_100_250,weak_null,True,20,292201944,-4.440892098500626e-16,0,0
100,250,0.05031393641726378,0.017443391231600103,0.04511925853536525,0.015258892081845943,0.03287054518566368,0.029860366453519305,0.03388129521353615,0.9701679046948399,0.8813230505305353,0.33196280595664673,0.3781429933980883,0.49,0.31,0.4,True,99,0.00010991690214723349,0.00021529104560613632,weak_2x2_bal_strong_100_250,weak_null,True,21,292201944,-4.440892098500626e-16,0,0
100,250,0.06386200406420894,0.06408539106469247,0.058663610207815964,0.061985825005052675,-0.00022338700048352145,-0.003322214797236711,0.042895239504242046,-0.005207734076445243,-0.07744949872370259,0.9958448481652744,0.9382659647154901,1.0,0.99,0.94,True,99,0.00013050006236881018,0.00018674996681511402,weak_2x2_bal_strong_100_250,weak_null,True,22,292201944,-4.440892098500626e-16,0,0
100,250,0.058386195386126105,0.06702999540966087,0.053194310284851554,0.06486574374046938,-0.008643800023534765,-0.01167143345561783,0.042597911483694205,-0.2029160520426799,-0.2739907438909409,0.8392006475654776,0.7840917348823526,0.91,0.82,0.79,True,99,0.00011433300096541643,0.0001842499477788806,weak_2x2_bal_strong_100_250,weak_null,True,23,292201944,-4.440892098500626e-16,0,0
100,250,0.013927801918583782,0.06943244026686479,0.008752444950928862,0.06731739347075916,-0.05550463834828101,-0.058564948519830295,0.03115071112789002,-1.7818096710667484,-1.8800517355571897,0.07478027463101246,0.06010102737456417,0.31,0.1,0.06,True,99,0.00012224994134157896,0.00018370908219367266,weak_2x2_bal_strong_100_250,weak_null,True,24,292201944,-4.440892098500626e-16,0,0
100,250,0.05272865990833975,0.09187851008349412,0.0475291796960704,0.08979078548772179,-0.03914985017515438,-0.04226160579165139,0.042998327607781495,-0.910497043798265,-0.9828662681290707,0.3625604400551965,0.32567326148420483,0.46,0.39,0.37,True,99,0.00011124997399747372,0.000179499969817698,weak_2x2_bal_strong_100_250,weak_null,True,25,292201944,-4.440892098500626e-16,0,0
100,250,0.009967126245985392,0.024288989284077023,0.004806540328729625,0.02215222402453776,-0.014321863038091631,-0.017345683695808134,0.021352388670994704,-0.6707382138255376,-0.8123533138646302,0.502387314267742,0.4165889268457217,0.69,0.45,0.41,True,99,0.00010900001507252455,0.00017858296632766724,weak_2x2_bal_strong_100_250,weak_null,True,26,292201944,-4.440892098500626e-16,0,0
100,250,0.030466163489106357,0.04640674170949516,0.02528457604466894,0.04432338226104093,-0.0159405782203888,-0.019038806216371995,0.032288186793868946,-0.4936969152884015,-0.5896523808511659,0.6215202440850631,0.5554237264570795,0.79,0.6,0.51,True,99,0.00010783399920910597,0.0001776670105755329,weak_2x2_bal_strong_100_250,weak_null,True,27,292201944,-4.440892098500626e-16,0,0
100,250,0.020168903711830666,0.05370605772941539,0.015002401593903869,0.051621945459146446,-0.033537154017584725,-0.036619543865242576,0.030210187932339407,-1.1101272886053075,-1.212158757411836,0.26694417962257244,0.22545161540355418,0.42,0.24,0.2,True,99,0.00010770896915346384,0.00018025003373622894,weak_2x2_bal_strong_100_250,weak_null,True,28,292201944,-4.440892098500626e-16,0,0
100,250,0.13553586216884483,0.02086420932484273,0.13026059359532383,0.018747778578926955,0.1146716528440021,0.11151281501639687,0.05017476326978335,2.2854448206845968,2.222488114528943,0.022286758438811886,0.026250336379368248,0.04,0.02,0.02,True,99,0.00010754098184406757,0.00017829204443842173,weak_2x2_bal_strong_100_250,weak_null,True,29,292201944,-4.440892098500626e-16,0,0
100,250,0.021162458757531866,0.05149394612164665,0.01598913323475415,0.049365849904091874,-0.030331487364114784,-0.033376716669337725,0.031142751887792593,-0.9739501336747377,-1.0717330565260936,0.33008129950660325,0.2838399487573544,0.53,0.27,0.26,True,99,0.0001087910495698452,0.00017862499225884676,weak_2x2_bal_strong_100_250,weak_null,True,30,292201944,-4.440892098500626e-16,0,0
100,250,0.017326727962654442,0.05669012228705461,0.01215513048330763,0.05458830268806025,-0.03936339432440017,-0.04243317220475262,0.030213149444108647,-1.3028563737527123,-1.404460408314923,0.19262380038083204,0.16018179335305904,0.42,0.21,0.17,True,99,0.00010962504893541336,0.00017683301120996475,weak_2x2_bal_strong_100_250,weak_null,True,31,292201944,-4.440892098500626e-16,0,0
100,250,0.061312776413463665,0.06751126890471992,0.05611143187623213,0.06541515871720094,-0.006198492491256258,-0.009303726840968807,0.04255631480651612,-0.14565388284765576,-0.21862153438963286,0.884194629157465,0.8269448765452756,0.9,0.87,0.83,True,99,0.00010804098565131426,0.00017787492834031582,weak_2x2_bal_strong_100_250,weak_null,True,32,292201944,-4.440892098500626e-16,0,0
100,250,0.019637106628919376,0.08382902511952312,0.014469996022114628,0.08171499915206937,-0.06419191849060374,-0.06724500312995474,0.03470628683276051,-1.849576095533524,-1.9375453056672074,0.06437467079681469,0.05267872085632932,0.2,0.04,0.04,True,99,0.0001074580941349268,0.00017729203682392836,weak_2x2_bal_strong_100_250,weak_null,True,33,292201944,-4.440892098500626e-16,0,0
100,250,0.06622639858617974,0.03131213890581269,0.06102599681521781,0.02918402743952697,0.034914259680367044,0.03184196937569084,0.039619154514338055,0.8812469652206151,0.803701385504512,0.37818416431984037,0.4215694537711615,0.49,0.39,0.4,True,99,0.00010800000745803118,0.0001770419767126441,weak_2x2_bal_strong_100_250,weak_null,True,34,292201944,-4.440892098500626e-16,0,0
100,250,0.11892320497045628,0.04507076353146061,0.11368293296379761,0.04295263464163668,0.07385244143899566,0.07073029832216093,0.0506703712348011,1.4575074079637451,1.3958906674356948,0.14497636798257668,0.1627474214336717,0.24,0.13,0.14,True,99,0.00010837498120963573,0.0001782089238986373,weak_2x2_bal_strong_100_250,weak_null,True,35,292201944,-4.440892098500626e-16,0,0
100,250,0.019935500215221724,0.04111183294861376,0.014767190878743008,0.03899921473447421,-0.021176332733392034,-0.0242320238557312,0.028643672240405007,-0.7393022987995415,-0.845981746067786,0.45972345373659984,0.397562927467511,0.6,0.39,0.3,True,99,0.00011891697067767382,0.00018654204905033112,weak_2x2_bal_strong_100_250,weak_null,True,36,292201944,-4.440892098500626e-16,0,0
100,250,0.08630462173553421,0.0839773706401436,0.08106570661712453,0.0818857440709877,0.0023272510953906145,-0.000820037453863165,0.048569926962667424,0.04791547447002386,-0.016883646016051763,0.9617836067124071,0.9865294394974948,0.97,0.95,0.99,True,99,0.00010687496978789568,0.0001807080116122961,weak_2x2_bal_strong_100_250,weak_null,True,37,292201944,-4.440892098500626e-16,0,0
100,250,0.01287623345914679,0.021854848054839837,0.00771415638007511,0.019721016277870262,-0.008978614595693046,-0.012006859897795152,0.02197511596251801,-0.4085809881962614,-0.546384370315712,0.6828471850759855,0.5848017515410899,0.8,0.71,0.62,True,99,0.00010708300396800041,0.00017504196148365736,weak_2x2_bal_strong_100_250,weak_null,True,38,292201944,-4.440892098500626e-16,0,0
100,250,0.005010387869092026,0.018971331260351165,-0.0001467690405831945,0.016870163349409495,-0.01396094339125914,-0.01701693238999269,0.016847844480649486,-0.8286486385420946,-1.0100361746297817,0.4073032569262821,0.3124779590145732,0.75,0.46,0.41,True,99,0.000106374965980649,0.00018758396618068218,weak_2x2_bal_strong_100_250,weak_null,True,39,292201944,-4.440892098500626e-16,0,0
500,500,0.0002020583783364227,0.0012461756155691672,-0.000803983736830105,0.00019243526321588433,-0.0010441172372327445,-0.0009964190000459894,0.0025127822061506862,-0.41552237781571233,-0.39654013690760603,0.6777595369109464,0.6917066044101405,0.97,0.68,0.7,True,99,0.000124832964502275,0.0001913749147206545,near_2x2_bal_strong_500,near_boundary,False,0,2969104037,9.992007221626409e-16,0,0
500,500,0.0006489820317602257,4.81923458084399e-07,-0.00035707546470575835,-0.0010617500999501317,0.0006485001083021413,0.0007046746352443733,0.0016112611691817208,0.40247982183514186,0.4373435224050254,0.6873309355535024,0.661862236335078,0.97,0.69,0.68,True,99,0.0001105000264942646,0.0001807080116122961,near_2x2_bal_strong_500,near_boundary,False,1,2969104037,9.992007221626409e-16,0,0
500,500,0.001414668486429127,0.0009196715959202684,0.00040850481900633895,-0.00013392277261914387,0.0004949968905088586,0.0005424275916254828,0.0031070455948512222,0.15931433105749485,0.17457986214439716,0.8734212304096606,0.8614097732407631,0.99,0.91,0.9,True,99,0.00010941701475530863,0.00018083397299051285,near_2x2_bal_strong_500,near_boundary,False,2,2969104037,9.992007221626409e-16,0,0
500,500,0.00013227926503200926,1.6018116104299374e-05,-0.0008737654733863565,-0.0010813097546247263,0.00011626114892770989,0.00020754428123836988,0.0007707977496595032,0.15083223709341104,0.2692590648195998,0.8801080556536242,0.7877303307692276,1.0,0.91,0.83,True,99,0.00010783295147120953,0.0001776249846443534,near_2x2_bal_strong_500,near_boundary,False,3,2969104037,9.992007221626409e-16,0,0
