configuration_id,anchor_configuration_id,configuration_label,sample_scale,n_p,n_q,mi_p,mi_q,minimum_expected_count,method,method_label,alpha,replicates,valid_count,valid_rate,reject_count,false_positive_rate,absolute_fpr_error,wilson_low,wilson_high
LR_C1_N0_n50_scale1,C1_N0_n50,"Balanced, moderate sample",1.0,50,50,0.09999999999999987,0.09999999999999987,7.0051343459647555,simple_welch,Simple Welch,0.01,100,100,1.0,1,0.01,0.0,0.0017674320641406505,0.054486196178705315
LR_C1_N0_n50_scale1,C1_N0_n50,"Balanced, moderate sample",1.0,50,50,0.09999999999999987,0.09999999999999987,7.0051343459647555,bartlett_lr,Constrained LR (oracle Bartlett),0.05,100,100,1.0,4,0.04,0.010000000000000002,0.01566330399154762,0.0983707143588792
LR_C1_N0_n50_scale1,C1_N0_n50,"Balanced, moderate sample",1.0,50,50,0.09999999999999987,0.09999999999999987,7.0051343459647555,constrained_lr,Constrained LR (chi-squared),0.05,100,100,1.0,5,0.05,0.0,0.02154367915436796,0.11175046923191913
LR_C1_N0_n50_scale1,C1_N0_n50,"Balanced, moderate sample",1.0,50,50,0.09999999999999987,0.09999999999999987,7.0051343459647555,empirical_lr,Constrained LR (split empirical),0.05,100,100,1.0,2,0.02,0.030000000000000002,0.00550196755016235,0.07001179072854388
LR_C1_N0_n50_scale1,C1_N0_n50,"Balanced, moderate sample",1.0,50,50,0.09999999999999987,0.09999999999999987,7.0051343459647555,expanded_welch,Expanded Welch,0.05,100,100,1.0,4,0.04,0.010000000000000002,0.01566330399154762,0.0983707143588792
LR_C1_N0_n50_scale1,C1_N0_n50,"Balanced, moderate sample",1.0,50,50,0.09999999999999987,0.09999999999999987,7.0051343459647555,normal_wald,Normal Wald,0.05,100,100,1.0,5,0.05,0.0,0.02154367915436796,0.11175046923191913
LR_C1_N0_n50_scale1,C1_N0_n50,"Balanced, moderate sample",1.0,50,50,0.09999999999999987,0.09999999999999987,7.0051343459647555,simple_welch,Simple Welch,0.05,100,100,1.0,5,0.05,0.0,0.02154367915436796,0.11175046923191913
LR_C1_N0_n50_scale1,C1_N0_n50,"Balanced, moderate sample",1.0,50,50,0.09999999999999987,0.09999999999999987,7.0051343459647555,bartlett_lr,Constrained LR (oracle Bartlett),0.1,100,100,1.0,10,0.1,0.0,0.0552291370606751,0.17436566150491345
LR_C1_N0_n50_scale1,C1_N0_n50,"Balanced, moderate sample",1.0,50,50,0.09999999999999987,0.09999999999999987,7.0051343459647555,constrained_lr,Constrained LR (chi-squared),0.1,100,100,1.0,12,0.12,0.01999999999999999,0.06999406437019488,0.19812099426711421
LR_C1_N0_n50_scale1,C1_N0_n50,"Balanced, moderate sample",1.0,50,50,0.09999999999999987,0.09999999999999987,7.0051343459647555,empirical_lr,Constrained LR (split empirical),0.1,100,100,1.0,8,0.08,0.020000000000000004,0.041093461484380624,0.14998107700948735
LR_C1_N0_n50_scale1,C1_N0_n50,"Balanced, moderate sample",1.0,50,50,0.09999999999999987,0.09999999999999987,7.0051343459647555,expanded_welch,Expanded Welch,0.1,100,100,1.0,10,0.1,0.0,0.0552291370606751,0.17436566150491345
LR_C1_N0_n50_scale1,C1_N0_n50,"Balanced, moderate sample",1.0,50,50,0.09999999999999987,0.09999999999999987,7.0051343459647555,normal_wald,Normal Wald,0.1,100,100,1.0,10,0.1,0.0,0.0552291370606751,0.17436566150491345
LR_C1_N0_n50_scale1,C1_N0_n50,"Balanced, moderate sample",1.0,50,50,0.09999999999999987,0.09999999999999987,7.0051343459647555,simple_welch,Simple Welch,0.1,100,100,1.0,10,0.1,0.0,0.0552291370606751,0.17436566150491345
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,bartlett_lr,Constrained LR (oracle Bartlett),0.01,100,100,1.0,0,0.0,0.01,3.469446951953614e-18,0.03699349820698568
