scenario_id,regime,table_index,true_delta,paired_wald_normal_p,paired_wald_t_p,paired_jackknife_t_p,bootstrap_t_p,analytic_seconds,bootstrap_seconds,bootstrap_valid_replicates,bootstrap_requested_replicates
regular_3x3_weak_n150_positive,regular,6,-4.9682480351975755e-14,0.297651328445969,0.2993382750799663,0.24584771720338483,0.272,0.0001550420420244336,0.0022817919962108135,999,999
regular_3x3_weak_n150_positive,regular,7,-4.9682480351975755e-14,0.12995187702234504,0.13207028017796735,0.10826048075951547,0.101,0.00015183398500084877,0.002331458032131195,999,999
sparse_3x3_strong_n50_positive,sparse,0,0.0,0.47599744778380015,0.47937803967500753,0.48436181402345774,0.39655172413793105,0.00016116700135171413,0.001765332999639213,869,999
sparse_3x3_strong_n50_positive,sparse,1,0.0,0.29137211481785197,0.29654691992444715,0.4197934424430819,0.45792349726775955,0.0001544170081615448,0.001735958969220519,914,999
sparse_3x3_strong_n50_positive,sparse,2,0.0,0.19570591873351928,0.2017715925605107,0.1987109345106144,0.16023391812865498,0.00015358394011855125,0.001870625070296228,854,999
sparse_3x3_strong_n50_positive,sparse,3,0.0,0.6297747194753041,0.6319209596499178,0.6362189082995275,0.6638554216867469,0.00015558302402496338,0.0017733750864863396,829,999
sparse_3x3_strong_n50_positive,sparse,4,0.0,0.5682740801110526,0.570881603702095,0.8303912929626484,0.8655660377358491,0.00015679094940423965,0.001840165932662785,847,999
sparse_3x3_strong_n50_positive,sparse,5,0.0,0.11288346297517796,0.11931674486268873,0.1477631225995795,0.4429868819374369,0.0001579589443281293,0.0019073340808972716,990,999
sparse_3x3_strong_n50_positive,sparse,6,0.0,0.3123755752984242,0.3173384007890983,0.3596670339949846,0.38434579439252337,0.00015020801220089197,0.0018525830237194896,855,999
sparse_3x3_strong_n50_positive,sparse,7,0.0,0.47925968908424044,0.48261127091027534,0.48760811909484875,0.5085536547433903,0.00014904094859957695,0.0016264590667560697,642,999
sparse_5x5_strong_n150_positive,sparse,0,0.0,0.035940583415659214,0.03762892586468527,0.0548329003112561,0.086,0.00018145795911550522,0.006191374966874719,999,999
sparse_5x5_strong_n150_positive,sparse,1,0.0,0.6521790567517829,0.6528342819966788,0.8188062292876196,0.878,0.00018779200036078691,0.005668792058713734,999,999
sparse_5x5_strong_n150_positive,sparse,2,0.0,0.9460609882817317,0.9461516885615247,0.5459992042192869,0.4894472361809045,0.0001699579879641533,0.004385750042274594,994,999
sparse_5x5_strong_n150_positive,sparse,3,0.0,0.3820631581757039,0.3834698358734601,0.26539946258442526,0.289,0.00016825005877763033,0.004793958039954305,999,999
sparse_5x5_strong_n150_positive,sparse,4,0.0,0.22696512093931476,0.22887920553633512,0.2990196556404465,0.28,0.00016733305528759956,0.005282208090648055,999,999
sparse_5x5_strong_n150_positive,sparse,5,0.0,0.6055686727714982,0.6063342432738407,0.3243214231974687,0.40220661985957873,0.00018099998123943806,0.0044397920137271285,996,999
sparse_5x5_strong_n150_positive,sparse,6,0.0,0.939000528121861,0.939103187543106,0.7708024670858811,0.796,0.00016483303625136614,0.004755791975185275,999,999
sparse_5x5_strong_n150_positive,sparse,7,0.0,0.6163758386496645,0.6171151448373379,0.8510106034605137,0.866,0.0001645830925554037,0.00457933300640434,999,999
boundary_2x2_weak_n250,boundary,0,9.992007221626409e-16,0.8878385296234038,0.8879525637520178,0.685133971557192,0.546,0.00017587491311132908,0.00142541597597301,999,999
boundary_2x2_weak_n250,boundary,1,9.992007221626409e-16,0.9943244884676068,0.9943301840894382,0.7687032779895513,0.663,0.0001545419218018651,0.001447416958399117,999,999
boundary_2x2_weak_n250,boundary,2,9.992007221626409e-16,0.3556985062283754,0.3565926309648687,0.3511853950673882,0.38,0.00014941603876650333,0.0014625419862568378,999,999
boundary_2x2_weak_n250,boundary,3,9.992007221626409e-16,0.6637473797514686,0.6641239108708024,0.6393260182878936,0.573,0.00015129090752452612,0.001442749984562397,999,999
boundary_2x2_weak_n250,boundary,4,9.992007221626409e-16,0.46947658528538705,0.47015551392100163,0.4500224006324459,0.468,0.00015004200395196676,0.0015922080492600799,999,999
boundary_2x2_weak_n250,boundary,5,9.992007221626409e-16,0.9610476980991695,0.9610868491668461,0.6945544962459591,0.547,0.0001667090691626072,0.0014017079956829548,999,999
boundary_2x2_weak_n250,boundary,6,9.992007221626409e-16,0.3377139260141304,0.33864386278693565,0.3238465832468504,0.34,0.0001496670302003622,0.0014381250366568565,999,999
boundary_2x2_weak_n250,boundary,7,9.992007221626409e-16,0.840601680236028,0.8407658739949561,0.7663059416088586,0.55,0.00014795793686062098,0.0014618750428780913,999,999
