configuration,family,description,total_n,total_strata,informative_strata,reference,exact_status,exact_state_count,mean,variance,skewness,fourth_cumulant,lyapunov_ratio,max_variance_share,total_support_width,min_expected_count,fraction_expected_below_1,fraction_expected_below_5,degenerate_fraction,moment_seconds,exact_seconds,reference_sampling_seconds,permutation_seconds,permutations,runtime_speedup_vs_permutation,normal_p_mae,edgeworth_p_mae,chi2_nominal_p_mae,chi2_informative_p_mae,normal_tail_p_mae,edgeworth_tail_p_mae,chi2_nominal_tail_p_mae,chi2_informative_tail_p_mae,normal_tail_max_error,edgeworth_tail_max_error,chi2_nominal_tail_max_error,chi2_informative_tail_max_error,normal_monotonicity_violations,edgeworth_monotonicity_violations,alpha,reference_fpr,normal_fpr,edgeworth_fpr,cornish_fisher_fpr,chi2_nominal_fpr,chi2_informative_fpr,normal_fpr_error_vs_reference,normal_size_distortion,edgeworth_fpr_error_vs_reference,edgeworth_size_distortion,cornish_fisher_fpr_error_vs_reference,cornish_fisher_size_distortion,chi2_nominal_fpr_error_vs_reference,chi2_nominal_size_distortion,chi2_informative_fpr_error_vs_reference,chi2_informative_size_distortion
homogeneous_k5_n10_x_skew,homogeneous,"5 equal strata of size 10; p_x=0.10, p_y=0.50",50,5,0,exact_convolution,available,1.0,7.488176162235431,0.0,0.0,0.0,0.0,0.0,10,0.5,0.5,1.0,1.0,0.0002542500151321292,0.0002102500293403864,0.0010142920073121786,0.007455417071469128,1000,29.323172577176372,0.0,0.0,0.8132093058369304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01
homogeneous_k5_n10_x_skew,homogeneous,"5 equal strata of size 10; p_x=0.10, p_y=0.50",50,5,0,exact_convolution,available,1.0,7.488176162235431,0.0,0.0,0.0,0.0,0.0,10,0.5,0.5,1.0,1.0,0.0002542500151321292,0.0002102500293403864,0.0010142920073121786,0.007455417071469128,1000,29.323172577176372,0.0,0.0,0.8132093058369304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001
homogeneous_k5_n10_both_skew,homogeneous,"5 equal strata of size 10; p_x=0.10, p_y=0.10",50,5,5,exact_convolution,available,6.0,4.252897575859247,17.741502572957316,1.1925695879998877,321.7556005139454,1.222383827699885,0.19999999999999998,10,0.1,0.75,0.75,0.0,0.00028416700661182404,0.00020274997223168612,0.0010652500204741955,0.007272541988641024,1000,25.592492511192244,0.1992667765413207,0.22188082128705328,0.10351155376804058,0.10351155376804058,0.06240218303217788,0.03900455225925995,0.057663310434537034,0.057663310434537034,0.06878634066125724,0.042750816106713635,0.06362261712572018,0.06362261712572018,0,0,0.1,0.08146,0.08146,0.08146,0.08146,0.08146,0.08146,0.0,0.01854,0.0,0.01854,0.0,0.01854,0.0,0.01854,0.0,0.01854
homogeneous_k5_n10_both_skew,homogeneous,"5 equal strata of size 10; p_x=0.10, p_y=0.10",50,5,5,exact_convolution,available,6.0,4.252897575859247,17.741502572957316,1.1925695879998877,321.7556005139454,1.222383827699885,0.19999999999999998,10,0.1,0.75,0.75,0.0,0.00028416700661182404,0.00020274997223168612,0.0010652500204741955,0.007272541988641024,1000,25.592492511192244,0.1992667765413207,0.22188082128705328,0.10351155376804058,0.10351155376804058,0.06240218303217788,0.03900455225925995,0.057663310434537034,0.057663310434537034,0.06878634066125724,0.042750816106713635,0.06362261712572018,0.06362261712572018,0,0,0.05,0.00856,0.08146,0.08146,0.08146,0.08146,0.08146,0.0729,0.03146,0.0729,0.03146,0.0729,0.03146,0.0729,0.03146,0.0729,0.03146
homogeneous_k5_n10_both_skew,homogeneous,"5 equal strata of size 10; p_x=0.10, p_y=0.10",50,5,5,exact_convolution,available,6.0,4.252897575859247,17.741502572957316,1.1925695879998877,321.7556005139454,1.222383827699885,0.19999999999999998,10,0.1,0.75,0.75,0.0,0.00028416700661182404,0.00020274997223168612,0.0010652500204741955,0.007272541988641024,1000,25.592492511192244,0.1992667765413207,0.22188082128705328,0.10351155376804058,0.10351155376804058,0.06240218303217788,0.03900455225925995,0.057663310434537034,0.057663310434537034,0.06878634066125724,0.042750816106713635,0.06362261712572018,0.06362261712572018,0,0,0.01,0.00856,0.00856,0.00856,0.00856,0.00856,0.00856,0.0,0.0014400000000000003,0.0,0.0014400000000000003,0.0,0.0014400000000000003,0.0,0.0014400000000000003,0.0,0.0014400000000000003
homogeneous_k5_n10_both_skew,homogeneous,"5 equal strata of size 10; p_x=0.10, p_y=0.10",50,5,5,exact_convolution,available,6.0,4.252897575859247,17.741502572957316,1.1925695879998877,321.7556005139454,1.222383827699885,0.19999999999999998,10,0.1,0.75,0.75,0.0,0.00028416700661182404,0.00020274997223168612,0.0010652500204741955,0.007272541988641024,1000,25.592492511192244,0.1992667765413207,0.22188082128705328,0.10351155376804058,0.10351155376804058,0.06240218303217788,0.03900455225925995,0.057663310434537034,0.057663310434537034,0.06878634066125724,0.042750816106713635,0.06362261712572018,0.06362261712572018,0,0,0.001,0.00046,0.00856,0.00046,0.00046,0.00046,0.00046,0.0081,0.00756,0.0,0.00054,0.0,0.00054,0.0,0.00054,0.0,0.00054
homogeneous_k5_n30_balanced,homogeneous,"5 equal strata of size 30; p_x=0.50, p_y=0.50",150,5,5,exact_convolution,available,792.0,5.266309817868135,11.141282704515657,1.2740265068793792,304.04781748560464,1.3857606036710166,0.19999999999999998,80,7.5,0.0,0.0,0.0,0.00026999996043741703,0.0012171670095995069,0.004202957963570952,0.007989417063072324,1000,29.590437902764734,0.04379963811028654,0.053367307035081205,0.06488029061981446,0.06488029061981446,0.02140141680047411,0.0072810579800878005,0.01291329925807719,0.01291329925807719,0.03291140006137047,0.020366783723961765,0.025104943919125697,0.025104943919125697,0,0,0.1,0.0892689942060201,0.0892689942060201,0.0892689942060201,0.0892689942060201,0.13328925802873798,0.13328925802873798,0.0,0.010731005793979911,0.0,0.010731005793979911,0.0,0.010731005793979911,0.044020263822717884,0.03328925802873797,0.044020263822717884,0.03328925802873797
homogeneous_k5_n30_balanced,homogeneous,"5 equal strata of size 30; p_x=0.50, p_y=0.50",150,5,5,exact_convolution,available,792.0,5.266309817868135,11.141282704515657,1.2740265068793792,304.04781748560464,1.3857606036710166,0.19999999999999998,80,7.5,0.0,0.0,0.0,0.00026999996043741703,0.0012171670095995069,0.004202957963570952,0.007989417063072324,1000,29.590437902764734,0.04379963811028654,0.053367307035081205,0.06488029061981446,0.06488029061981446,0.02140141680047411,0.0072810579800878005,0.01291329925807719,0.01291329925807719,0.03291140006137047,0.020366783723961765,0.025104943919125697,0.025104943919125697,0,0,0.05,0.04092873523199113,0.06308760190674288,0.03984424180910256,0.04092873523199113,0.06308760190674288,0.06308760190674288,0.022158866674751754,0.01308760190674288,0.0010844934228885703,0.010155758190897445,0.0,0.009071264768008874,0.022158866674751754,0.01308760190674288,0.022158866674751754,0.01308760190674288
homogeneous_k5_n30_balanced,homogeneous,"5 equal strata of size 30; p_x=0.50, p_y=0.50",150,5,5,exact_convolution,available,792.0,5.266309817868135,11.141282704515657,1.2740265068793792,304.04781748560464,1.3857606036710166,0.19999999999999998,80,7.5,0.0,0.0,0.0,0.00026999996043741703,0.0012171670095995069,0.004202957963570952,0.007989417063072324,1000,29.590437902764734,0.04379963811028654,0.053367307035081205,0.06488029061981446,0.06488029061981446,0.02140141680047411,0.0072810579800878005,0.01291329925807719,0.01291329925807719,0.03291140006137047,0.020366783723961765,0.025104943919125697,0.025104943919125697,0,0,0.01,0.00966756935370814,0.028870030875212786,0.012589025080954112,0.008703271933494655,0.012589025080954112,0.012589025080954112,0.019202461521504646,0.018870030875212787,0.0029214557272459717,0.0025890250809541115,0.0009642974202134849,0.001296728066505345,0.0029214557272459717,0.0025890250809541115,0.0029214557272459717,0.0025890250809541115
homogeneous_k5_n30_balanced,homogeneous,"5 equal strata of size 30; p_x=0.50, p_y=0.50",150,5,5,exact_convolution,available,792.0,5.266309817868135,11.141282704515657,1.2740265068793792,304.04781748560464,1.3857606036710166,0.19999999999999998,80,7.5,0.0,0.0,0.0,0.00026999996043741703,0.0012171670095995069,0.004202957963570952,0.007989417063072324,1000,29.590437902764734,0.04379963811028654,0.053367307035081205,0.06488029061981446,0.06488029061981446,0.02140141680047411,0.0072810579800878005,0.01291329925807719,0.01291329925807719,0.03291140006137047,0.020366783723961765,0.025104943919125697,0.025104943919125697,0,0,0.001,0.0009619656807228498,0.010683981692276273,0.00461359990477844,0.0011112340965068307,0.0018053634574318545,0.0018053634574318545,0.009722016011553423,0.009683981692276272,0.00365163422405559,0.00361359990477844,0.00014926841578398096,0.00011123409650683072,0.0008433977767090047,0.0008053634574318545,0.0008433977767090047,0.0008053634574318545
homogeneous_k5_n30_x_skew,homogeneous,"5 equal strata of size 30; p_x=0.10, p_y=0.50",150,5,5,exact_convolution,available,6.0,6.497046145895968,14.731050666458497,0.591680209306911,-10.831645348962091,0.6994323163897428,0.19999999999999998,20,1.5,0.0,0.5,0.0,0.00024654099252074957,0.00020233297254890203,0.001140250009484589,0.008174541988410056,1000,33.15692820422982,0.13694933251765865,0.1496954290761516,0.2664577240271251,0.2664577240271251,0.049933319943798814,0.0358641437962798,0.05644576746545342,0.05644576746545342,0.05620773640759125,0.04040224642980253,0.06393991741268695,0.06393991741268695,0,0,0.1,0.07813855284265162,0.07813855284265162,0.07813855284265162,0.07813855284265162,0.31276895129083215,0.31276895129083215,0.0,0.02186144715734839,0.0,0.02186144715734839,0.0,0.02186144715734839,0.23463039844818054,0.21276895129083215,0.23463039844818054,0.21276895129083215
homogeneous_k5_n30_x_skew,homogeneous,"5 equal strata of size 30; p_x=0.10, p_y=0.50",150,5,5,exact_convolution,available,6.0,6.497046145895968,14.731050666458497,0.591680209306911,-10.831645348962091,0.6994323163897428,0.19999999999999998,20,1.5,0.0,0.5,0.0,0.00024654099252074957,0.00020233297254890203,0.001140250009484589,0.008174541988410056,1000,33.15692820422982,0.13694933251765865,0.1496954290761516,0.2664577240271251,0.2664577240271251,0.049933319943798814,0.0358641437962798,0.05644576746545342,0.05644576746545342,0.05620773640759125,0.04040224642980253,0.06393991741268695,0.06393991741268695,0,0,0.05,0.010356437735399425,0.07813855284265162,0.07813855284265162,0.07813855284265162,0.07813855284265162,0.07813855284265162,0.06778211510725218,0.028138552842651612,0.06778211510725218,0.028138552842651612,0.06778211510725218,0.028138552842651612,0.06778211510725218,0.028138552842651612,0.06778211510725218,0.028138552842651612
homogeneous_k5_n30_x_skew,homogeneous,"5 equal strata of size 30; p_x=0.10, p_y=0.50",150,5,5,exact_convolution,available,6.0,6.497046145895968,14.731050666458497,0.591680209306911,-10.831645348962091,0.6994323163897428,0.19999999999999998,20,1.5,0.0,0.5,0.0,0.00024654099252074957,0.00020233297254890203,0.001140250009484589,0.008174541988410056,1000,33.15692820422982,0.13694933251765865,0.1496954290761516,0.2664577240271251,0.2664577240271251,0.049933319943798814,0.0358641437962798,0.05644576746545342,0.05644576746545342,0.05620773640759125,0.04040224642980253,0.06393991741268695,0.06393991741268695,0,0,0.01,0.0005656877754629938,0.010356437735399425,0.010356437735399425,0.010356437735399425,0.010356437735399425,0.010356437735399425,0.00979074995993643,0.00035643773539942476,0.00979074995993643,0.00035643773539942476,0.00979074995993643,0.00035643773539942476,0.00979074995993643,0.00035643773539942476,0.00979074995993643,0.00035643773539942476
homogeneous_k5_n30_x_skew,homogeneous,"5 equal strata of size 30; p_x=0.10, p_y=0.50",150,5,5,exact_convolution,available,6.0,6.497046145895968,14.731050666458497,0.591680209306911,-10.831645348962091,0.6994323163897428,0.19999999999999998,20,1.5,0.0,0.5,0.0,0.00024654099252074957,0.00020233297254890203,0.001140250009484589,0.008174541988410056,1000,33.15692820422982,0.13694933251765865,0.1496954290761516,0.2664577240271251,0.2664577240271251,0.049933319943798814,0.0358641437962798,0.05644576746545342,0.05644576746545342,0.05620773640759125,0.04040224642980253,0.06393991741268695,0.06393991741268695,0,0,0.001,0.0005656877754629938,0.0005656877754629938,0.0005656877754629938,0.0005656877754629938,0.0005656877754629938,0.0005656877754629938,0.0,0.00043431222453700624,0.0,0.00043431222453700624,0.0,0.00043431222453700624,0.0,0.00043431222453700624,0.0,0.00043431222453700624
