scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,absolute_fpr_error_10,fpr_05,absolute_fpr_error_05,fpr_01,absolute_fpr_error_01
adversarial_2x2_d10,widespread_sparse,Widespread sparsity,variant_1,2,2,120,120,0.03,0.2113242464913775,1.0,3229974002,10000,jackknife_simple,Jackknife correction + Simple Welch,8747,0.8747,0.1082656910940894,0.008265691094089395,0.045272664913684695,0.004727335086315308,0.002286498227963873,0.007713501772036127
adversarial_2x2_d10,widespread_sparse,Widespread sparsity,variant_1,2,2,120,120,0.03,0.2113242464913775,1.0,3229974002,10000,jackknife_expanded,Jackknife correction + Expanded Welch,8747,0.8747,0.06242140162341374,0.03757859837658627,0.02023550931748028,0.029764490682519722,0.00022864982279638732,0.009771350177203613
adversarial_2x2_d11,widespread_sparse,Widespread sparsity,variant_2,2,2,120,120,0.03,0.1176701599326482,1.0,606157434,10000,analytic_normal,Analytic correction + Normal Wald,9239,0.9239,0.0823682216690118,0.01763177833098821,0.03409459898257387,0.01590540101742613,0.002814157376339431,0.007185842623660569
adversarial_2x2_d11,widespread_sparse,Widespread sparsity,variant_2,2,2,120,120,0.03,0.1176701599326482,1.0,606157434,10000,analytic_simple,Analytic correction + Simple Welch,9239,0.9239,0.08106937980300899,0.018930620196991016,0.031388678428401345,0.018611321571598657,0.0022729732655049247,0.0077270267344950756
adversarial_2x2_d11,widespread_sparse,Widespread sparsity,variant_2,2,2,120,120,0.03,0.1176701599326482,1.0,606157434,10000,analytic_expanded,Analytic correction + Expanded Welch,9239,0.9239,0.057257278926290726,0.04274272107370928,0.018508496590540102,0.0314915034094599,0.0009741313995021106,0.00902586860049789
adversarial_2x2_d11,widespread_sparse,Widespread sparsity,variant_2,2,2,120,120,0.03,0.1176701599326482,1.0,606157434,10000,jackknife_normal,Jackknife correction + Normal Wald,9239,0.9239,0.1191687412057582,0.01916874120575819,0.059313778547461844,0.009313778547461841,0.008875419417685897,0.0011245805823141032
adversarial_2x2_d11,widespread_sparse,Widespread sparsity,variant_2,2,2,120,120,0.03,0.1176701599326482,1.0,606157434,10000,jackknife_simple,Jackknife correction + Simple Welch,9239,0.9239,0.11754518887325469,0.01754518887325468,0.05682433163762312,0.006824331637623117,0.007143630263015478,0.002856369736984522
adversarial_2x2_d11,widespread_sparse,Widespread sparsity,variant_2,2,2,120,120,0.03,0.1176701599326482,1.0,606157434,10000,jackknife_expanded,Jackknife correction + Expanded Welch,9239,0.9239,0.08031172204784068,0.019688277952159328,0.031280441606234444,0.01871955839376556,0.001731789154670419,0.008268210845329582
adversarial_2x2_d12,shape_mismatch,Equal-MI shape mismatch,variant_1,2,2,120,120,0.07,4.488131537935788,1.0,2674302760,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.091,0.009000000000000008,0.0437,0.0063,0.0079,0.0020999999999999994
adversarial_2x2_d12,shape_mismatch,Equal-MI shape mismatch,variant_1,2,2,120,120,0.07,4.488131537935788,1.0,2674302760,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.0894,0.010600000000000012,0.0424,0.007600000000000003,0.0075,0.0025000000000000005
adversarial_2x2_d12,shape_mismatch,Equal-MI shape mismatch,variant_1,2,2,120,120,0.07,4.488131537935788,1.0,2674302760,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.0791,0.020900000000000002,0.0357,0.0143,0.0053,0.0047
adversarial_2x2_d12,shape_mismatch,Equal-MI shape mismatch,variant_1,2,2,120,120,0.07,4.488131537935788,1.0,2674302760,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.091,0.009000000000000008,0.0436,0.006400000000000003,0.0082,0.0017999999999999995
adversarial_2x2_d12,shape_mismatch,Equal-MI shape mismatch,variant_1,2,2,120,120,0.07,4.488131537935788,1.0,2674302760,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.09,0.010000000000000009,0.0422,0.007800000000000001,0.0075,0.0025000000000000005
adversarial_2x2_d12,shape_mismatch,Equal-MI shape mismatch,variant_1,2,2,120,120,0.07,4.488131537935788,1.0,2674302760,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.0787,0.0213,0.0353,0.014700000000000005,0.0055,0.0045000000000000005
adversarial_2x2_d13,shape_mismatch,Equal-MI shape mismatch,variant_2,2,2,200,200,0.15,13.510952843682013,1.0,3380239290,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.0966,0.0034000000000000002,0.0497,0.00030000000000000165,0.0106,0.0005999999999999998
adversarial_2x2_d13,shape_mismatch,Equal-MI shape mismatch,variant_2,2,2,200,200,0.15,13.510952843682013,1.0,3380239290,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.096,0.0040000000000000036,0.0495,0.0005000000000000004,0.0101,9.99999999999994e-05
adversarial_2x2_d13,shape_mismatch,Equal-MI shape mismatch,variant_2,2,2,200,200,0.15,13.510952843682013,1.0,3380239290,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.094,0.006000000000000005,0.0488,0.0011999999999999997,0.0094,0.0005999999999999998
adversarial_2x2_d13,shape_mismatch,Equal-MI shape mismatch,variant_2,2,2,200,200,0.15,13.510952843682013,1.0,3380239290,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.0964,0.003600000000000006,0.0497,0.00030000000000000165,0.0106,0.0005999999999999998
adversarial_2x2_d13,shape_mismatch,Equal-MI shape mismatch,variant_2,2,2,200,200,0.15,13.510952843682013,1.0,3380239290,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.0959,0.004100000000000006,0.0495,0.0005000000000000004,0.0101,9.99999999999994e-05
adversarial_2x2_d13,shape_mismatch,Equal-MI shape mismatch,variant_2,2,2,200,200,0.15,13.510952843682013,1.0,3380239290,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.0936,0.006400000000000003,0.0488,0.0011999999999999997,0.0094,0.0005999999999999998
adversarial_2x2_d14,extreme_imbalance,Extreme sample imbalance,variant_1,2,2,120,1200,0.07,5.910908791733845,10.0,65349617,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1255,0.025499999999999995,0.0741,0.024099999999999996,0.0298,0.019799999999999998
adversarial_2x2_d14,extreme_imbalance,Extreme sample imbalance,variant_1,2,2,120,1200,0.07,5.910908791733845,10.0,65349617,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1244,0.02439999999999999,0.0722,0.022199999999999998,0.0281,0.018099999999999998
adversarial_2x2_d14,extreme_imbalance,Extreme sample imbalance,variant_1,2,2,120,1200,0.07,5.910908791733845,10.0,65349617,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.0978,0.0022000000000000075,0.0479,0.0021000000000000046,0.0061,0.0039
adversarial_2x2_d14,extreme_imbalance,Extreme sample imbalance,variant_1,2,2,120,1200,0.07,5.910908791733845,10.0,65349617,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.1254,0.025400000000000006,0.0739,0.02389999999999999,0.0294,0.0194
adversarial_2x2_d14,extreme_imbalance,Extreme sample imbalance,variant_1,2,2,120,1200,0.07,5.910908791733845,10.0,65349617,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.1235,0.023499999999999993,0.0717,0.021699999999999997,0.0282,0.0182
adversarial_2x2_d14,extreme_imbalance,Extreme sample imbalance,variant_1,2,2,120,1200,0.07,5.910908791733845,10.0,65349617,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.0966,0.0034000000000000002,0.0473,0.002700000000000001,0.0058,0.004200000000000001
adversarial_2x2_d15,extreme_imbalance,Extreme sample imbalance,variant_2,2,2,120,2400,0.15,0.2620298939632025,20.0,796464720,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1167,0.016699999999999993,0.0646,0.014600000000000002,0.0166,0.0066
adversarial_2x2_d15,extreme_imbalance,Extreme sample imbalance,variant_2,2,2,120,2400,0.15,0.2620298939632025,20.0,796464720,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1149,0.014899999999999997,0.0626,0.0126,0.0154,0.0054
adversarial_2x2_d15,extreme_imbalance,Extreme sample imbalance,variant_2,2,2,120,2400,0.15,0.2620298939632025,20.0,796464720,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.1111,0.011099999999999999,0.0587,0.0087,0.0131,0.0031000000000000003
adversarial_2x2_d15,extreme_imbalance,Extreme sample imbalance,variant_2,2,2,120,2400,0.15,0.2620298939632025,20.0,796464720,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.1278,0.02779999999999999,0.0707,0.020699999999999996,0.0188,0.0088
adversarial_2x2_d15,extreme_imbalance,Extreme sample imbalance,variant_2,2,2,120,2400,0.15,0.2620298939632025,20.0,796464720,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.1248,0.02479999999999999,0.0676,0.01759999999999999,0.0171,0.0071
adversarial_2x2_d15,extreme_imbalance,Extreme sample imbalance,variant_2,2,2,120,2400,0.15,0.2620298939632025,20.0,796464720,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.1205,0.02049999999999999,0.0634,0.013399999999999995,0.0141,0.0040999999999999995
random_2x5_d0,well_sampled,Well sampled,variant_1,2,5,1000,1000,0.03,26.86861618690623,1.0,478364860,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.0929,0.007100000000000009,0.0442,0.0058,0.008,0.002
random_2x5_d0,well_sampled,Well sampled,variant_1,2,5,1000,1000,0.03,26.86861618690623,1.0,478364860,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.0929,0.007100000000000009,0.044,0.006000000000000005,0.008,0.002
random_2x5_d0,well_sampled,Well sampled,variant_1,2,5,1000,1000,0.03,26.86861618690623,1.0,478364860,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.0901,0.009900000000000006,0.0406,0.009400000000000006,0.0068,0.0032000000000000006
