scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,correction,valid_replicates,mean_delta_error,mean_standard_error,standardized_mean_bias,empirical_delta_sd,sd_to_mean_se_ratio
adversarial_2x5_d11,widespread_sparse,Widespread sparsity,variant_2,2,5,169,169,0.03,0.0619331169374629,1.0,3915028103,10000,analytic,9990,0.00043172485058063986,0.024931255095184436,0.017316611174702918,0.026199190528803977,1.0508572644569525
adversarial_2x5_d11,widespread_sparse,Widespread sparsity,variant_2,2,5,169,169,0.03,0.0619331169374629,1.0,3915028103,10000,jackknife,9990,0.0018968990172196845,0.024931255095184436,0.0760851794254866,0.028913513762034004,1.1597295704386241
adversarial_2x5_d12,shape_mismatch,Equal-MI shape mismatch,variant_1,2,5,250,250,0.07,0.0109792547296525,1.0,1035720000,10000,analytic,10000,0.0033955852056784456,0.03213284138521203,0.10567335658156704,0.03249501834174267,1.0112712396699943
adversarial_2x5_d12,shape_mismatch,Equal-MI shape mismatch,variant_1,2,5,250,250,0.07,0.0109792547296525,1.0,1035720000,10000,jackknife,10000,-0.00021489615004393627,0.03213284138521203,-0.0066877419107677916,0.03248431869050543,1.0109382578739257
adversarial_2x5_d13,shape_mismatch,Equal-MI shape mismatch,variant_2,2,5,500,500,0.15,0.0005622232060066,1.0,127500412,10000,analytic,10000,0.0020738328623606294,0.03096445047391972,0.06697463803232506,0.031298518511810695,1.0107887604261652
adversarial_2x5_d13,shape_mismatch,Equal-MI shape mismatch,variant_2,2,5,500,500,0.15,0.0005622232060066,1.0,127500412,10000,jackknife,10000,0.0003045578685507335,0.03096445047391972,0.009835726579654692,0.03137450396614073,1.0132427182121764
adversarial_2x5_d14,extreme_imbalance,Extreme sample imbalance,variant_1,2,5,250,2500,0.07,1.8810184317590508,10.0,2766434811,10000,analytic,10000,0.0001722355535384627,0.02455265183119229,0.007014947090955383,0.024254771068932125,0.9878676745669595
adversarial_2x5_d14,extreme_imbalance,Extreme sample imbalance,variant_1,2,5,250,2500,0.07,1.8810184317590508,10.0,2766434811,10000,jackknife,10000,-4.147963585005847e-05,0.02455265183119229,-0.0016894157150618544,0.02423103354327581,0.9869008736763868
adversarial_2x5_d15,extreme_imbalance,Extreme sample imbalance,variant_2,2,5,120,2400,0.15,0.0445654060160034,20.0,3202765758,10000,analytic,10000,-0.0030896853151699674,0.04090105792109226,-0.07554047431073042,0.04258203508520703,1.0410986231054895
adversarial_2x5_d15,extreme_imbalance,Extreme sample imbalance,variant_2,2,5,120,2400,0.15,0.0445654060160034,20.0,3202765758,10000,jackknife,10000,0.0017892842064309953,0.04090105792109226,0.04374664855571571,0.04336508327218135,1.0602435603461107
random_3x3_d0,well_sampled,Well sampled,variant_1,3,3,900,900,0.03,47.95719000326988,1.0,2867895330,10000,analytic,10000,-0.00019311663597417262,0.011826058143313513,-0.016329755327929053,0.011879447284669279,1.0045145339815493
random_3x3_d0,well_sampled,Well sampled,variant_1,3,3,900,900,0.03,47.95719000326988,1.0,2867895330,10000,jackknife,10000,-0.0001923105582159831,0.011826058143313513,-0.016261594174954742,0.011878939061478107,1.004471559121709
random_3x3_d1,moderate,Moderate,variant_1,3,3,450,900,0.07,11.350967639218766,2.0,4085902826,10000,analytic,10000,-0.0002069907792415251,0.020617052390280617,-0.010039785286625434,0.02081094224888328,1.0094043442744545
random_3x3_d1,moderate,Moderate,variant_1,3,3,450,900,0.07,11.350967639218766,2.0,4085902826,10000,jackknife,10000,-0.00027465219149139095,0.020617052390280617,-0.013321603219132757,0.020802908816588528,1.0090146943796645
random_3x3_d2,sparse_imbalanced,Sparse and imbalanced,variant_1,3,3,225,900,0.15,8.35049456491722,4.0,3741159399,10000,analytic,10000,0.00028640030133281343,0.0397091391554761,0.007212453037862376,0.04021275777400234,1.0126826878959623
random_3x3_d2,sparse_imbalanced,Sparse and imbalanced,variant_1,3,3,225,900,0.15,8.35049456491722,4.0,3741159399,10000,jackknife,10000,-2.563625148028095e-05,0.0397091391554761,-0.000645600786758571,0.04017064569693945,1.0116221744232827
random_3x3_d3,well_sampled,Well sampled,variant_2,3,3,1800,1800,0.03,5.500435464692427,1.0,2377483062,10000,analytic,10000,-4.8485777956511745e-05,0.007850235263117898,-0.006176347119723712,0.007887458924001693,1.0047417255198299
random_3x3_d3,well_sampled,Well sampled,variant_2,3,3,1800,1800,0.03,5.500435464692427,1.0,2377483062,10000,jackknife,10000,-5.6761662880532706e-05,0.007850235263117898,-0.007230568381461288,0.007882072101654598,1.0040555266778153
random_3x3_d4,moderate,Moderate,variant_2,3,3,180,360,0.07,0.000476389028436,2.0,980052219,10000,analytic,10000,0.0033788586582240853,0.0343630973677608,0.09832811699314697,0.03440351046502998,1.001176060959717
random_3x3_d4,moderate,Moderate,variant_2,3,3,180,360,0.07,0.000476389028436,2.0,980052219,10000,jackknife,10000,4.0295203046730775e-05,0.0343630973677608,0.0011726301216529865,0.03428561016278583,0.9977450459676062
random_3x3_d5,sparse_imbalanced,Sparse and imbalanced,variant_2,3,3,120,480,0.15,2.125107691828855,4.0,1246660382,10000,analytic,10000,0.0010573355507889203,0.05083465412428349,0.020799503193311503,0.05340049178014086,1.050474183410086
random_3x3_d5,sparse_imbalanced,Sparse and imbalanced,variant_2,3,3,120,480,0.15,2.125107691828855,4.0,1246660382,10000,jackknife,10000,-0.0016026414308269775,0.05083465412428349,-0.03152655326244076,0.05377018801604272,1.057746707287164
stress_3x3_d6,highly_sparse,Highly skewed and sparse,variant_1,3,3,3540,3540,0.1,2.441592987232627,1.0,3343794369,10000,analytic,10000,-0.00011938420206254115,0.010403854856770303,-0.011474996883953254,0.010510828618915757,1.0102821275016
stress_3x3_d6,highly_sparse,Highly skewed and sparse,variant_1,3,3,3540,3540,0.1,2.441592987232627,1.0,3343794369,10000,jackknife,10000,-0.00012135981820319443,0.010403854856770303,-0.011664889588902674,0.010510799991205412,1.0102793758570665
stress_3x3_d7,highly_sparse,Highly skewed and sparse,variant_2,3,3,4538,18152,0.15,1.6050893800874264,4.0,318345911,10000,analytic,10000,-6.231659456499379e-05,0.007120363255842189,-0.00875188418426035,0.007167767056853317,1.0066574975612703
stress_3x3_d7,highly_sparse,Highly skewed and sparse,variant_2,3,3,4538,18152,0.15,1.6050893800874264,4.0,318345911,10000,jackknife,10000,-9.656721025320056e-05,0.007120363255842189,-0.013562118502025596,0.007171102172478822,1.0071258887803236
stress_3x3_d8,ultra_sparse,Ultra-skewed and sparse,variant_1,3,3,437,437,0.1,0.3342541047044933,1.0,2198185237,10000,analytic,10000,-0.0006046808015229718,0.029453376300590008,-0.02053010138300711,0.029551858010253278,1.003343647555316
stress_3x3_d8,ultra_sparse,Ultra-skewed and sparse,variant_1,3,3,437,437,0.1,0.3342541047044933,1.0,2198185237,10000,jackknife,10000,-3.645950618438167e-05,0.029453376300590008,-0.001237871876293222,0.02969750030156287,1.008288489526003
stress_3x3_d9,ultra_sparse,Ultra-skewed and sparse,variant_2,3,3,1180,4720,0.15,0.3250218079712814,4.0,731714546,10000,analytic,10000,4.351891647924763e-06,0.015235778153866028,0.00028563632286943515,0.015125736790985934,0.992777437307843
