configuration_id,pair_id,shape,profile,n_p,n_q,target_mi_p,target_mi_q,section,population,mi,v,tau2,mean_vhat,var_vhat,mean_vhat_over_v,n_var_ihat_over_v,population_first_order_df,empirical_moment_df,median_plugin_df,first_order_var_ratio
config_14c8f00471edb1ec,pair_0e678b31b33a4770,5x5,same_skew,2,2,0.02,0.02,main,p,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.0,0.0,0.0,1.9257254023597317,0.024833013191201677,,,0.0
config_14c8f00471edb1ec,pair_0e678b31b33a4770,5x5,same_skew,2,2,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.0,0.0,0.0,1.900361844243475,0.024833013191201677,,,0.0
config_a0920c257885f42b,pair_0e678b31b33a4770,5x5,same_skew,5,5,0.02,0.02,main,p,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.07616395453730235,0.013769312052053796,1.2862163609804391,3.9686682343864637,0.0620825329780042,0.8425908206350808,2.174240423619598,0.12189356068828763
config_a0920c257885f42b,pair_0e678b31b33a4770,5x5,same_skew,5,5,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.07532038750939994,0.013730293565835864,1.2719706496139118,3.8566018353857046,0.0620825329780042,0.8263713732505039,2.1742404236196013,0.12154814748247238
config_cf308bfb3c6f73b0,pair_0e678b31b33a4770,5x5,same_skew,10,10,0.02,0.02,main,p,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.15422507029487728,0.03564469141644204,2.604470971757074,4.923805628062185,0.1241650659560084,1.3345814685037907,2.706777143434163,0.6310930190208442
config_cf308bfb3c6f73b0,pair_0e678b31b33a4770,5x5,same_skew,10,10,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.15420686876970138,0.03541710703588797,2.6041635940792967,4.878206899907105,0.1241650659560084,1.3428402467575908,2.7067771434341625,0.6270636135722785
config_4804849e6bc7f601,pair_0e678b31b33a4770,5x5,same_skew,20,20,0.02,0.02,main,p,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.21779792476981646,0.037156586226182634,3.6780555307080944,4.731825397843546,0.2483301319120168,2.5532989357678173,3.908381106138761,1.3157225520080298
config_4804849e6bc7f601,pair_0e678b31b33a4770,5x5,same_skew,20,20,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.21594132913955433,0.0363564722942865,3.646702331023611,4.567267776943136,0.2483301319120168,2.565191542958663,3.907935302977163,1.2873903489912266
config_617be35d24acd8ce,pair_0e678b31b33a4770,5x5,same_skew,50,50,0.02,0.02,main,p,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.21217757202949497,0.01565588167633739,3.5831420024781195,2.8891838874342617,0.6208253297800419,5.751106581288823,4.200508045642327,1.3859451772382756
config_617be35d24acd8ce,pair_0e678b31b33a4770,5x5,same_skew,50,50,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.21168096796061842,0.015878077814786968,3.5747556170521153,2.880128915169784,0.6208253297800419,5.6441129360148,4.178513038625166,1.4056152075087909
