configuration_id,pair_id,shape,profile,n_p,n_q,target_mi_p,target_mi_q,section,replicates,pilot_sd,standardized_bias,mean_se2_over_empirical_var,empirical_var_over_first_order,normal_wald_rate,independent_mc_sd_rate,population_first_order_sd_rate,median_combined_df,numerator_se2_correlation
config_0ce6433c2e25fb9b,pair_915fd4445dd7693e,3x3,uniform,500,500,0.02,0.02,main,20000,0.013098133125019904,0.013725932573416434,1.074717294725635,1.1088084047385058,0.03395,0.0517,0.06315,26.435929937881397,-0.004978484548975116
config_ce432a7704c33893,pair_915fd4445dd7693e,3x3,uniform,1000,1000,0.02,0.02,main,20000,0.009007652492776328,0.010904917700036466,1.0449270181964254,1.0487958274492266,0.04295,0.05235,0.0575,48.372822091037534,0.009290055720599037
config_7ec0d5fa228956e8,pair_40257b980c2277a5,3x3,same_skew,2,2,0.02,0.02,main,20000,0.3400355065356132,-0.013963418806495598,0.0,2.3291045320710038,0.0,0.24415,0.24415,,
config_04c7cce36c93670f,pair_40257b980c2277a5,3x3,same_skew,5,5,0.02,0.02,main,20000,0.2772055162117707,0.016617259616128505,0.3718068760033103,3.8697614024820313,0.1818,0.0433,0.2917,3.111741951165302,0.014240091245056128
config_1b7459a5cb664f6a,pair_40257b980c2277a5,3x3,same_skew,10,10,0.02,0.02,main,20000,0.19574083353718474,-0.002492650886338406,0.6588662749599237,3.8589869915387522,0.0592,0.0463,0.291,4.6242317838773666,0.00048074542506075697
config_3b8e50dc0ecbd1ec,pair_40257b980c2277a5,3x3,same_skew,20,20,0.02,0.02,main,20000,0.12129822562779757,0.005520454794480198,0.9586639793601202,2.9638030420269237,0.03205,0.0531,0.21525,4.257739120908111,0.009722170286178533
config_bd5f7c52a72fec37,pair_40257b980c2277a5,3x3,same_skew,50,50,0.02,0.02,main,20000,0.056726807168152024,-0.004065629728033423,1.330052107931352,1.6205302142098805,0.01355,0.0655,0.126,4.174118662868166,-0.016760307620862874
config_a3aca493c5de3366,pair_40257b980c2277a5,3x3,same_skew,100,100,0.02,0.02,main,20000,0.03647933302070661,0.0067626732247908355,1.2135957346974449,1.3403068162132907,0.0132,0.0583,0.09155,5.488452347954874,-0.0055194521334128634
config_0e4af683e3d6627a,pair_40257b980c2277a5,3x3,same_skew,250,250,0.02,0.02,main,20000,0.02187780346191721,0.0018395757865825387,1.0720197207686877,1.2051965772717108,0.02725,0.05185,0.07375,10.45653177836422,0.011616949264058467
config_a95f6c582a6f5596,pair_40257b980c2277a5,3x3,same_skew,500,500,0.02,0.02,main,20000,0.014757092474992942,-0.006744016264484114,1.0613055370943567,1.0966853695208452,0.03405,0.05025,0.061,18.40542944111274,-0.010217177730242855
config_4eaf58ac2172693b,pair_40257b980c2277a5,3x3,same_skew,1000,1000,0.02,0.02,main,20000,0.01009777958841235,0.0007781632498757923,1.0566532766209429,1.0269805568019639,0.0406,0.05355,0.057,33.598217961615596,-0.00421860386497267
config_a19ff216adad937f,pair_fb6e4c79f03f599b,3x3,different_skew,2,2,0.02,0.02,main,20000,0.3799109095099125,0.18619015144206272,0.0,3.058209018815979,0.0,0.0,0.31105,,
config_e4f92b5a1655c22e,pair_fb6e4c79f03f599b,3x3,different_skew,5,5,0.02,0.02,main,20000,0.29940435909689567,0.28346555841622567,0.4038191396922756,4.748537605011657,0.21405,0.05525,0.37245,3.111741951165302,0.0165046509987838
config_fca58c4829e6790f,pair_fb6e4c79f03f599b,3x3,different_skew,10,10,0.02,0.02,main,20000,0.19972537309571797,0.2789032858398555,0.7082901288857761,4.226103426552179,0.0882,0.0572,0.34075,5.239975747178951,-0.10006031329856627
config_ebf13e401c84bfcd,pair_fb6e4c79f03f599b,3x3,different_skew,20,20,0.02,0.02,main,20000,0.11816885136628676,0.21618534781518298,1.0393898417817289,2.9587594842663614,0.0459,0.06585,0.2412,4.702451648298671,-0.140622280586764
config_b73990abe54408a3,pair_fb6e4c79f03f599b,3x3,different_skew,50,50,0.02,0.02,main,20000,0.058442203244878595,0.06548295424947126,1.227757174159183,1.8092425963692513,0.0184,0.0607,0.1379,4.59733311107279,-0.06535003862277823
config_f67e74127a56dc37,pair_fb6e4c79f03f599b,3x3,different_skew,100,100,0.02,0.02,main,20000,0.03667408652907331,-0.01835487839196731,1.169851621214609,1.4249257997276419,0.0166,0.0551,0.0976,6.074673142146119,-0.06588215165237726
config_1bd54f96fa664af7,pair_fb6e4c79f03f599b,3x3,different_skew,250,250,0.02,0.02,main,20000,0.02099929983708901,-0.019404717263927552,1.1297853366956403,1.1679473810886545,0.0266,0.0564,0.07475,11.398437296270213,-0.0813640115713284
config_68664fbc4f3b1772,pair_fb6e4c79f03f599b,3x3,different_skew,500,500,0.02,0.02,main,20000,0.014376678909542672,-0.00265058528389585,1.0656054496205007,1.0948655479858296,0.03635,0.05555,0.06505,19.502538063281392,-0.10130501202103803
config_1b6b2afc5ccb1291,pair_fb6e4c79f03f599b,3x3,different_skew,1000,1000,0.02,0.02,main,20000,0.009814584706676408,-0.011497235758392446,1.0636113727424716,1.0205105398868095,0.0384,0.0509,0.05315,35.46854376280865,-0.11202919634631094
config_25b40f2f2a7fffe6,pair_489238afbcfc259d,5x5,uniform,2,2,0.02,0.02,main,20000,0.4697687880877164,0.006566006579636386,0.0,5.972874669914838,0.0,0.0,0.45505,,
config_17479196d0a28d10,pair_489238afbcfc259d,5x5,uniform,5,5,0.02,0.02,main,20000,0.40827160481704744,-0.003665537852020577,0.4547627371865111,11.278554580146496,0.2342,0.05285,0.62565,2.3922026421004947,0.0065850633403256534
config_0dd9cf7abfc86486,pair_489238afbcfc259d,5x5,uniform,10,10,0.02,0.02,main,20000,0.2652454108962141,-0.011578956016836943,0.7790193082349635,9.520962331490653,0.10975,0.05465,0.53675,13.007371596092907,0.009437268901689033
config_70be6884a262cb1c,pair_489238afbcfc259d,5x5,uniform,20,20,0.02,0.02,main,20000,0.16331177697857416,0.014127739211785829,0.9016714742768429,7.218552073794457,0.07755,0.0517,0.47145,16.59587494588803,0.010398529130229931
config_9d96c47615346d89,pair_489238afbcfc259d,5x5,uniform,50,50,0.02,0.02,main,20000,0.09351068368740444,0.007270452243079485,0.9020888876779964,5.916672874057571,0.06635,0.05095,0.4132,17.203470150142937,0.006742203118614991
config_97314dab3814c8e6,pair_489238afbcfc259d,5x5,uniform,100,100,0.02,0.02,main,20000,0.05196187693622728,0.0037647539082770365,1.1646541108641384,3.653883947568588,0.0372,0.0525,0.3024,24.23493014497685,0.005305714628217485
